SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Achetaria crenata,-40.7402992248535,-18.9831008911133
Achetaria crenata,-40.7402992248535,-18.9831008911133
Achetaria crenata,-40.4006004333496,-18.710599899292
Achetaria crenata,-40.611400604248,-18.6149997711182
Achetaria crenata,-40.7663993835449,-17.7031002044678
Achetaria crenata,-41.4768981933594,-16.2224998474121
Achetaria crenata,-41.779444,-15.757222
Achetaria crenata,-41.4767,-16.2225
Achetaria crenata,-40.215,-14.332222
Achetaria crenata,-40.7663993835449,-17.7031002044678
Achetaria crenata,-42.883056,-18.058056
Achetaria crenata,-40.45,-12.331944
Achetaria crenata,-40.461389,-18.764722
Achetaria crenata,-40.215,-14.332222
Achetaria crenata,-40.413889,-13.41
Achetaria crenata,-40.3539,-17.8392
Achetaria crenata,-41.260944,-17.855972
Achetaria crenata,-41.260944,-17.855972
Achetaria crenata,-47.8498,-18.520411
Achetaria crenata,-40.4308013916016,-13.4411001205444
Achetaria crenata,-40.4308013916016,-13.4411001205444
Achetaria crenata,-40.4308013916016,-13.4411001205444
Achetaria crenata,-40.4006004333496,-18.710599899292
Achetaria crenata,-40.4006004333496,-18.710599899292
Achetaria crenata,-40.4006004333496,-18.710599899292
Achetaria crenata,-40.4006004333496,-18.710599899292
Achetaria cf. crenata,-40.691667,-19.821944
Achetaria crenata,-40.739444,-19.760833
Achetaria crenata,-40.981111,-19.741389
Achetaria crenata,-40.731389,-19.833333
Achetaria crenata,-40.665556,-18.978056
Achetaria crenata,-40.665556,-18.977778
Achetaria crenata,-40.741944,-19.828056
Achetaria crenata,-40.662222,-18.985806
Achetaria crenata,-40.6625,-18.985
Achetaria crenata,-40.432778,-18.7825
Achetaria crenata,-40.466667,-18.766667
Achetaria crenata,-40.697778,-18.989444
Achetaria crenata,-41.121111,-18.421667
Achetaria crenata,-40.446389,-18.782778
Achetaria crenata,-40.461389,-18.764722
Achetaria crenata,-40.443889,-18.776944
Achetaria crenata,-41.122333,-18.423833
Achetaria crenata,-40.995833,-17.8625
Achetaria crenata,-40.446389,-18.782778
Achetaria crenata,-40.816944,-18.539167
Achetaria crenata,-40.568333,-18.591667
Achetaria crenata,-40.588611,-18.639444
Achetaria crenata,-40.511667,-16.605833
Achetaria crenata,-41.179722,-18.493056
Achetaria crenata,-40.739722,-19.826944
Achetaria crenata,-40.739722,-19.826944
Achetaria crenata,-41.088611,-18.899444
Achetaria crenata,-40.457611,-18.767
Achetaria crenata,-40.710278,-18.975833
Achetaria crenata,-40.444444,-18.781111
Achetaria crenata,-40.611400604248,-18.6149997711182
Achetaria crenata,-39.545556,-12.945278
Achetaria crenata,-40.215,-14.33225
Achetaria crenata,-40.208333,-14.333056
