SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Acianthera prolifera,-48.5092010498047,-25.5200004577637
Acianthera prolifera,-48.5092010498047,-25.5200004577637
Acianthera prolifera,-48.8549995422363,-26.0266990661621
Acianthera prolifera,-48.8549995422363,-26.0266990661621
Acianthera prolifera,-40.4006004333496,-18.710599899292
Acianthera prolifera,-40.463,-18.767
Acianthera prolifera,-40.443889,-18.776944
Acianthera prolifera,-43.4075012207031,-20.0746994018555
Acianthera prolifera,-44.0527992248535,-20.3330993652344
Acianthera prolifera,-44.510186,-21.225761
Acianthera prolifera,-43.508849,-20.130068
Acianthera prolifera,-41.9,-13.23
Acianthera prolifera,-42.5208015441895,-20.6667003631592
Acianthera prolifera,-42.5208015441895,-20.6667003631592
Acianthera prolifera,-42.5208015441895,-20.6667003631592
Acianthera prolifera,-42.5208015441895,-20.6667003631592
Acianthera prolifera,-42.2789001464844,-20.7255992889404
Acianthera prolifera,-42.475278,-20.702778
Acianthera prolifera,-44.199722,-21.105278
Acianthera prolifera,-44.6425018310547,-21.4874992370605
Acianthera prolifera,43.261111,-18.229722
Acianthera prolifera,43.171667,-17.135556
Acianthera prolifera,-41.5588989257812,-12.5289001464844
Acianthera prolifera,-41.6636009216309,-13.2496995925903
Acianthera prolifera,-42.0080986022949,-21.9552993774414
Acianthera prolifera,-43.474722,-20.093333
Acianthera prolifera,-43.879764,-20.255969
Acianthera prolifera,-43.545472,-20.246611
Acianthera prolifera,-43.937528,-20.332361
Acianthera prolifera,-43.581167,-20.218806
Acianthera prolifera,-43.683111,-20.093806
Acianthera prolifera,-43.691278,-20.056667
Acianthera prolifera,-43.681389,-19.821389
Acianthera prolifera,-43.938111,-20.348472
Acianthera prolifera,-42.470639,-20.746833
Acianthera prolifera,-43.482778,-20.417222
Acianthera prolifera,-43.683111,-20.093806
Acianthera prolifera,-44.340972,-20.12
Acianthera prolifera,-43.867222,-20.240556
Acianthera prolifera,-43.574306,-20.209861
Acianthera prolifera,-43.937528,-20.332361
Acianthera prolifera,-43.514722,-20.154722
Acianthera prolifera,-44.2325,-20.115556
Acianthera prolifera,-43.482778,-20.422222
Acianthera prolifera,-43.94,-20.324444
Acianthera prolifera,-43.435556,-20.198056
Acianthera prolifera,-43.477778,-19.491667
Acianthera prolifera,-43.918889,-20.441111
Acianthera prolifera,-43.905833,-20.445833
Acianthera prolifera,-43.663056,-21.6425
Acianthera prolifera,-41.465889,-12.60375
Acianthera prolifera,-43.544167,-20.244444
Acianthera prolifera,-43.544167,-20.244444
Acianthera prolifera,-43.569722,-20.228333
Acianthera prolifera,-43.498056,-19.49
Acianthera prolifera,-43.666667,-19.816667
Acianthera prolifera,-43.569667,-19.091833
Acianthera prolifera,-43.308083,-18.205778
Acianthera prolifera,-41.376406,-19.271681
Acianthera prolifera,-44.603099822998,-21.9755992889404
Acianthera prolifera,-42.5208015441895,-20.6667003631592
Acianthera prolifera,-43.6697006225586,-19.8799991607666
Acianthera prolifera,-43.6697006225586,-19.8799991607666
Acianthera prolifera,-43.6697006225586,-19.8799991607666
Acianthera prolifera,-43.4075012207031,-20.0746994018555
Acianthera prolifera,-43.4075012207031,-20.0746994018555
Acianthera prolifera,-43.4075012207031,-20.0746994018555
Acianthera prolifera,-43.4075012207031,-20.0746994018555
Acianthera prolifera,-43.801399230957,-20.2532997131348
Acianthera prolifera,-41.0032997131348,-16.4339008331299
Acianthera prolifera,-41.0032997131348,-16.4339008331299
Acianthera prolifera,-43.4160995483398,-20.377799987793
Acianthera prolifera,-43.5080986022949,-20.2875003814697
Acianthera prolifera,-46.7000007629395,-22.6100006103516
Acianthera prolifera,-46.7000007629395,-22.6100006103516
Acianthera cf. prolifera,-43.4075012207031,-20.0746994018555
Acianthera cf. prolifera,-45.9768981933594,-20.0063991546631
Acianthera prolifera,-43.4160995483398,-20.377799987793
Acianthera prolifera,-41.211667,-11.5975
Acianthera prolifera,-43.5080986022949,-20.2875003814697
Acianthera prolifera,-43.5080986022949,-20.2875003814697
Acianthera prolifera,-40.530278,-19.971389
Acianthera prolifera,-40.530278,-19.971389
Acianthera prolifera,-40.530278,-19.971389
Acianthera prolifera,-40.570556,-19.991111
Acianthera prolifera,-40.558611,-19.348056
Acianthera prolifera,-40.665556,-18.977778
Acianthera prolifera,-40.664444,-18.973889
Acianthera prolifera,-40.463333,-19.275833
Acianthera prolifera,-40.664694,-18.977639
Acianthera prolifera,-40.4625,-18.766944
Acianthera prolifera,-40.443889,-18.776944
Acianthera prolifera,-40.637778,-19.911667
Acianthera prolifera,-40.457611,-18.767
Acianthera prolifera,-41.3664016723633,-21.0641994476318
Acianthera prolifera,-43.4872016906738,-19.94580078125
Acianthera prolifera,-43.6697006225586,-19.8799991607666
