SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Alcantarea extensa,-41.326944,-20.614167
Alcantarea extensa,-40.749698638916,-20.6350002288818
Alcantarea extensa,-43.937801361084,-19.9207992553711
Alcantarea extensa,-42.5208015441895,-20.6667003631592
Alcantarea extensa,-42.5208015441895,-20.6667003631592
Alcantarea extensa,-42.5208015441895,-20.6667003631592
Alcantarea extensa,-42.5208015441895,-20.6667003631592
Alcantarea extensa,-42.2789001464844,-20.7255992889404
Alcantarea extensa,-42.4818992614746,-20.4738998413086
Alcantarea extensa,-42.8819007873535,-20.7539005279541
Alcantarea extensa,-41.1128005981445,-20.8488998413086
Alcantarea extensa,-40.4199981689453,-20.2639007568359
Alcantarea extensa,-41.184700012207,-20.6035995483398
Alcantarea extensa,-40.6591987609863,-20.3633003234863
Alcantarea extensa,-41.6671981811523,-20.5414009094238
Alcantarea extensa,-40.4961013793945,-20.3903007507324
Alcantarea extensa,-40.3377990722656,-20.3194007873535
Alcantarea extensa,-41.1128005981445,-20.8488998413086
Alcantarea extensa,-40.855598449707,-19.8019008636475
Alcantarea extensa,-43.2075004577637,-22.9027996063232
Alcantarea extensa,-40.3836068976671,-19.7850538697094
Alcantarea extensa,-40.3856010437012,-19.7574996948242
Alcantarea extensa,-40.6002998352051,-19.9356002807617
Alcantarea extensa,-41.347417,-20.64925
Alcantarea extensa,-41.848333,-20.420556
Alcantarea extensa,-41.309167,-20.698889
Alcantarea extensa,-41.059139,-20.837139
Alcantarea extensa,-41.059139,-20.837139
Alcantarea extensa,-41.059139,-20.837139
Alcantarea extensa,-41.08875,-20.500917
Alcantarea extensa,-41.08875,-20.500917
Alcantarea extensa,-41.08875,-20.500917
Alcantarea extensa,-41.0845,-20.526028
Alcantarea extensa,-41.0845,-20.526028
Alcantarea extensa,-41.0845,-20.526028
Alcantarea extensa,-41.025861,-20.393972
Alcantarea extensa,-41.086111,-20.516111
Alcantarea extensa,-41.8683013916016,-20.4333000183105
Alcantarea extensa,-41.8683013916016,-20.4333000183105
Alcantarea extensa,-41.8683013916016,-20.4333000183105
Alcantarea extensa,-41.8683013916016,-20.4333000183105
Alcantarea extensa,-41.8683013916016,-20.4333000183105
Alcantarea extensa,-41.8683013916016,-20.4333000183105
Alcantarea extensa,-42.5208015441895,-20.6667003631592
Alcantarea extensa,-42.5208015441895,-20.6667003631592
Alcantarea extensa,-42.0293998718262,-20.7331008911133
Alcantarea extensa,-42.0293998718262,-20.7331008911133
Alcantarea extensa,-42.2789001464844,-20.7255992889404
Alcantarea extensa,-46.6300010681152,-23.5400009155273
Alcantarea extensa,-46.6300010681152,-23.5400009155273
Alcantarea cf. extensa,-40.3377990722656,-20.3194007873535
Alcantarea aff. extensa,-40.739444,-19.760833
Alcantarea aff. extensa,-40.481944,-20.3025
Alcantarea extensa,-40.553056,-19.9075
Alcantarea extensa,-40.530278,-19.971389
Alcantarea extensa,-40.551111,-19.348333
Alcantarea extensa,-40.609667,-20.152583
Alcantarea extensa,-40.5375,-20.319167
Alcantarea extensa,-41.084706,-20.504278
Alcantarea extensa,-40.383611,-19.785056
Alcantarea extensa,-40.739722,-19.826944
Alcantarea extensa,-40.533333,-19.95
Alcantarea extensa,-40.6,-19.936111
Alcantarea extensa,-40.530278,-19.971389
Alcantarea extensa,-40.2733001708984,-19.8202991485596
Alcantarea aff. extensa,-40.8908004760742,-18.7549991607666
Alcantarea extensa,-40.3078002929688,-20.1285991668701
Alcantarea extensa,-40.4961013793945,-20.3903007507324
Alcantarea extensa,-42,-11
