SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Alcantarea patriae,-41.365306,-20.796278
Alcantarea patriae,-41.365306,-20.796278
Alcantarea patriae,-41.1128005981445,-20.8488998413086
Alcantarea patriae,-41.1128005981445,-20.8488998413086
Alcantarea patriae,-41.1128005981445,-20.8488998413086
Alcantarea patriae,-41.1128005981445,-20.8488998413086
Alcantarea patriae,-41.1128005981445,-20.8488998413086
Alcantarea patriae,-41.3664016723633,-21.0641994476318
Alcantarea patriae,-41.3664016723633,-21.0641994476318
Alcantarea patriae,-41.365278,-20.796111
Alcantarea patriae,-41.365278,-20.796389
Alcantarea patriae,-41.308556,-20.699528
Alcantarea patriae,-41.332472,-20.724861
Alcantarea patriae,-41.365306,-20.796278
Alcantarea patriae,-41.365306,-20.796278
Alcantarea patriae,-41.365306,-20.796278
Alcantarea patriae,-41.365306,-20.796278
Alcantarea patriae,-41.365306,-20.796278
Alcantarea patriae,-41.365306,-20.796278
Alcantarea patriae,-41.365306,-20.796278
Alcantarea patriae,-41.457222,-21.788333
Alcantarea patriae,-41.3325,-20.725
Alcantarea aff. patriae,-41.550556,-20.939444
Alcantarea patriae,-41.027778,-20.603056
Alcantarea patriae,-41.130972,-21.004139
Alcantarea patriae,-41.308889,-20.699722
Alcantarea patriae,-41.3950004577637,-20.789400100708
