SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Alcantarea trepida,-40.4006004333496,-18.710599899292
Alcantarea trepida,-40.466667,-18.8
Alcantarea trepida,-40.4667,-18.8
Alcantarea trepida,-40.4667,-18.8
Alcantarea trepida,-40.6305999755859,-19.539400100708
Alcantarea trepida,-40.4006004333496,-18.710599899292
Alcantarea trepida,-40.4006004333496,-18.710599899292
Alcantarea trepida,-40.4006004333496,-18.710599899292
Alcantarea trepida,-40.8513984680176,-19.2250003814697
Alcantarea trepida,-40.843722,-19.490778
Alcantarea trepida,-40.843611,-19.490556
Alcantarea trepida,-40.843611,-19.490556
Alcantarea trepida,-40.843611,-19.490556
Alcantarea trepida,-40.843611,-19.490556
Alcantarea trepida,-40.466667,-18.8
Alcantarea aff. trepida,-40.859556,-19.638722
Alcantarea trepida,-40.981111,-19.741389
Alcantarea trepida,-40.446389,-18.782778
Alcantarea trepida,-40.876667,-19.231111
Alcantarea trepida,-40.457778,-18.766944
Alcantarea trepida,-52.8731,-10.8339
