SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Anemia retroflexa,-40.7402992248535,-18.9831008911133
Anemia retroflexa,-40.7402992248535,-18.9831008911133
Anemia retroflexa,-40.5110015869141,-20.6580009460449
Anemia retroflexa,-40.5110015869141,-20.6580009460449
Anemia retroflexa,-40.812778,-19.895833
Anemia retroflexa,-43.37,-19.896
Anemia retroflexa,-43.37,-19.896
Anemia retroflexa,-40.766111,-19.193333
Anemia retroflexa,-41.0392,-20.0767
Anemia retroflexa,-43.3653,-19.8925
Anemia retroflexa,-43.37,-19.896
Anemia retroflexa,-42.0080986022949,-21.9552993774414
Anemia retroflexa,-41.6369018554688,-19.6196994781494
Anemia retroflexa,-40.7219009399414,-20.8377990722656
Anemia retroflexa,-40.5110015869141,-20.6580009460449
Anemia retroflexa,-40.5110015869141,-20.6580009460449
Anemia retroflexa,-40.5110015869141,-20.6580009460449
Anemia retroflexa,-41.309167,-20.698889
Anemia retroflexa,-41.309167,-20.698889
Anemia retroflexa,-41.354167,-20.901389
Anemia retroflexa,-43.386389,-19.889944
Anemia retroflexa,-40.487056,-20.303861
Anemia retroflexa,-40.787639,-19.154639
Anemia retroflexa,-43.365278,-19.8925
Anemia retroflexa,40.813611,19.893333
Anemia retroflexa,-40.6002998352051,-19.9356002807617
Anemia retroflexa,-40.6568984985352,-19.738899230957
Anemia retroflexa,-42.0080986022949,-21.9552993774414
Anemia retroflexa,-41.079722,-20.076667
Anemia retroflexa,-40.603111,-20.089444
Anemia retroflexa,-40.4961013793945,-20.3903007507324
Anemia retroflexa,-41.0638999938965,-19.4958000183105
