SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Anthurium aff. crassipes,-48.6618995666504,-26.9078006744385
Anthurium aff. jenmanii,-62.9241981506348,-0.974722027778625
Anthurium aff. sinuatum,-57.752799987793,-6.22221994400024
Anthurium aff. bonplandii,-50.948600769043,2.49749994277954
Anthurium aff. coriaceum,-40.5355987548828,-19.0174999237061
Anthurium aff. minarum,-43.4075012207031,-20.0746994018555
Anthurium aff. sellowianum,-43.2268981933594,-19.6191997528076
Anthurium aff. angustifolium,-40.530278,-19.971389
Anthurium aff. angustifolium,-40.530278,-19.971389
Anthurium aff. angustifolium,-40.583333,-19.984167
Anthurium aff. angustifolium,-40.553056,-19.9075
Anthurium aff. angustifolium,-40.553056,-19.9075
Anthurium aff. angustifolium,-40.553056,-19.9075
Anthurium aff. angustifolium,-40.553056,-19.9075
Anthurium aff. angustifolium,-40.553056,-19.9075
Anthurium aff. angustifolium,-40.553056,-19.9075
Anthurium aff. angustifolium,-40.775278,-19.796944
Anthurium aff. angustifolium,-40.589167,-19.922222
Anthurium aff. bellum,-39.577639,-15.830083
Anthurium aff. cachoeirense,-40.480972,-20.086944
Anthurium aff. cleistanthum,-40.798611,-18.944167
Anthurium aff. cleistanthum,-41.528056,-20.796111
Anthurium aff. cleistanthum,-40.435833,-18.782361
Anthurium aff. comtum,-40.430139,-18.753194
Anthurium aff. comtum,-40.435833,-18.7825
Anthurium aff. coriaceum,-40.461944,-19.281667
Anthurium aff. coriaceum,-40.648361,-19.270139
Anthurium aff. fragae,-41.425556,-20.462222
Anthurium aff. intermedium,-40.530278,-19.971389
Anthurium aff. intermedium,-40.530278,-19.971389
Anthurium aff. intermedium,-40.583333,-19.984167
Anthurium aff. intermedium,-40.530278,-19.971389
Anthurium aff. intermedium,-40.553056,-19.9075
Anthurium aff. intermedium,-40.940556,-21.21025
Anthurium aff. intermedium,-40.530278,-19.971389
Anthurium aff. jilekii,-40.65,-19.915556
Anthurium aff. jilekii,-40.65,-19.915556
Anthurium aff. jilekii,-40.617778,-19.931111
Anthurium aff. jilekii,-40.635556,-19.925556
Anthurium aff. jilekii,-40.981111,-19.741389
Anthurium aff. maricense,-40.960972,-21.217528
Anthurium aff. minarum,-40.546389,-20.123056
Anthurium aff. parasiticum,-40.678056,-19.814167
Anthurium aff. parasiticum,-41.100556,-20.519167
Anthurium aff. parasiticum,-40.775278,-19.796944
Anthurium aff. parasiticum,-40.775278,-19.796944
Anthurium aff. parasiticum,-40.775278,-19.796944
Anthurium aff. parasiticum,-40.551111,-19.348333
Anthurium aff. parasiticum,-40.647778,-19.023056
Anthurium aff. parasiticum,-40.470556,-20.059167
Anthurium aff. parasiticum,-40.775278,-19.796944
Anthurium aff. parasiticum,-40.45,-18.75
Anthurium aff. parasiticum,-40.443889,-18.776944
Anthurium aff. parasiticum,-40.446389,-18.782778
Anthurium aff. parasiticum,-40.127778,-16.278611
Anthurium aff. parasiticum,-40.596389,-20.054167
Anthurium aff. radicans,-40.596389,-20.054167
Anthurium aff. viridispathum,-40.558611,-19.343611
Anthurium aff. viridispathum,-40.535556,-19.335556
Anthurium aff. viridispathum,-40.558611,-19.343611
Anthurium aff. viridispathum,-40.676111,-18.183889
Anthurium aff. xanthophylloides,-40.553056,-19.9075
Anthurium aff. xanthophylloides,-40.470639,-20.058611
Anthurium aff. xanthophylloides,-40.515278,-19.354444
Anthurium aff. cleistanthum,-41.5331001281738,-20.763599395752
Anthurium aff. cleistanthum,-41.5331001281738,-20.763599395752
Anthurium aff. cleistanthum,-41.3664016723633,-21.0641994476318
Anthurium aff. maricense,-41.3244018554688,-21.7541999816895
Anthurium aff. angustifolium,-41.209722,-21.340278
Anthurium aff. viridispathum,-40.525278,-19.310833
Anthurium aff. viridispathum,-40.525278,-19.310833
Anthurium aff. intermedium,-39.5233001708984,-12.771900177002
Anthurium aff. gracile,-35.0806007385254,-6.80306005477905
Anthurium aff. gracile,-35.2277984619141,-7.74167013168335
Anthurium aff. gracile,-35.2277984619141,-7.74167013168335
