SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Anthurium fragae,-40.996111,-20.456667
Anthurium fragae,-40.991667,-20.454722
Anthurium fragae,-40.658056,-20.3725
Anthurium fragae,-41.184700012207,-20.6035995483398
Anthurium fragae,-41.184700012207,-20.6035995483398
Anthurium fragae,-40.6591987609863,-20.3633003234863
Anthurium fragae,-40.6591987609863,-20.3633003234863
Anthurium fragae,-40.6591987609863,-20.3633003234863
Anthurium fragae,-40.6591987609863,-20.3633003234863
Anthurium fragae,-40.6591987609863,-20.3633003234863
Anthurium fragae,-40.6591987609863,-20.3633003234863
Anthurium fragae,-40.6591987609863,-20.3633003234863
Anthurium fragae,-40.6591987609863,-20.3633003234863
Anthurium fragae,-41.5358009338379,-20.3458003997803
Anthurium fragae,-41.3457984924316,-20.9517002105713
Anthurium fragae,-40.7461013793945,-20.040599822998
Anthurium fragae,-40.7461013793945,-20.040599822998
Anthurium fragae,-40.7461013793945,-20.040599822998
Anthurium fragae,-40.7461013793945,-20.040599822998
Anthurium fragae,-41.184700012207,-20.6035995483398
Anthurium fragae,-41.184700012207,-20.6035995483398
Anthurium fragae,-41.184700012207,-20.6035995483398
Anthurium aff. fragae,-41.425556,-20.462222
Anthurium cf. fragae,-41.019167,-20.403889
Anthurium cf. fragae,-41.083611,-20.516111
Anthurium cf. fragae,-41.036111,-20.076389
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.019167,-20.403889
Anthurium fragae,-41.100556,-20.519167
Anthurium fragae,-41.083611,-20.516111
Anthurium fragae,-41.083611,-20.516111
Anthurium fragae,-41.101667,-20.526944
Anthurium fragae,-40.91725,-20.176167
