SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Anthurium marcusianum,-40.7402992248535,-18.9831008911133
Anthurium marcusianum,-40.666389,-18.968056
Anthurium marcusianum,-40.661944,-18.983333
Anthurium marcusianum,-40.661667,-18.980556
Anthurium marcusianum,-40.7402992248535,-18.9831008911133
Anthurium marcusianum,-40.665556,-18.978056
Anthurium marcusianum,-40.665556,-18.977778
Anthurium marcusianum,-40.665556,-18.977778
Anthurium marcusianum,-40.662222,-18.979444
Anthurium marcusianum,-40.662778,-18.971944
Anthurium marcusianum,-40.665556,-18.978056
Anthurium marcusianum,-40.664694,-18.977639
Anthurium marcusianum,-40.667778,-18.978889
