SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Anthurium microphyllum,-48.7807998657227,-28.4825000762939
Anthurium microphyllum,-40.766667,-19.288889
Anthurium microphyllum,-40.6591987609863,-20.3633003234863
Anthurium microphyllum,-43.2075004577637,-22.9027996063232
Anthurium microphyllum,-43.2075004577637,-22.9027996063232
Anthurium microphyllum,-43.2075004577637,-22.9027996063232
Anthurium microphyllum,-43.2075004577637,-22.9027996063232
Anthurium microphyllum,-53.08982,-10.773109
Anthurium microphyllum,-42.64735,-22.531489
Anthurium microphyllum,-42.64735,-22.531489
Anthurium microphyllum,-43.13,-22.57
Anthurium microphyllum,-46.6300010681152,-23.5400009155273
Anthurium cf. microphyllum,-40.457778,-18.766944
Anthurium cf. microphyllum,-40.443889,-18.776944
Anthurium cf. microphyllum,-40.457611,-18.767
Anthurium microphyllum,-40.466667,-18.766667
