SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Anthurium parasiticum,-40.7402992248535,-18.9831008911133
Anthurium parasiticum,-39.7322006225586,-18.5932998657227
Anthurium parasiticum,-40.0722007751465,-19.3910999298096
Anthurium parasiticum,-40.4006004333496,-18.710599899292
Anthurium parasiticum,-41.0466995239258,-21.0988998413086
Anthurium parasiticum,-40.456944,-18.770556
Anthurium parasiticum,-46.7799987792969,-24.1800003051758
Anthurium parasiticum,-46.7799987792969,-24.1800003051758
Anthurium parasiticum,-47.560001373291,-22.4099998474121
Anthurium parasiticum,-43.937801361084,-19.9207992553711
Anthurium parasiticum,-43.937801361084,-19.9207992553711
Anthurium parasiticum,-46.7799987792969,-24.1800003051758
Anthurium parasiticum,-39.6031,-16.9906
Anthurium parasiticum,-40.356389,-20.38
Anthurium parasiticum,-40.356389,-20.38
Anthurium parasiticum,-40.350278,-20.386667
Anthurium parasiticum,-40.6455993652344,-20.8057994842529
Anthurium parasiticum,-40.6455993652344,-20.8057994842529
Anthurium parasiticum,-40.6455993652344,-20.8057994842529
Anthurium parasiticum,-40.6455993652344,-20.8057994842529
Anthurium parasiticum,-40.6455993652344,-20.8057994842529
Anthurium parasiticum,-40.6455993652344,-20.8057994842529
Anthurium parasiticum,-40.2733001708984,-19.8202991485596
Anthurium parasiticum,-40.2733001708984,-19.8202991485596
Anthurium parasiticum,-40.2733001708984,-19.8202991485596
Anthurium parasiticum,-40.2733001708984,-19.8202991485596
Anthurium parasiticum,-41.1128005981445,-20.8488998413086
Anthurium parasiticum,-39.7322006225586,-18.5932998657227
Anthurium parasiticum,-39.7322006225586,-18.5932998657227
Anthurium parasiticum,-40.5110015869141,-20.6580009460449
Anthurium parasiticum,-40.5110015869141,-20.6580009460449
Anthurium parasiticum,-40.5110015869141,-20.6580009460449
Anthurium parasiticum,-40.5110015869141,-20.6580009460449
Anthurium parasiticum,-40.5110015869141,-20.6580009460449
Anthurium parasiticum,-40.5110015869141,-20.6580009460449
Anthurium parasiticum,-40.5110015869141,-20.6580009460449
Anthurium parasiticum,-40.5110015869141,-20.6580009460449
Anthurium parasiticum,-40.8339004516602,-21.011100769043
Anthurium parasiticum,-40.8339004516602,-21.011100769043
Anthurium parasiticum,-40.8339004516602,-21.011100769043
Anthurium parasiticum,-40.0722007751465,-19.3910999298096
