SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Aosa parviflora,-40.4006004333496,-18.710599899292
Aosa parviflora,-40.611400604248,-18.6149997711182
Aosa parviflora,-44.966667,-23.35
Aosa parviflora,-45.0699996948242,-23.4300003051758
Aosa parviflora,-40.469722,-18.800278
Aosa parviflora,-40.445556,-18.786944
Aosa parviflora,-39.5339012145996,-15.9507999420166
Aosa parviflora,-41.1347007751465,-20.3397006988525
Aosa parviflora,-43.2075004577637,-22.9027996063232
Aosa parviflora,-39.2273659,-14.771874
Aosa parviflora,-39.5286,-15.1561
Aosa parviflora,-42.0686111,-21.9377777
Aosa parviflora,-39.58,-15.17
Aosa parviflora,-39.5233,-15.155
Aosa parviflora,-39.2569077,-15.3417536
Aosa parviflora,-39.9136111,-16.5986111
Aosa parviflora,-39.5676631,-16.9808834
Aosa parviflora,-43.274528,-22.95583
Aosa parviflora,-39.2273659,-14.771874
Aosa parviflora,-39.381867,-14.34533
Aosa parviflora,-43.2075004577637,-22.9027996063232
Aosa parviflora,-39.2028,-14.7703
Aosa parviflora,-40.439444,-18.782222
Aosa parviflora,-40.4006004333496,-18.710599899292
Aosa parviflora,-40.3377990722656,-20.3194007873535
Aosa parviflora,-43.3469,-23.0036
Aosa parviflora,-43.5,-23
Aosa parviflora,-41.1347007751465,-20.3397006988525
Aosa parviflora,-41.313333,-12.885833
Aosa parviflora,-40.681389,-19.404167
Aosa parviflora,-41.260944,-17.855986
Aosa parviflora,-39.2027778,-14.7702778
Aosa parviflora,-39.38194,-14.34527
Aosa parviflora,-39.4953002929688,-15.1913995742798
Aosa parviflora,-46.793333,-13.218333
Aosa parviflora,-41.678889,-21.656667
Aosa parviflora,-39.202778,-14.770278
Aosa parviflora,-39.913611,-16.598611
Aosa parviflora,-39.366667,-14.333333
Aosa parviflora,-39.6371994018555,-14.7053003311157
Aosa parviflora,-39.0494003295898,-14.7889003753662
Aosa parviflora,-39.5311012268066,-17.0391998291016
Aosa parviflora,-39.3342018127441,-15.4294004440308
Aosa parviflora,-40.0722007751465,-19.3910999298096
Aosa parviflora,-40.3633003234863,-18.1268997192383
Aosa parviflora,-39.708611,-14.181389
Aosa parviflora,-39.7075,-14.181389
Aosa parviflora,-43.2075004577637,-22.9027996063232
Aosa parviflora,-40.445556,-18.786944
Aosa parviflora,-40.444167,-18.777222
Aosa parviflora,-40.698056,-18.988056
Aosa parviflora,-40.698056,-18.988056
Aosa parviflora,-40.703611,-19.806389
Aosa parviflora,-41.5331001281738,-20.763599395752
Aosa parviflora,-52.8731,-10.8339
Aosa parviflora,-43.230278,-22.960278
