SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Aristolochia gracilipedunculata,-40.7402992248535,-18.9831008911133
Aristolochia gracilipedunculata,-40.6003,-19.9356
Aristolochia gracilipedunculata,-40.54633,-20.123
Aristolochia gracilipedunculata,-40.66558,-18.97792
Aristolochia gracilipedunculata,-40.6644,-18.9739
Aristolochia gracilipedunculata,-40.66247,-18.98483
Aristolochia gracilipedunculata,-40.5508,-19.3481
Aristolochia gracilipedunculata,-40.264722,-18.465833
Aristolochia gracilipedunculata,-40.443889,-18.776944
Aristolochia gracilipedunculata,-39.786111,-15.04
Aristolochia gracilipedunculata,-39.786111,-15.04
Aristolochia gracilipedunculata,-40.678056,-19.814167
Aristolochia gracilipedunculata,-40.6875,-19.757222
Aristolochia gracilipedunculata,-40.775278,-19.796944
Aristolochia gracilipedunculata,-40.731389,-19.833333
Aristolochia gracilipedunculata,-40.546389,-20.123056
Aristolochia gracilipedunculata,-40.665556,-18.978056
Aristolochia gracilipedunculata,-40.558611,-19.348056
Aristolochia gracilipedunculata,-40.664444,-18.973889
Aristolochia gracilipedunculata,-40.662778,-18.971944
Aristolochia gracilipedunculata,-40.6625,-18.985
Aristolochia gracilipedunculata,-40.443889,-18.776944
Aristolochia gracilipedunculata,-40.554111,-20.11075
Aristolochia gracilipedunculata,-40.673333,-18.990556
Aristolochia gracilipedunculata,-40.8908004760742,-18.7549991607666
Aristolochia gracilipedunculata,-40.525278,-19.310833
