SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.6161003112793,-26.1168994903564
Asplenium serra,-48.5900001525879,-24.5799999237061
Asplenium serra,-75.2,4.475
Asplenium serra,-59.2,1.55
Asplenium serra,-65.35,3.616667
Asplenium serra,-65.716667,3.816667
Asplenium serra,-62.116667,5.9
Asplenium serra,-49.914192,-29.416453
Asplenium serra,-50.394217,-29.420572
Asplenium serra,-51.015736,-29.673158
Asplenium serra,-50.018056,-29.678889
Asplenium serra,-50.118572,-29.134469
Asplenium serra,-50.104969,-29.132972
Asplenium serra,-50.118572,-29.134469
Asplenium serra,-51.394217,-29.420572
Asplenium serra,-42.8819007873535,-20.7539005279541
Asplenium serra,-48.5428009033203,-25.8174991607666
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-49.0769004821777,-25.3656005859375
Asplenium serra,-49.8889007568359,-29.551399230957
Asplenium serra,-50.0097007751465,-29.7455997467041
Asplenium serra,-50.0097007751465,-29.7455997467041
Asplenium serra,-50.0097007751465,-29.7455997467041
Asplenium serra,-50.2696990966797,-29.8866996765137
Asplenium serra,-50.5835990905762,-29.4480991363525
Asplenium serra,-50.5835990905762,-29.4480991363525
Asplenium serra,-50.5835990905762,-29.4480991363525
Asplenium serra,-50.5835990905762,-29.4480991363525
Asplenium serra,-51.1472015380859,-29.7602996826172
Asplenium serra,-51.1472015380859,-29.7602996826172
Asplenium serra,-51.1472015380859,-29.7602996826172
Asplenium serra,-51.1472015380859,-29.7602996826172
Asplenium serra,-50.1335983276367,-29.9846992492676
Asplenium serra,-50.1335983276367,-29.9846992492676
Asplenium serra,-48.5491981506348,-27.596700668335
Asplenium serra,-48.6678009033203,-27.645299911499
Asplenium serra,-47.9199981689453,-25.0100002288818
Asplenium serra,-50.0033,-25.4261
Asplenium serra,-50.0033,-25.4261
Asplenium serra,-49.882694,-27.917278
Asplenium serra,-46.966667,-23.25
Asplenium serra,-47.133333,-22.25
Asplenium serra,-47.133333,-22.25
Asplenium serra,-47.133333,-22.25
Asplenium serra,-47.666667,-22.133333
Asplenium serra,-46.1446990966797,-22.7553005218506
Asplenium serra,-48.834400177002,-25.476900100708
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-45.5900001525879,-22.7299995422363
Asplenium serra,-45.5900001525879,-22.7299995422363
Asplenium serra,-47.9199981689453,-25.0100002288818
Asplenium serra,-48.3400001525879,-24
Asplenium serra,-35.715556,-8.503889
Asplenium serra,-36.0116996765137,-8.82777976989746
Asplenium serra,-36.0318984985352,-9.16277980804443
Asplenium serra,-41.8114013671875,-13.5789003372192
Asplenium serra,-38.9331016540527,-4.26332998275757
Asplenium serra,-48.187198638916,-18.6471996307373
Asplenium serra,-42.5208015441895,-20.6667003631592
Asplenium serra,-44.7580986022949,-21.0331001281738
Asplenium serra,-43.793098449707,-21.8425006866455
Asplenium serra,-45.1652984619141,-22.4491996765137
Asplenium serra,-45.1652984619141,-22.4491996765137
Asplenium serra,-42.5311012268066,-22.2819004058838
Asplenium serra,-44.9599990844727,-23.0699996948242
Asplenium serra,-45.5900001525879,-22.7299995422363
Asplenium serra,-49.590556,-26.640278
Asplenium serra,-55.833889,-15.406944
Asplenium serra,-48.534917,-25.584861
Asplenium serra,-44.166111,-21.085
Asplenium serra,-50.385278,-24.580278
Asplenium serra,-41.6636009216309,-13.2496995925903
Asplenium serra,-40.749698638916,-20.6350002288818
Asplenium serra,-41.1347007751465,-20.3397006988525
Asplenium serra,-43.793098449707,-21.8425006866455
Asplenium serra,-45.1652984619141,-22.4491996765137
Asplenium serra,-49.0553016662598,-25.3055992126465
Asplenium serra,-49.5283012390137,-25.4585990905762
Asplenium serra,-51.3466987609863,-26.0174999237061
Asplenium serra,-48.5428009033203,-25.8174991607666
Asplenium serra,-48.834400177002,-25.476900100708
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-49.0769004821777,-25.3656005859375
Asplenium serra,-48.7221984863281,-26.3700008392334
Asplenium serra,-48.5592002868652,-27.3146991729736
Asplenium serra,-48.6161003112793,-26.1168994903564
Asplenium serra,-47.9199981689453,-25.0100002288818
Asplenium serra,-48.533333,-24.666667
Asplenium serra,-48.683333,-25.3
Asplenium serra,-48.318889,-25.512222
Asplenium serra,-49.3,-25.5
Asplenium serra,-39.565278,-15.391667
Asplenium serra,-39.565278,-15.391667
Asplenium serra,-42.988611,-22.456944
Asplenium serra,-48.483333,-25.65
Asplenium serra,-79.267,-5.292
Asplenium serra,-48.693,-24.539
Asplenium serra,-48.694167,-25.391389
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-49.0553016662598,-25.3055992126465
Asplenium serra,-49.5283012390137,-25.4585990905762
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-49.0633010864258,-25.4416999816895
Asplenium serra,-54.3025016784668,-22.4818992614746
Asplenium serra,-46.6300010681152,-23.5400009155273
Asplenium serra,-48.6161003112793,-26.1168994903564
Asplenium serra,-48.6161003112793,-26.1168994903564
Asplenium serra,-44.725028,-22.364639
Asplenium serra,-58.4136009216309,-9.95750045776367
Asplenium serra,-43.863611,-20.443611
Asplenium serra,-43.4075012207031,-20.0746994018555
Asplenium serra,-43.708056,-19.046389
Asplenium serra,-48.016666,-15.866666
Asplenium serra,-49.0553016662598,-25.3055992126465
Asplenium serra,-49.320833,-28.890278
Asplenium serra,-48.834400177002,-25.476900100708
Asplenium serra,-48.834400177002,-25.476900100708
Asplenium serra,-51.6596984863281,-25.6956005096436
Asplenium serra,-67.9522018432617,-9.83055973052979
Asplenium serra,-48.077222,-15.820278
Asplenium serra,-47.9296989440918,-15.7797002792358
Asplenium serra,-47.9296989440918,-15.7797002792358
Asplenium serra,-47.9296989440918,-15.7797002792358
Asplenium serra,-47.9296989440918,-15.7797002792358
Asplenium serra,-47.9296989440918,-15.7797002792358
Asplenium serra,-48.982167,-25.496722
Asplenium serra,-49.0553016662598,-25.3055992126465
Asplenium serra,-49.0553016662598,-25.3055992126465
Asplenium serra,-48.834400177002,-25.476900100708
Asplenium serra,-48.5092010498047,-25.5200004577637
Asplenium serra,-48.6716995239258,-26.7639007568359
