SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Baccharis crispa,-49.0553016662598,-25.3055992126465
Baccharis crispa,-54.5881004333496,-25.5478000640869
Baccharis crispa,-48.7118988037109,-25.4286003112793
Baccharis crispa,-48.7118988037109,-25.4286003112793
Baccharis crispa,-48.7118988037109,-25.4286003112793
Baccharis crispa,-49.4103012084961,-25.5930995941162
Baccharis crispa,-49.4103012084961,-25.5930995941162
Baccharis crispa,-49.6356010437012,-25.5839004516602
Baccharis crispa,-49.6356010437012,-25.5839004516602
Baccharis crispa,-49.6356010437012,-25.5839004516602
Baccharis crispa,-49.6356010437012,-25.5839004516602
Baccharis crispa,-49.6356010437012,-25.5839004516602
Baccharis crispa,-49.6356010437012,-25.5839004516602
Baccharis crispa,-49.0553016662598,-25.3055992126465
Baccharis crispa,-49.0553016662598,-25.3055992126465
Baccharis crispa,-49.0553016662598,-25.3055992126465
Baccharis crispa,-49.5283012390137,-25.4585990905762
Baccharis crispa,-49.2242012023926,-25.2917003631592
Baccharis crispa,-49.2242012023926,-25.2917003631592
Baccharis crispa,-50.6467018127441,-23.1811008453369
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-49.2731018066406,-25.4277992248535
Baccharis crispa,-51.4580993652344,-25.395299911499
Baccharis crispa,-49.7158012390137,-25.7696990966797
Baccharis crispa,-49.326099395752,-25.7789001464844
Baccharis crispa,-49.326099395752,-25.7789001464844
Baccharis crispa,-50.0064010620117,-25.4293994903564
Baccharis crispa,-50.0064010620117,-25.4293994903564
