SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Baccharis platypoda,-43.5080986022949,-20.2875003814697
Baccharis platypoda,-43.5080986022949,-20.2875003814697
Baccharis platypoda,-43.8513984680176,-19.7696990966797
Baccharis platypoda,-41.184700012207,-20.6035995483398
Baccharis platypoda,-49.0833,-25.3
Baccharis platypoda,-41.874666,-20.433066
Baccharis platypoda,-49.1333,-25.1833
Baccharis platypoda,-41.815278,-20.466389
Baccharis platypoda,-43.546944,-19.266667
Baccharis platypoda,-43.317194,-18.401556
Baccharis platypoda,-43.531222,-19.256806
Baccharis platypoda,-42.916667,-16.533333
Baccharis platypoda,-42.891389,-16.555278
Baccharis platypoda,-43.518222,-19.236028
Baccharis platypoda,-43.348333,-18.395833
Baccharis platypoda,-43.45,-18.130556
Baccharis platypoda,-43.533333,-19.25
Baccharis platypoda,-42.891389,-16.555278
Baccharis platypoda,-42.891389,-16.555278
Baccharis platypoda,-40.5110015869141,-20.6580009460449
Baccharis platypoda,-43.6002998352051,-18.2493991851807
Baccharis platypoda,-44.8699989318848,-22.283899307251
Baccharis platypoda,-43.7449989318848,-19.513599395752
Baccharis platypoda,-43.7449989318848,-19.513599395752
Baccharis platypoda,-43.7449989318848,-19.513599395752
Baccharis platypoda,-43.7449989318848,-19.513599395752
Baccharis platypoda,-43.7449989318848,-19.513599395752
Baccharis platypoda,-43.793098449707,-21.8425006866455
Baccharis platypoda,-43.3763999938965,-19.2155990600586
Baccharis platypoda,-43.5080986022949,-20.2875003814697
Baccharis platypoda,-43.5080986022949,-20.2875003814697
Baccharis platypoda,-43.4152984619141,-19.959400177002
Baccharis platypoda,-43.7144012451172,-19.1688995361328
Baccharis platypoda,-43.7144012451172,-19.1688995361328
Baccharis platypoda,-43.7144012451172,-19.1688995361328
Baccharis platypoda,-43.7144012451172,-19.1688995361328
Baccharis platypoda,-42.5311012268066,-22.2819004058838
Baccharis platypoda,-44.3199996948242,-22.6800003051758
Baccharis platypoda,-44.5699996948242,-22.6399993896484
Baccharis platypoda,-44.5699996948242,-22.6399993896484
Baccharis platypoda,-44.5699996948242,-22.6399993896484
Baccharis platypoda,-44.5699996948242,-22.6399993896484
Baccharis platypoda,-44.5699996948242,-22.6399993896484
Baccharis platypoda,-44.5699996948242,-22.6399993896484
Baccharis platypoda,-44.5699996948242,-22.6399993896484
Baccharis platypoda,-44.5699996948242,-22.6399993896484
Baccharis platypoda,-44.9667015075684,-22.3903007507324
Baccharis platypoda,-44.5633010864258,-22.4960994720459
Baccharis platypoda,-44.5633010864258,-22.4960994720459
Baccharis platypoda,-39.25,-16.133333
Baccharis platypoda,-41.807611,-20.431667
Baccharis platypoda,-43.881111,-21.703056
Baccharis platypoda,-43.563889,-19.293889
Baccharis platypoda,-41.0875,-20.519444
Baccharis platypoda,-43.276389,-22.418333
Baccharis platypoda,-44.64,-22.41
Baccharis platypoda,-43.674167,-19.101389
