SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Baccharis serrulata,-41.95,-13.533333
Baccharis serrulata,-41.95,-13.533333
Baccharis serrulata,-41.883333,-13.533333
Baccharis serrulata,-37.1557998657227,-8.62306022644043
Baccharis serrulata,-54.4813995361328,-27.8708000183105
Baccharis serrulata,-41.184700012207,-20.6035995483398
Baccharis serrulata,-51.09029,-29.115021
Baccharis serrulata,-43.233333,-22.9
Baccharis serrulata,-42.960278,-16.622222
Baccharis serrulata,-41.989722,-21.893333
Baccharis serrulata,-41.318083,-13.691611
Baccharis serrulata,-43.6295,-20.502556
Baccharis serrulata,-42.030556,-21.925
Baccharis serrulata,-44.582333,-22.66475
Baccharis serrulata,-43.51,-19.210833
Baccharis serrulata,-43.51,-19.210833
Baccharis serrulata,-43.638056,-20.512222
Baccharis serrulata,-43.638056,-20.512222
Baccharis serrulata,-43.638056,-20.512222
Baccharis serrulata,-43.638056,-20.512222
Baccharis serrulata,-43.655,-20.506389
Baccharis serrulata,-43.655,-20.506389
Baccharis serrulata,-42.958333,-16.622222
Baccharis serrulata,-42.961667,-16.604444
Baccharis serrulata,-42.961667,-16.604444
Baccharis serrulata,-42.910833,-16.604722
Baccharis serrulata,-42.910833,-16.604722
Baccharis serrulata,-43.51,-19.210833
Baccharis serrulata,-43.51,-19.210833
Baccharis serrulata,-42.911111,-16.556667
Baccharis serrulata,-42.911111,-16.556667
Baccharis serrulata,-42.030556,-21.925
Baccharis serrulata,-42.022222,-21.936111
Baccharis serrulata,-41.09,-16.339167
Baccharis serrulata,-44.009639,-19.4967
Baccharis serrulata,-41.989722,-21.893333
Baccharis serrulata,-42.916667,-16.6
Baccharis serrulata,-42.877778,-22.1475
Baccharis serrulata,-41.002222,-20.528694
Baccharis serrulata,-46.564722,-21.838889
Baccharis serrulata,-45.6575,-22.69
Baccharis serrulata,-40.369701385498,-19.8318996429443
Baccharis serrulata,-43.937801361084,-19.9207992553711
Baccharis serrulata,-43.937801361084,-19.9207992553711
Baccharis serrulata,-44.6425018310547,-21.4874992370605
Baccharis serrulata,-44.6425018310547,-21.4874992370605
Baccharis serrulata,-44.6425018310547,-21.4874992370605
Baccharis serrulata,-46.3278007507324,-22.3169002532959
Baccharis serrulata,-44.8711013793945,-21.3169002532959
Baccharis serrulata,-44.8711013793945,-21.3169002532959
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-43.7449989318848,-19.513599395752
Baccharis serrulata,-44.999698638916,-21.2453002929688
Baccharis serrulata,-44.999698638916,-21.2453002929688
Baccharis serrulata,-41.4844017028809,-17.0741996765137
Baccharis serrulata,-46.5614013671875,-21.7877998352051
Baccharis serrulata,-43.4152984619141,-19.959400177002
Baccharis serrulata,-43.4152984619141,-19.959400177002
Baccharis serrulata,-43.4152984619141,-19.959400177002
Baccharis serrulata,-43.7144012451172,-19.1688995361328
Baccharis serrulata,-43.7144012451172,-19.1688995361328
Baccharis serrulata,-43.7144012451172,-19.1688995361328
Baccharis serrulata,-44.1781005859375,-21.1103000640869
Baccharis serrulata,-44.1781005859375,-21.1103000640869
Baccharis serrulata,-44.1781005859375,-21.1103000640869
Baccharis serrulata,-42.8819007873535,-20.7539005279541
Baccharis serrulata,-42.8819007873535,-20.7539005279541
Baccharis serrulata,-42.8819007873535,-20.7539005279541
Baccharis serrulata,-35.7285995483398,-8.47027969360352
Baccharis serrulata,-42.5311012268066,-22.2819004058838
Baccharis serrulata,-42.0080986022949,-21.9552993774414
Baccharis serrulata,-45.5900001525879,-22.7299995422363
Baccharis serrulata,-46.8800010681152,-23.1800003051758
Baccharis serrulata,-45.1699981689453,-22.6100006103516
Baccharis serrulata,-47.560001373291,-22.4099998474121
Baccharis serrulata,-45.8400001525879,-23.5300006866455
Baccharis serrulata,-36.435227,-9.242764
Baccharis serrulata,-36.403611,-8.2075
Baccharis serrulata,-36.403611,-8.2075
Baccharis serrulata,-37.1557998657227,-8.62306022644043
Baccharis serrulata,-41.752222,-21.836667
