SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Barbacenia pabstiana,-41.184700012207,-20.6035995483398
Barbacenia pabstiana,-40.95,-20.433333
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-41.2971992492676,-16.0053005218506
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-40.6592,-20.3633
Barbacenia pabstiana,-41.041671,-20.419775
Barbacenia pabstiana,-41.108577,-20.492854
Barbacenia pabstiana,-40.816667,-20.15
Barbacenia pabstiana,-41.184700012207,-20.6035995483398
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-40.875301361084,-19.8738994598389
Barbacenia pabstiana,-40.7461013793945,-20.040599822998
Barbacenia pabstiana,-40.7461013793945,-20.040599822998
Barbacenia pabstiana,-40.3078002929688,-20.1285991668701
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-41.2971992492676,-16.0053005218506
Barbacenia pabstiana,-40.812778,-19.895833
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-40.918528,-20.1735
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-40.934722,-19.751111
Barbacenia cf. pabstiana,-40.814917,-19.8985
Barbacenia pabstiana,-40.814722,-19.897778
Barbacenia pabstiana,-40.824722,-19.888889
Barbacenia pabstiana,-40.472222,-19.914167
Barbacenia pabstiana,-41.100556,-20.519167
Barbacenia pabstiana,-40.806944,-19.910833
Barbacenia pabstiana,-40.924167,-20.176944
Barbacenia pabstiana,-40.924167,-20.176944
Barbacenia pabstiana,-41.100556,-20.519167
Barbacenia pabstiana,-41.100556,-20.519167
Barbacenia pabstiana,-40.981111,-19.741389
Barbacenia pabstiana,-40.775278,-19.796944
Barbacenia pabstiana,-41.100556,-20.519167
Barbacenia pabstiana,-40.775278,-19.796944
Barbacenia pabstiana,-40.775278,-19.796944
Barbacenia pabstiana,-41.100556,-20.519167
Barbacenia pabstiana,-40.665556,-18.977778
Barbacenia pabstiana,-40.665556,-18.977778
Barbacenia pabstiana,-40.775278,-19.796944
Barbacenia pabstiana,-40.775278,-19.796944
Barbacenia pabstiana,-40.775278,-19.796944
Barbacenia pabstiana,-41.083611,-20.516111
Barbacenia pabstiana,-41.100556,-20.520556
Barbacenia pabstiana,-40.793333,-19.835556
Barbacenia pabstiana,-40.921389,-20.1775
Barbacenia pabstiana,-40.770472,-19.803278
Barbacenia pabstiana,-40.973333,-19.747778
Barbacenia pabstiana,-40.859722,-19.992778
Barbacenia pabstiana,-41.422222,-20.723889
Barbacenia pabstiana,-40.919722,-20.1775
Barbacenia pabstiana,-40.793333,-19.833889
Barbacenia pabstiana,-41.100556,-20.519167
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
Barbacenia pabstiana,-40.6591987609863,-20.3633003234863
