SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Barbacenia purpurea,-40.7402992248535,-18.9831008911133
Barbacenia purpurea,-40.5355987548828,-19.0174999237061
Barbacenia purpurea,-41.4539,-21.7944
Barbacenia purpurea,-43.448386,-22.913514
Barbacenia purpurea,-43.448386,-22.913514
Barbacenia purpurea,-44.5633010864258,-22.4960994720459
Barbacenia purpurea,-43.1786003112793,-22.5049991607666
Barbacenia purpurea,-43.1786003112793,-22.5049991607666
Barbacenia purpurea,-43.1035995483398,-22.88330078125
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-40.995833,-17.8275
Barbacenia purpurea,-41.260833,-17.856111
Barbacenia purpurea,-43.019722,-22.973056
Barbacenia purpurea,-41.911944,-21.898889
Barbacenia purpurea,-46.6300010681152,-23.5400009155273
Barbacenia purpurea,-41.146944,-18.524722
Barbacenia purpurea,-46.9900016784668,-24.3199996948242
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-41.447778,-21.796944
Barbacenia purpurea,-41.448056,-21.797222
Barbacenia purpurea,-46.6300010681152,-23.5400009155273
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
Barbacenia purpurea,-43.2075004577637,-22.9027996063232
