SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Barbacenia tomentosa,-41.3664016723633,-21.0641994476318
Barbacenia tomentosa,-44.6425018310547,-21.4874992370605
Barbacenia tomentosa,-43.7449989318848,-19.513599395752
Barbacenia tomentosa,-44.999698638916,-21.2453002929688
Barbacenia tomentosa,-44.9852981567383,-21.7222003936768
Barbacenia tomentosa,-44.999698638916,-21.2453002929688
Barbacenia tomentosa,-44.9852981567383,-21.7222003936768
Barbacenia tomentosa,-44.9852981567383,-21.7222003936768
Barbacenia tomentosa,-44.9852981567383,-21.7222003936768
Barbacenia tomentosa,-43.54,-20.160833
Barbacenia tomentosa,-43.717222,-19.033056
Barbacenia tomentosa,-43.937801361084,-19.9207992553711
Barbacenia tomentosa,-43.714444,-19.035278
Barbacenia tomentosa,-43.706944,-19.035278
Barbacenia tomentosa,-43.6697006225586,-19.8799991607666
Barbacenia tomentosa,-43.8466987609863,-19.9855995178223
Barbacenia tomentosa,-43.7144012451172,-19.1688995361328
Barbacenia tomentosa,-43.978611,-20.048611
Barbacenia tomentosa,-43.694722,-19.035278
Barbacenia tomentosa,-44.521611,-21.271225
Barbacenia tomentosa,-44.515258,-21.256967
Barbacenia tomentosa,-44.50625,-21.247589
Barbacenia tomentosa,-44.291633,-21.157983
Barbacenia tomentosa,-46.767222,-20.4425
Barbacenia tomentosa,-43.937801361084,-19.9207992553711
Barbacenia tomentosa,-44.9852981567383,-21.7222003936768
Barbacenia tomentosa,-44.9852981567383,-21.7222003936768
Barbacenia tomentosa,-44.999698638916,-21.2453002929688
Barbacenia tomentosa,-43.473094,-20.427823
Barbacenia tomentosa,-44.999698638916,-21.2453002929688
Barbacenia tomentosa,-41.3664016723633,-21.0641994476318
Barbacenia tomentosa,-41.3664016723633,-21.0641994476318
Barbacenia tomentosa,-40.9803009033203,-18.7817001342773
Barbacenia tomentosa,-41.1128005981445,-20.8488998413086
Barbacenia tomentosa,-41.3664016723633,-21.0641994476318
Barbacenia tomentosa,-44.21972,-21.12917
Barbacenia tomentosa,-44.9852981567383,-21.7222003936768
Barbacenia tomentosa,-44.999444,-21.245278
Barbacenia tomentosa,-44.603333,-21.976111
Barbacenia tomentosa,-44.999444,-21.245278
Barbacenia tomentosa,-44.974167,-21.331944
