SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Begonia lossiae,-40.4006004333496,-18.710599899292
Begonia lossiae,-40.4006004333496,-18.710599899292
Begonia lossiae,-40.4006004333496,-18.710599899292
Begonia lossiae,-40.4006004333496,-18.710599899292
Begonia lossiae,-40.4006004333496,-18.710599899292
Begonia lossiae,-39.590556,-16.995278
Begonia lossiae,-40.45,-18.766667
Begonia lossiae,-40.443889,-18.776944
Begonia lossiae,-40.4006004333496,-18.710599899292
Begonia lossiae,-40.4006004333496,-18.710599899292
Begonia lossiae,-40.4006004333496,-18.710599899292
Begonia lossiae,-40.741944,-19.828056
Begonia lossiae,-40.446389,-18.782778
Begonia lossiae,-40.45,-18.766667
Begonia lossiae,-40.432778,-18.7825
Begonia lossiae,-40.432778,-18.7825
Begonia lossiae,-40.443889,-18.776944
Begonia lossiae,-40.4475,-18.77
Begonia lossiae,-40.739722,-19.826944
Begonia lossiae,-40.457611,-18.767
Begonia lossiae,-40.456667,-18.769167
Begonia lossiae,-40.738583,-19.825833
