SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Begonia valdensium,-41.184700012207,-20.6035995483398
Begonia valdensium,-41.184700012207,-20.6035995483398
Begonia valdensium,-45.6725,-23.645556
Begonia valdensium,-45.048056,-23.224444
Begonia valdensium,-42.5311012268066,-22.2819004058838
Begonia valdensium,-45.8400001525879,-23.5300006866455
Begonia valdensium,-47.9900016784668,-23.8700008392334
Begonia valdensium,-47.9900016784668,-23.8700008392334
Begonia valdensium,-45.0699996948242,-23.4300003051758
Begonia valdensium,-44.833889,-23.200278
Begonia valdensium,-44.825833,-23.205
Begonia valdensium,-44.233611,-22.889444
Begonia valdensium,-42.5311012268066,-22.2819004058838
Begonia valdensium,-44.7131004333496,-23.2178001403809
Begonia valdensium,-44.7131004333496,-23.2178001403809
Begonia valdensium,-43.1786003112793,-22.5049991607666
Begonia valdensium,-44.1356010437012,-22.7231006622314
Begonia valdensium,-42.9655990600586,-22.4122009277344
Begonia valdensium,-42.9655990600586,-22.4122009277344
Begonia valdensium,-42.9655990600586,-22.4122009277344
Begonia valdensium,-45.8400001525879,-23.5300006866455
Begonia valdensium,-47.9900016784668,-23.8700008392334
Begonia valdensium,-47.9900016784668,-23.8700008392334
Begonia valdensium,-46.6300010681152,-23.5400009155273
Begonia valdensium,-47.9199981689453,-24.3799991607666
Begonia valdensium,-46.311917,-23.77675
Begonia valdensium,-43.2075004577637,-22.9027996063232
Begonia valdensium,-45.4099998474121,-23.6200008392334
Begonia valdensium,-48.0499992370605,-23.5900001525879
Begonia valdensium,-47.9900016784668,-23.8700008392334
Begonia valdensium,-47.9900016784668,-23.8700008392334
Begonia valdensium,-44.9599990844727,-23.0699996948242
Begonia valdensium,-47.9199981689453,-24.3799991607666
Begonia valdensium,-47.9199981689453,-24.3799991607666
Begonia valdensium,-47.9199981689453,-24.3799991607666
Begonia valdensium,-44.5633010864258,-22.4960994720459
Begonia valdensium,-43.1786003112793,-22.5049991607666
Begonia valdensium,-43.2075004577637,-22.9027996063232
Begonia valdensium,-43.2075004577637,-22.9027996063232
Begonia valdensium,-41.6671981811523,-20.5414009094238
Begonia valdensium,-41.9071998596191,-20.6502990722656
Begonia valdensium,-43.2075004577637,-22.9027996063232
Begonia valdensium,-43.2075004577637,-22.9027996063232
Begonia valdensium,-42.5219,-22.4361
Begonia valdensium,-45.2799987792969,-22.5091991424561
Begonia valdensium,-46.5299987792969,-23.6599998474121
Begonia valdensium,-47.9199981689453,-24.3799991607666
Begonia valdensium,-42.9655990600586,-22.4122009277344
Begonia valdensium,-47.9900016784668,-23.8700008392334
Begonia valdensium,-475.939,-240.829
Begonia valdensium,-45.32,-23.44
Begonia valdensium,-47.9900016784668,-23.8700008392334
Begonia valdensium,-475.813,-290.344
Begonia valdensium,-454.021,-233.844
Begonia valdensium,-453.706,-234.132
Begonia valdensium,-46.42,-23.59
Begonia valdensium,-47.9199981689453,-24.3799991607666
Begonia valdensium,-47.9199981689453,-24.3799991607666
Begonia valdensium,-47.9900016784668,-23.8700008392334
Begonia valdensium,-45.84,-23.53
Begonia valdensium,-44.836028,0
Begonia valdensium,-47.985556,-24.156917
Begonia valdensium,-44.836028,0
Begonia valdensium,-42.529783,-22.425117
Begonia valdensium,-45.690694,-23.62625
Begonia valdensium,-45.695611,-23.632667
Begonia valdensium,-44.836028,0
Begonia valdensium,-47.92,-24.38
Begonia valdensium,-40.047361,-16.411306
Begonia valdensium,-41.184700012207,-20.6035995483398
Begonia valdensium,-40.6002998352051,-19.9356002807617
Begonia valdensium,-46.760799,-23.9858
Begonia valdensium,-44.833333,-23.166667
Begonia valdensium,-46.316667,-23.783333
Begonia valdensium,-46.316667,-23.783333
Begonia valdensium,-46.316667,-23.783333
Begonia valdensium,-46.316667,-23.783333
Begonia valdensium,-45.048056,-23.224444
Begonia valdensium,-45.6725,-23.645556
Begonia valdensium,-44.1911010742188,-21.9472007751465
Begonia valdensium,-45.2799987792969,-22.5091991424561
Begonia valdensium,-43.5080986022949,-20.2875003814697
Begonia valdensium,-44.7131004333496,-23.2178001403809
Begonia valdensium,-42.9655990600586,-22.4122009277344
Begonia valdensium,-45.4099998474121,-23.6200008392334
Begonia valdensium,-45.4099998474121,-23.6200008392334
