SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Bidens segetum,-50.1618995666504,-25.0949993133545
Bidens segetum,-48.416667,-22.75
Bidens segetum,-41.184700012207,-20.6035995483398
Bidens segetum,-44.146349,-17.779655
Bidens segetum,-46.483333,-23.433333
Bidens segetum,-44.199167,-17.690556
Bidens segetum,-44.267222,-17.698333
Bidens segetum,-48,-23.566667
Bidens segetum,-46.483333,-23.433333
Bidens segetum,-46.483333,-23.433333
Bidens segetum,-43.666667,-19.333333
Bidens segetum,-46.974722,-23.004722
Bidens segetum,-46.974722,-23.004722
Bidens segetum,-46.483333,-23.433333
Bidens segetum,-44.816944,-22.374167
Bidens segetum,-49.541667,-25.305556
Bidens segetum,-44.817222,-22.3725
Bidens segetum,-44.805889,-22.375861
Bidens segetum,-43.835833,-19.374167
Bidens segetum,-43.835806,-19.374167
Bidens segetum,-47.416667,-21.816667
Bidens segetum,-51.766667,-20.983333
Bidens segetum,-46.302778,-22.866111
Bidens segetum,-47.9296989440918,-15.7797002792358
Bidens segetum,-45.9472007751465,-21.42919921875
Bidens segetum,-46.1446990966797,-22.7553005218506
Bidens segetum,-46.3182983398438,-22.854700088501
Bidens segetum,-44.1721992492676,-17.7574996948242
Bidens segetum,-44.999698638916,-21.2453002929688
Bidens segetum,-44.999698638916,-21.2453002929688
Bidens segetum,-44.9667015075684,-22.3903007507324
Bidens segetum,-43.4152984619141,-19.959400177002
Bidens segetum,-46.3657989501953,-20.2453002929688
Bidens segetum,-48.2771987915039,-18.9186000823975
Bidens segetum,-50.7411003112793,-23.7275009155273
Bidens segetum,-47.6500015258789,-20.9899997711182
Bidens segetum,-47.6500015258789,-20.9899997711182
Bidens segetum,-47.7000007629395,-20.1900005340576
Bidens segetum,-47.7000007629395,-20.1900005340576
Bidens segetum,-47.2999992370605,-21.2700004577637
Bidens segetum,-47.2999992370605,-21.2700004577637
Bidens segetum,-47.2999992370605,-21.2700004577637
Bidens segetum,-47.060001373291,-22.8999996185303
Bidens segetum,-47.060001373291,-22.8999996185303
Bidens segetum,-47.060001373291,-22.8999996185303
Bidens segetum,-47.060001373291,-22.8999996185303
Bidens segetum,-47.060001373291,-22.8999996185303
Bidens segetum,-47.060001373291,-22.8999996185303
Bidens segetum,-47.6199989318848,-22.2199993133545
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.9421997070312,-22.372200012207
Bidens segetum,-46.9421997070312,-22.372200012207
Bidens segetum,-46.9500007629395,-22.4300003051758
Bidens segetum,-46.9500007629395,-22.4300003051758
Bidens segetum,-46.6800003051758,-22.6800003051758
Bidens segetum,-47.4700012207031,-20.25
Bidens segetum,-47.4700012207031,-20.25
Bidens segetum,-45.1699981689453,-22.6100006103516
Bidens segetum,-46.6300010681152,-23.5400009155273
Bidens segetum,-47.2599983215332,-22.8199996948242
Bidens segetum,-47.5,-23.9599990844727
Bidens segetum,-43.937801361084,-19.9207992553711
Bidens segetum,-44.9667015075684,-22.3903007507324
Bidens segetum,-47.090278,-23.975556
Bidens segetum,-43.894444,-21.712222
Bidens segetum,-43.483333,-20.083333
Bidens segetum,-49.293611,-24.938194
Bidens segetum,-49.808811,-25.551358
Bidens segetum,-46.903056,-20.297583
Bidens segetum,-41.143333,-20.304722
Bidens segetum,-44.813333,-23.140278
Bidens segetum,-41.8683013916016,-20.4333000183105
Bidens segetum,-43.6557998657227,-18.4456005096436
Bidens segetum,-44.1721992492676,-17.7574996948242
Bidens segetum,-43.793098449707,-21.8425006866455
Bidens segetum,-42.874698638916,-15.1549997329712
Bidens segetum,-46.5181007385254,-18.5788993835449
Bidens segetum,-47.2928009033203,-19.3528003692627
Bidens segetum,-47.2928009033203,-19.3528003692627
Bidens segetum,-46.3657989501953,-20.2453002929688
Bidens segetum,-44.9852981567383,-21.7222003936768
Bidens segetum,-44.9852981567383,-21.7222003936768
Bidens segetum,-42.8713989257812,-15.8285999298096
Bidens segetum,-42.8819007873535,-20.7539005279541
Bidens segetum,-42.8819007873535,-20.7539005279541
Bidens segetum,-48.9911003112793,-24.6571998596191
Bidens segetum,-49.8266983032227,-24.1578006744385
Bidens segetum,-49.6356010437012,-25.5839004516602
Bidens segetum,-49.6356010437012,-25.5839004516602
Bidens segetum,-49.6356010437012,-25.5839004516602
Bidens segetum,-49.1150016784668,-25.2061004638672
Bidens segetum,-49.0553016662598,-25.3055992126465
Bidens segetum,-49.0553016662598,-25.3055992126465
Bidens segetum,-49.5283012390137,-25.4585990905762
Bidens segetum,-49.5283012390137,-25.4585990905762
Bidens segetum,-50.0971984863281,-24.9178009033203
Bidens segetum,-49.261100769043,-24.823600769043
Bidens segetum,-49.261100769043,-24.823600769043
Bidens segetum,-49.2731018066406,-25.4277992248535
Bidens segetum,-49.2731018066406,-25.4277992248535
Bidens segetum,-49.4197006225586,-24.5680999755859
Bidens segetum,-49.7057991027832,-24.2511005401611
Bidens segetum,-49.7057991027832,-24.2511005401611
Bidens segetum,-50.9494018554688,-24.2082996368408
Bidens segetum,-50.1618995666504,-25.0949993133545
Bidens segetum,-50.1618995666504,-25.0949993133545
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-50.4136009216309,-24.5093994140625
Bidens segetum,-44.5633010864258,-22.4960994720459
Bidens segetum,-42.3917007446289,-22.6508007049561
Bidens segetum,-48.8456001281738,-26.3043994903564
Bidens segetum,-45.5900001525879,-22.7299995422363
Bidens segetum,-46.6300010681152,-23.5400009155273
Bidens segetum,-46.6300010681152,-23.5400009155273
Bidens segetum,-47.857222,-15.892222
Bidens segetum,-47.85,-15.866667
Bidens segetum,-47.85,-15.866667
Bidens segetum,-47.9296989440918,-15.7797002792358
Bidens segetum,-48.392917,-19.182
Bidens segetum,-49.31182,-25.419457
Bidens segetum,-49.2731018066406,-25.4277992248535
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-49.6356010437012,-25.5839004516602
Bidens segetum,-50.1618995666504,-25.0949993133545
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-46.5181007385254,-18.5788993835449
Bidens segetum,-49.7158012390137,-25.7696990966797
Bidens segetum,-44.1721992492676,-17.7574996948242
Bidens segetum,-44.1721992492676,-17.7574996948242
Bidens segetum,-49.6356010437012,-25.5839004516602
Bidens segetum,-48.9911003112793,-24.6571998596191
Bidens segetum,-53.09728997,-10.78430668
Bidens segetum,-53.09728997,-10.78430668
Bidens segetum,-43.8616981506348,-16.7350006103516
Bidens segetum,-43.8616981506348,-16.7350006103516
Bidens segetum,-47.416667,-21.816667
Bidens segetum,-44.607111,-22.454917
Bidens segetum,-44.73705,-22.3598
Bidens segetum,-47.6599998474121,-22.1200008392334
Bidens segetum,-47.2999992370605,-21.2700004577637
Bidens segetum,-47.060001373291,-22.8999996185303
Bidens segetum,-47.8199996948242,-22.25
Bidens segetum,-50.5400009155273,-20.2600002288818
Bidens segetum,-46.8800010681152,-23.1800003051758
Bidens segetum,-46.6800003051758,-22.6800003051758
Bidens segetum,-44.9852981567383,-21.7222003936768
Bidens segetum,-48.2771987915039,-18.9186000823975
Bidens segetum,-43.937801361084,-19.9207992553711
Bidens segetum,-43.7144012451172,-19.1688995361328
Bidens segetum,-41.849444,-20.415277
Bidens segetum,-47.19722,-15.98333
Bidens segetum,-48,-15.86667
Bidens segetum,-43.515555,-20.439166
Bidens segetum,-46.171388,-19.696111
Bidens segetum,-47.9296989440918,-15.7797002792358
Bidens segetum,-47.9296989440918,-15.7797002792358
Bidens segetum,-47.9296989440918,-15.7797002792358
Bidens segetum,-46.1713981628418,-19.6961002349854
Bidens segetum,-49.5283012390137,-25.4585990905762
Bidens segetum,-48.1267,-22.2842
Bidens segetum,-46.5503,-23.1169
Bidens segetum,-46.6808,-22.6819
Bidens segetum,-44.9597,-23.0744
Bidens segetum,-46.1447,-22.7553
Bidens segetum,-45.233262,-22.59362
Bidens segetum,-49.465,-18.9689
Bidens segetum,-47.0608,-22.9056
Bidens segetum,-47.0608,-22.9056
Bidens segetum,-47.077171,-22.870251
Bidens segetum,-47.419167,-20.236111
Bidens segetum,-46.8539009094238,-20.343900680542
Bidens segetum,-46.8539009094238,-20.343900680542
Bidens segetum,-46.8539009094238,-20.343900680542
Bidens segetum,-47.2999992370605,-21.2700004577637
Bidens segetum,-47.2999992370605,-21.2700004577637
Bidens segetum,-47.2999992370605,-21.2700004577637
Bidens segetum,-47.2999992370605,-21.2700004577637
Bidens segetum,-44.277128,-21.550056
Bidens segetum,-44.485272,-21.236175
Bidens segetum,-44.3180999755859,-21.021900177002
Bidens segetum,-44.1781005859375,-21.1103000640869
Bidens segetum,-43.207778,-22.903333
Bidens segetum,-44.768333,-22.365556
Bidens segetum,-43.589444,-20.461389
Bidens segetum,-43.45,-20.304167
Bidens segetum,-50.583333,-24.333333
Bidens segetum,-50.834444,-17.172778
Bidens segetum,-50.635556,-16.987778
Bidens segetum,-48.753611,-15.746389
Bidens segetum patula,-44.4042015075684,-19.2744007110596
Bidens segetum,-45.8400001525879,-22.9500007629395
Bidens segetum,-44.4042015075684,-19.2744007110596
Bidens segetum,-44.2467002868652,-19.465799331665
Bidens segetum,-46.6300010681152,-23.5400009155273
Bidens segetum patula,-44.8988990783691,-18.7581005096436
Bidens segetum,-46.6300010681152,-23.5400009155273
Bidens segetum,-47.9296989440918,-15.7797002792358
Bidens segetum,-44.5633010864258,-22.4960994720459
Bidens segetum patula,-47.9296989440918,-15.7797002792358
Bidens segetum,-45.963333,-22.713333
Bidens segetum,-44.1721992492676,-17.7574996948242
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-50.7411003112793,-23.7275009155273
Bidens segetum,-50.7411003112793,-23.7275009155273
Bidens segetum,-50.7411003112793,-23.7275009155273
Bidens segetum,-50.7411003112793,-23.7275009155273
Bidens segetum,-50.7411003112793,-23.7275009155273
Bidens segetum,-49.4636001586914,-24.1128005981445
Bidens segetum,-49.4636001586914,-24.1128005981445
Bidens segetum,-49.4636001586914,-24.1128005981445
Bidens segetum,-50.6156005859375,-24.3239002227783
Bidens segetum,-50.4136009216309,-24.5093994140625
Bidens segetum,-48,-23.566667
Bidens segetum,-45.583889,-22.763056
Bidens segetum,-47.090278,-23.975556
Bidens segetum,-46.425556,-23.391111
Bidens segetum,-44.925556,-23.137778
Bidens segetum,-44.1721992492676,-17.7574996948242
Bidens segetum,-44.1721992492676,-17.7574996948242
Bidens segetum,-48.5900001525879,-23.7900009155273
Bidens segetum,-45.5900001525879,-22.7299995422363
Bidens segetum,-45.189998626709,-22.8099994659424
Bidens segetum,-47.9296989440918,-15.7797002792358
Bidens segetum,-44.1719,-17.7575
Bidens segetum,-43.8894,-19.6272
Bidens segetum,-43.1783,-22.505
Bidens segetum,-43.5525,-21.4569
Bidens segetum,-42.5611,-14.5808
Bidens segetum,-63.92,-18.1
Bidens segetum,-45.84,-22.9503
Bidens segetum,-50.1617,-25.095
Bidens segetum patula,-49.465,-18.9692
Bidens segetum patula,-44.1708333,-17.7588
Bidens segetum patula,-47.9294,-15.7797
Bidens segetum patula,-43.21845,-16.40385
Bidens segetum patula,-47.5167,-13.5744
Bidens segetum patula,-47.33,-16.88
Bidens segetum patula,-43.68024,-18.32666
Bidens segetum patula,-47.9294,-15.7797
Bidens segetum,-43.073169,-22.496706
Bidens segetum,-43.073169,-22.496706
Bidens segetum,-39.9464167,-19.4303889
Bidens segetum,-42.2219,-14.5044
Bidens segetum patula,-47.37,-13.8
Bidens segetum patula,-47.37,-13.8
Bidens segetum,-49.016667,-22.333333
Bidens segetum,-48.416667,-22.75
Bidens segetum,-42.409167,-22.351667
Bidens segetum,-42.841667,-22.070833
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-44.5633010864258,-22.4960994720459
Bidens segetum,-44.5633010864258,-22.4960994720459
Bidens seggetum,-43.937801361084,-19.9207992553711
Bidens seggetum,-47.060001373291,-22.8999996185303
Bidens seggetum patula,-47.9296989440918,-15.7797002792358
Bidens seggetum,-45.8800010681152,-23.1700000762939
Bidens seggetum,-43.1786003112793,-22.5049991607666
Bidens segetum,-43,-20
Bidens segetum,-41.6671981811523,-20.5414009094238
Bidens segetum,-41.5358009338379,-20.3458003997803
Bidens segetum,-41.9071998596191,-20.6502990722656
Bidens segetum,-53.573444,-25.512694
Bidens segetum,-53.94475,-25.569417
Bidens segetum,-47.416667,-21.816667
Bidens segetum,-53.512514,-25.541556
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.999444,-21.245278
Bidens segetum,-44.642778,-21.488056
Bidens segetum,-44.642778,-21.488056
Bidens segetum,-44.6425018310547,-21.4874992370605
Bidens segetum,-44.8838996887207,-20.1389007568359
Bidens segetum,-44.9171981811523,-21.4011001586914
Bidens segetum,-44.9171981811523,-21.4011001586914
Bidens segetum,-44.9171981811523,-21.4011001586914
Bidens segetum,-44.9171981811523,-21.4011001586914
Bidens segetum,-44.9171981811523,-21.4011001586914
Bidens segetum,-44.9171981811523,-21.4011001586914
Bidens segetum,-44.8699989318848,-22.283899307251
Bidens segetum,-44.8711013793945,-21.3169002532959
Bidens segetum,-44.8711013793945,-21.3169002532959
Bidens segetum,-44.8711013793945,-21.3169002532959
Bidens segetum,-44.8711013793945,-21.3169002532959
Bidens segetum,-45.2358016967773,-21.2357997894287
Bidens segetum,-44.8272018432617,-20.6963996887207
Bidens segetum,-46.5614013671875,-21.7877998352051
Bidens segetum,-40.0722007751465,-19.3910999298096
Bidens segetum,-40.0722007751465,-19.3910999298096
Bidens segetum,-75.27,2.57
Bidens segetum,-67.72,-16.18
Bidens segetum,-68.12,-16.15
Bidens segetum,-67.33,-16.67
Bidens segetum,-67.33,-16.67
Bidens segetum,-67.75,-16.23
Bidens segetum,-43.95,-20.25
Bidens segetum,-46.3692,-22.4744
Bidens segetum,-63.92,-18.1
Bidens segetum,-39.9464,-19.4303
Bidens segetum,-74.33,-5.42
Bidens segetum,-44.9853,-21.7222
Bidens segetum,-49.6366,-25.0036
Bidens segetum,-49.8089,-25.5514
Bidens segetum,-46.570272,-21.773022
Bidens segetum,-43.4249992370605,-19.0372009277344
Bidens segetum,-43.7144012451172,-19.1688995361328
Bidens segetum,-49.238899230957,-22.8805999755859
Bidens segetum,-48.1199989318848,-22.2800006866455
Bidens segetum,-45.8400001525879,-23.5300006866455
Bidens segetum,-47.940278,-21.510278
Bidens segetum,-42.221944,-14.504444
Bidens segetum,-42.561111,-14.580833
Bidens segetum,-44.585556,-22.659167
Bidens segetum,-41.868333,-13.463333
Bidens segetum,-44.1721992492676,-17.7574996948242
Bidens segetum,-44.5633010864258,-22.4960994720459
Bidens segetum,-45.8400001525879,-22.9500007629395
Bidens segetum,-44.961889,-21.728389
Bidens segetum,-43.7144012451172,-19.1688995361328
Bidens segetum,-46.3899993896484,-23.1800003051758
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-46.1883010864258,-23.5228004455566
Bidens segetum,-43.966944,-20.208611
Bidens segetum,-45.5900001525879,-22.7299995422363
Bidens segetum,-45.5900001525879,-22.7299995422363
Bidens segetum,-45.5900001525879,-22.7299995422363
Bidens segetum,-44.1721992492676,-17.7574996948242
Bidens segetum,-22.5087,-44.8187
Bidens segetum,-23.2541,-46.0008
Bidens segetum,-46.3507995605469,-22.4407997131348
Bidens segetum,-47.9099998474121,-22.5400009155273
Bidens segetum,-43.7144012451172,-19.1688995361328
Bidens segetum,-42.9655990600586,-22.4122009277344
Bidens segetum,-44.5699996948242,-22.6399993896484
Bidens segetum,-454.021,-233.844
Bidens segetum,-462.128,-231.425
Bidens segetum,-44.1721992492676,-17.7574996948242
Bidens segetum,-43.793098449707,-21.8425006866455
Bidens segetum,-49.3142013549805,-25.1900005340576
Bidens segetum,-49.060001373291,-22.3099994659424
Bidens segetum,-47.9099998474121,-22.5400009155273
Bidens segetum,-47.9099998474121,-22.5400009155273
Bidens segetum,-47.9099998474121,-22.5400009155273
Bidens segetum,-44.7131004333496,-23.2178001403809
Bidens segetum,-44.7131004333496,-23.2178001403809
Bidens segetum,-43.7449989318848,-19.513599395752
Bidens segetum,-43.7144012451172,-19.1688995361328
Bidens segetum,-44.3946990966797,-22.1674995422363
Bidens segetum,-42.0293998718262,-20.7331008911133
Bidens segetum,-44.9324989318848,-21.9771995544434
Bidens segetum,-43.3502998352051,-21.7642002105713
Bidens segetum,-43.3502998352051,-21.7642002105713
Bidens segetum,-43.3502998352051,-21.7642002105713
Bidens segetum,-43.898333,-21.716111
Bidens segetum,-43.9757995605469,-21.1868991851807
Bidens segetum,-43.937801361084,-19.9207992553711
Bidens segetum,-44.1721992492676,-17.7574996948242
Bidens segetum,-43.3502998352051,-21.7642002105713
Bidens segetum,-43.3502998352051,-21.7642002105713
Bidens segetum,-43.3502998352051,-21.7642002105713
Bidens segetum,-43.3502998352051,-21.7642002105713
Bidens segetum,-43.3502998352051,-21.7642002105713
Bidens segetum,-43.793098449707,-21.8425006866455
Bidens segetum,-43.793098449707,-21.8425006866455
Bidens segetum,-42.8713989257812,-15.8285999298096
Bidens segetum,-43.687198638916,-19.6697006225586
Bidens segetum,-49.6356010437012,-25.5839004516602
Bidens segetum,-50.6156005859375,-24.3239002227783
Bidens segetum,-44.65,-22.033333
Bidens segetum,-41.819639,-20.506306
Bidens segetum,-44.227222,-20.112778
Bidens segetum,-45.321389,-22.575028
Bidens segetum,-45.341444,-22.610667
Bidens segetum,-45.346611,-22.608667
Bidens segetum,-45.346333,-22.608972
Bidens segetum,-39.8325,-19.557925
Bidens segetum,-40.589169,-20.128075
Bidens segetum,-43.714889,-19.357778
Bidens segetum,-43.891111,-20.105278
Bidens segetum,-41.993889,-21.958333
Bidens segetum,-45.963333,-22.713333
Bidens segetum,-43.824167,-20.175
Bidens segetum,-43.824167,-20.175
Bidens segetum,-43.678889,-20.028611
