SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Bifrenaria tyrianthina,-41.95,-13.533333
Bifrenaria tyrianthina,-43.7449989318848,-19.513599395752
Bifrenaria tyrianthina,-43.7449989318848,-19.513599395752
Bifrenaria tyrianthina,-43.7449989318848,-19.513599395752
Bifrenaria tyrianthina,-43.7144012451172,-19.1688995361328
Bifrenaria tyrianthina,-43.5505,-19.258972
Bifrenaria tyrianthina,-43.709722,-19.038611
Bifrenaria tyrianthina,-43.8466987609863,-19.9855995178223
Bifrenaria tyrianthina,-41.85,-13.33
Bifrenaria tyrianthina,-43.4160995483398,-20.377799987793
Bifrenaria tyrianthina,-45.066667,-23.433333
Bifrenaria tyrianthina,-41.85,-13.326389
Bifrenaria tyrianthina,-41.85,-13.333333
Bifrenaria tyrianthina,-42.803889,-15.23
Bifrenaria tyrianthina,-41.511389,-12.756111
Bifrenaria tyrianthina,-41.95,-13.533333
Bifrenaria tyrianthina,-41.5,-12.85
Bifrenaria tyrianthina,-41.2,-11.583333
Bifrenaria tyrianthina,43.261111,-18.229722
Bifrenaria tyrianthina,43.784722,-18.030833
Bifrenaria tyrianthina,43.261111,-18.229722
Bifrenaria tyrianthina,43.7175,-18.255278
Bifrenaria tyrianthina,-43.6002998352051,-18.2493991851807
Bifrenaria tyrianthina magnicalcarata,-43.801399230957,-20.2532997131348
Bifrenaria tyrianthina,-43.8278007507324,-22.0891990661621
Bifrenaria tyrianthina,-43.436667,-20.153611
Bifrenaria tyrianthina,-43.436667,-20.153611
Bifrenaria tyrianthina,-43.848611,-20.228611
Bifrenaria tyrianthina,-43.605,-20.197222
Bifrenaria tyrianthina,-43.902778,-20.279722
Bifrenaria tyrianthina,-43.4075012207031,-20.0746994018555
Bifrenaria tyrianthina,-43.7144012451172,-19.1688995361328
Bifrenaria tyrianthina,-43.7144012451172,-19.1688995361328
Bifrenaria tyrianthina,-43.3908004760742,-18.0041999816895
Bifrenaria tyrianthina,-43.3793983459473,-18.604700088501
Bifrenaria tyrianthina,-41.95,-13.533333
Bifrenaria tyrianthina,-41.95,-13.533333
Bifrenaria tyrianthina,-41.95,-13.533333
Bifrenaria tyrianthina,-43.6557998657227,-18.4456005096436
Bifrenaria tyrianthina,-43.6002998352051,-18.2493991851807
Bifrenaria tyrianthina,-41.2971992492676,-16.0053005218506
Bifrenaria tyrianthina,-43.7144012451172,-19.1688995361328
Bifrenaria tyrianthina,-46.5499992370605,-23.1100006103516
Bifrenaria tyrianthina,-43.8577995300293,-20.4997005462646
Bifrenaria tyrianthina,-43.7144012451172,-19.1688995361328
Bifrenaria tyrianthina,-42.466667,-14.066667
Bifrenaria tyrianthina,-43.503586,-20.369689
Bifrenaria tyrianthina,-43.5080986022949,-20.2875003814697
Bifrenaria tyrianthina,-43.5080986022949,-20.2875003814697
Bifrenaria tyrianthina,-43.937801361084,-19.9207992553711
Bifrenaria tyrianthina,-41.100556,-20.519167
Bifrenaria tyrianthina,-40.814722,-19.897778
Bifrenaria tyrianthina,-41.100556,-20.519167
Bifrenaria tyrianthina,-41.100556,-20.520556
Bifrenaria tyrianthina,-41.386944,-20.688611
Bifrenaria tyrianthina,-40.808611,-19.851944
Bifrenaria tyrianthina,-41.100556,-20.519167
Bifrenaria tyrianthina,-41.100556,-20.519167
Bifrenaria tyrianthina,-41.3664016723633,-21.0641994476318
Bifrenaria tyrianthina,-41.3664016723633,-21.0641994476318
Bifrenaria tyrianthina,-41.3664016723633,-21.0641994476318
