SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Bonamia agrostopolis,-51.1627998352051,-23.3103008270264
Bonamia agrostopolis,-49.316667,-22.166667
Bonamia agrostopolis,-50.728889,-21.273611
Bonamia agrostopolis,-42.858875,-11.728925
Bonamia agrostopolis,-45.070017,-13.5748
Bonamia agrostopolis,-48.558056,-21.620833
Bonamia agrostopolis,-49.380556,-20.81
Bonamia agrostopolis,-49.380556,-20.81
Bonamia agrostopolis,-53.0275001525879,-24.184700012207
Bonamia agrostopolis,-49.9099998474121,-20.0799999237061
Bonamia agrostopolis,-51.5299987792969,-21.4799995422363
Bonamia agrostopolis,-51.0999984741211,-20.6299991607666
Bonamia agrostopolis,-56.764167,-21.681111
Bonamia agrostopolis,-41.075556,-19.459444
Bonamia agrostopolis,-42.490833,-19.793056
Bonamia agrostopolis,-42.1391983032227,-19.7896995544434
Bonamia agrostopolis,-42.7322006225586,-19.7122001647949
Bonamia agrostopolis,-52.7874984741211,-23.0958003997803
Bonamia agrostopolis,-53.0275001525879,-24.184700012207
Bonamia agrostopolis,-50.5638999938965,-23.4321994781494
Bonamia agrostopolis,-50.3567008972168,-23.4074993133545
Bonamia agrostopolis,-54.3328018188477,-24.8603000640869
Bonamia agrostopolis,-43.2075004577637,-22.9027996063232
Bonamia agrostopolis,-50.728889,-21.273611
Bonamia agrostopolis,-49.380556,-20.81
Bonamia agrostopolis,-49.9099998474121,-20.0799999237061
Bonamia agrostopolis,-51.5299987792969,-21.4799995422363
Bonamia agrostopolis,-51.0999984741211,-20.6299991607666
Bonamia agrostopolis,-49.4799995422363,-21.3400001525879
Bonamia agrostopolis,-42.568055,-15.378055
Bonamia agrostopolis,-42.451388,-15.283333
Bonamia agrostopolis,-49.9142,-20.0819
Bonamia agrostopolis,-51.5328,-21.4825
Bonamia agrostopolis,-49.3163889,-20.7080556
Bonamia agrostopolis,-53.2200012207031,-22.8239002227783
Bonamia agrostopolis,-40.471,-20.6545
Bonamia agrostopolis,-48.22,-21.805278
Bonamia agrostopolis,-43.559722,-11.699722
Bonamia agrostopolis,-47.833064,-16.084345
Bonamia agrostopolis,-44.533345,-11.266638
Bonamia agrostopolis,-44.766692,-11.86669
Bonamia agrostopolis,-60.060278,-14.903611
Bonamia agrostopolis,-42.0703010559082,-16.8497009277344
Bonamia agrostopolis,-39.5339012145996,-15.9507999420166
Bonamia agrostopolis,-50.975556,-23.540833
Bonamia agrostopolis,-51.701667,-22.688333
Bonamia agrostopolis,-41.1561012268066,-11.5500001907349
Bonamia agrostopolis,-51.2310981750488,-22.7803001403809
Bonamia agrostopolis,-50.8414001464844,-23.3733005523682
Bonamia agrostopolis,-51.190601348877,-22.9967002868652
Bonamia agrostopolis,-51.0480995178223,-23.2691993713379
Bonamia agrostopolis,-51.1627998352051,-23.3103008270264
Bonamia agrostopolis,-48.8199996948242,-21.75
Bonamia agrostopolis,-42.47,-14.06
Bonamia agrostopolis,-63.15,-18.07
Bonamia agrostopolis,-41.7703,-12.4186
Bonamia agrostopolis,-48.22,-21.805278
Bonamia agrostopolis,-42.8819007873535,-20.7539005279541
Bonamia agrostopolis,-56.7641667,-21.6811111
Bonamia agrostopolis,-52.4221992492676,-21.7141990661621
Bonamia agrostopolis,-56.4818992614746,-21.1210994720459
Bonamia agrostopolis,-40.5110015869141,-20.6580009460449
Bonamia agrostopolis,-40.5110015869141,-20.6580009460449
Bonamia agrostopolis,-40.4006004333496,-18.710599899292
Bonamia agrostopolis,-40.3377990722656,-20.3194007873535
Bonamia agrostopolis,-40.3377990722656,-20.3194007873535
Bonamia agrostopolis,-40.3377990722656,-20.3194007873535
Bonamia agrostopolis,-40.3377990722656,-20.3194007873535
Bonamia agrostopolis,-40.3377990722656,-20.3194007873535
Bonamia agrostopolis,-50.651389,-25.462778
Bonamia agrostopolis,-44.466667,-22.55
Bonamia agrostopolis,-43.233333,-22.9
Bonamia agrostopolis,-43.233333,-22.9
Bonamia agrostopolis,-43.233333,-22.9
Bonamia agrostopolis,-43.233333,-22.9
Bonamia agrostopolis,-43.233333,-22.9
Bonamia agrostopolis,-53.639477,-22.124023
Bonamia agrostopolis,-41.2575,-11.100556
Bonamia agrostopolis,-40.083333,-13.85
Bonamia agrostopolis,-56.470598,-20.990902
Bonamia agrostopolis,-41.289444,-11.101944
Bonamia agrostopolis,-57.002115,-21.720727
Bonamia agrostopolis,-49.920278,-20.658333
Bonamia agrostopolis,-45.055833,-12.658889
Bonamia agrostopolis,-44.567778,-14.206667
Bonamia agrostopolis,-43.766667,-21.233333
Bonamia agrostopolis,-40.471,-20.6545
Bonamia agrostopolis,-40.083333,-13.85
Bonamia agrostopolis,-56.470598,-20.990902
Bonamia agrostopolis,-43.369167,-22.959722
Bonamia agrostopolis,-43.369167,-22.959722
Bonamia agrostopolis,-43.369167,-22.959722
Bonamia agrostopolis,-57.002115,-21.720727
Bonamia agrostopolis,-39.5339012145996,-15.9507999420166
Bonamia agrostopolis,-43.233333,-22.9
Bonamia agrostopolis,-53.639477,-22.124023
Bonamia agrostopolis,-60.060278,-14.903611
Bonamia agrostopolis,-60.060278,-14.903611
Bonamia agrostopolis,-44.432778,-12.559722
Bonamia agrostopolis,-41.0875,-12.502222
Bonamia agrostopolis,-35.824167,-9.563333
Bonamia agrostopolis,-36.285278,-10.225833
Bonamia agrostopolis,-36.285278,-10.225833
Bonamia agrostopolis,-36.300422,-10.213894
Bonamia agrostopolis,-36.352778,-9.905556
Bonamia agrostopolis,-36.497222,-10.184167
Bonamia agrostopolis,-36.201944,-10.118611
Bonamia agrostopolis,-36.3507995605469,-9.78194046020508
Bonamia agrostopolis,-36.3507995605469,-9.78194046020508
Bonamia agrostopolis,-56.7288,-21.1089
Bonamia agrostopolis,-53.0275001525879,-24.184700012207
Bonamia agrostopolis,-43.2075004577637,-22.9027996063232
Bonamia agrostopolis,-50.728889,-21.273611
Bonamia agrostopolis,-41.816667,-13.3
Bonamia agrostopolis,-42.636667,-14.0675
Bonamia agrostopolis,-42.210833,-13.435
Bonamia agrostopolis,-42.461389,-14.641389
Bonamia agrostopolis,-43.1875,-12.772778
Bonamia agrostopolis,-42.7673,-13.7487
Bonamia agrostopolis,-42.5,-11.4
Bonamia agrostopolis,-41.750556,-13.307222
Bonamia agrostopolis,-41.9449996948242,-22.5268993377686
Bonamia agrostopolis,-51.5299987792969,-21.4799995422363
Bonamia agrostopolis,-41.2575,-11.100556
Bonamia agrostopolis,-45.055833,-12.658889
Bonamia agrostopolis,-41.289444,-11.101944
Bonamia agrostopolis,-41.65,-13.459167
Bonamia agrostopolis,-44.567778,-14.206667
Bonamia agrostopolis,-44.432778,-12.559722
Bonamia agrostopolis,-41.304722,-11.505833
Bonamia agrostopolis,-42.9444007873535,-8.10999965667725
Bonamia agrostopolis,-57.6016998291016,-19.0046997070312
Bonamia agrostopolis,-41.1561012268066,-11.5500001907349
Bonamia agrostopolis,-41.1561012268066,-11.5500001907349
Bonamia agrostopolis,-41.9449996948242,-22.5268993377686
Bonamia agrostopolis,-50.6692008972168,-11.2222003936768
Bonamia agrostopolis,-50.7200012207031,-21.2999992370605
Bonamia agrostopolis,-43.2075004577637,-22.9027996063232
Bonamia agrostopolis,-43.2075004577637,-22.9027996063232
Bonamia agrostopolis,-414.618,-160.021
Bonamia agrostopolis,-41.6636009216309,-13.2496995925903
Bonamia agrostopolis,-41.1561012268066,-11.5500001907349
Bonamia agrostopolis,-48.3600006103516,-21.6000003814697
Bonamia agrostopolis,-48.3600006103516,-21.6000003814697
Bonamia agrostopolis,-48.3600006103516,-21.6000003814697
Bonamia agrostopolis,-41.9449996948242,-22.5268993377686
Bonamia agrostopolis,-37.190299987793,-7.37833023071289
Bonamia agrostopolis,-41.542778,-12.441111
Bonamia agrostopolis,-40.734722,-18.907028
Bonamia agrostopolis,-42.1391983032227,-19.7896995544434
Bonamia agrostopolis,-42.1391983032227,-19.7896995544434
Bonamia agrostopolis,-42.7322006225586,-19.7122001647949
Bonamia agrostopolis,-42.7322006225586,-19.7122001647949
Bonamia agrostopolis,-41.4768981933594,-16.2224998474121
Bonamia agrostopolis,-56.1980555,-25.7905555
Bonamia agrostopolis,-63.6580556,-18.7027778
Bonamia agrostopolis,-56.7288889,-21.1088889
Bonamia agrostopolis,-56.15972,-22.67
Bonamia agrostopolis,-63.2,-17.74166
Bonamia agrostopolis,-62.9,-17.7458333
Bonamia agrostopolis,-63.2,-17.74166
Bonamia agrostopolis,-63.06666,-17.78333
Bonamia agrostopolis,-63.2,-18.0333333
Bonamia agrostopolis,-56.33333,-25.8
Bonamia agrostopolis,-56.5,-25.91666
Bonamia agrostopolis,-64.6763889,-18.3319445
Bonamia agrostopolis,-41.2,-21.55
Bonamia agrostopolis,-44.952444,-12.021028
Bonamia agrostopolis,-42.434722,-14.126667
Bonamia agrostopolis,-44.569222,-13.45325
Bonamia agrostopolis,-44.433,-12.55975
Bonamia agrostopolis,-34.8731002807617,-7.94083023071289
Bonamia agrostopolis,-43.72,-14.013333
Bonamia agrostopolis,-41.542778,-12.441111
Bonamia agrostopolis,-48.558056,-21.620833
Bonamia agrostopolis,-48.558056,-21.620833
Bonamia agrostopolis,-48.553611,-21.628333
