SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Brasiliorchis picta,-48.834400177002,-25.476900100708
Brasiliorchis picta,-49.6356010437012,-25.5839004516602
Brasiliorchis picta,-48.9174995422363,-27.0981006622314
Brasiliorchis picta,-41.184700012207,-20.6035995483398
Brasiliorchis picta,-49.588889,-24.683333
Brasiliorchis picta,-46.812222,-23.833056
Brasiliorchis picta,-44.959722,-23.074444
Brasiliorchis picta,-44.959722,-23.074444
Brasiliorchis picta,-44.716667,-23.216667
Brasiliorchis picta,-44.716667,-23.216667
Brasiliorchis picta,-44.716667,-23.216667
Brasiliorchis picta,-44.716667,-23.216667
Brasiliorchis picta,-44.716667,-23.216667
Brasiliorchis picta,-54.246972,-24.071944
Brasiliorchis picta,-54.246972,-24.071944
Brasiliorchis picta,-44.716667,-23.216667
Brasiliorchis picta,-44.716667,-23.216667
Brasiliorchis picta,-44.959722,-23.074444
Brasiliorchis picta,-44.716667,-23.216667
Brasiliorchis picta,-46.811667,-23.8325
Brasiliorchis picta,-46.811944,-23.832778
Brasiliorchis picta,-40.293333,-16.144444
Brasiliorchis picta,-42.516667,-22.266667
Brasiliorchis picta,-46.333611,-23.960833
Brasiliorchis picta,-46.811389,-23.832222
Brasiliorchis picta,-40.0722007751465,-19.3910999298096
Brasiliorchis picta,-52.4221992492676,-21.7141990661621
Brasiliorchis picta,-52.4221992492676,-21.7141990661621
Brasiliorchis picta,-46.386100769043,-21.9235992431641
Brasiliorchis picta,-46.1446990966797,-22.7553005218506
Brasiliorchis picta,-46.1446990966797,-22.7553005218506
Brasiliorchis picta,-46.1446990966797,-22.7553005218506
Brasiliorchis picta,-46.1446990966797,-22.7553005218506
Brasiliorchis picta,-46.1446990966797,-22.7553005218506
Brasiliorchis picta,-46.1446990966797,-22.7553005218506
Brasiliorchis picta,-46.1446990966797,-22.7553005218506
Brasiliorchis picta,-48.8400001525879,-24.5
Brasiliorchis picta,-48.8400001525879,-24.5
Brasiliorchis picta,-48.8400001525879,-24.5
Brasiliorchis picta,-48.8400001525879,-24.5
Brasiliorchis picta,-48.8400001525879,-24.5
Brasiliorchis picta,-48.8400001525879,-24.5
Brasiliorchis picta,-48.8400001525879,-24.5
Brasiliorchis picta,-48.8400001525879,-24.5
Brasiliorchis picta,-46.138599395752,-23.8544006347656
Brasiliorchis picta,-46.138599395752,-23.8544006347656
Brasiliorchis picta,-46.138599395752,-23.8544006347656
Brasiliorchis picta,-48.1199989318848,-22.2800006866455
Brasiliorchis picta,-48.1199989318848,-22.2800006866455
Brasiliorchis picta,-48.1199989318848,-22.2800006866455
Brasiliorchis picta,-48.1199989318848,-22.2800006866455
Brasiliorchis picta,-48.1199989318848,-22.2800006866455
Brasiliorchis picta,-48.1199989318848,-22.2800006866455
Brasiliorchis picta,-48.1199989318848,-22.2800006866455
Brasiliorchis picta,-48.1199989318848,-22.2800006866455
Brasiliorchis picta,-48.1199989318848,-22.2800006866455
Brasiliorchis picta,-45.5900001525879,-22.7299995422363
Brasiliorchis picta,-45.5900001525879,-22.7299995422363
Brasiliorchis picta,-45.5900001525879,-22.7299995422363
Brasiliorchis picta,-45.5900001525879,-22.7299995422363
Brasiliorchis picta,-45.5900001525879,-22.7299995422363
Brasiliorchis picta,-45.5900001525879,-22.7299995422363
Brasiliorchis picta,-45.5900001525879,-22.7299995422363
Brasiliorchis picta,-45.5900001525879,-22.7299995422363
Brasiliorchis picta,-45.5900001525879,-22.7299995422363
Brasiliorchis picta,-45.5900001525879,-22.7299995422363
Brasiliorchis picta,-47.9199981689453,-25.0100002288818
Brasiliorchis picta,-47.9199981689453,-25.0100002288818
Brasiliorchis picta,-47.9199981689453,-25.0100002288818
Brasiliorchis picta,-44.9599990844727,-23.0699996948242
Brasiliorchis picta,-44.9599990844727,-23.0699996948242
Brasiliorchis picta,-46.810001373291,-23.8299999237061
Brasiliorchis picta,-46.810001373291,-23.8299999237061
Brasiliorchis picta,-46.810001373291,-23.8299999237061
Brasiliorchis picta,-46.810001373291,-23.8299999237061
Brasiliorchis picta,-45.4599990844727,-22.9200000762939
Brasiliorchis picta,-46.5299987792969,-23.6599998474121
Brasiliorchis picta,-46.5299987792969,-23.6599998474121
Brasiliorchis picta,-46.5299987792969,-23.6599998474121
Brasiliorchis picta,-46.5299987792969,-23.6599998474121
Brasiliorchis picta,-46.5299987792969,-23.6599998474121
Brasiliorchis picta,-46.5299987792969,-23.6599998474121
Brasiliorchis picta,-46.3300018310547,-23.9599990844727
Brasiliorchis picta,-46.560001373291,-23.6900005340576
Brasiliorchis picta,-46.6300010681152,-23.5400009155273
Brasiliorchis picta,-52.1599998474121,-22.5300006866455
Brasiliorchis picta,-52.1599998474121,-22.5300006866455
Brasiliorchis picta,-52.1599998474121,-22.5300006866455
Brasiliorchis picta,-45.0699996948242,-23.4300003051758
Brasiliorchis picta,-45.0699996948242,-23.4300003051758
Brasiliorchis picta,-49.623208,-25.311144
Brasiliorchis picta,-48.832303,-25.239225
Brasiliorchis picta,-48.687778,-24.855833
Brasiliorchis picta,-49.050556,-26.231111
Brasiliorchis picta,-48.292778,-25.162222
Brasiliorchis picta,-48.713611,-24.852778
Brasiliorchis picta,-50.142222,-24.716111
Brasiliorchis picta,-50.404167,-24.556944
Brasiliorchis picta,-48.918611,-25.579444
