SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Bulbostylis truncata,-36.898222,-7.470556
Bulbostylis truncata,-57.559444,-17.841944
Bulbostylis truncata,-46.066667,-11.433333
Bulbostylis truncata,-46.874698638916,-17.2222003936768
Bulbostylis truncata,-49.6356010437012,-25.5839004516602
Bulbostylis truncata,-47.942777,-15.727222
Bulbostylis truncata,-47.933611,-15.735833
Bulbostylis truncata,-46.06667,-11.43333
Bulbostylis truncata,-46.06667,-11.43333
Bulbostylis truncata,-48.223611,-12.824444
Bulbostylis truncata,-39.335277,-7.4580555
Bulbostylis truncata,-42.481111,-15.949444
Bulbostylis truncata,-47.375555,-6.93
Bulbostylis truncata,-49.2439002990723,-16.823299407959
Bulbostylis truncata,-46.0355987548828,-7.53249979019165
Bulbostylis truncata,-36.940299987793,-10.5932998657227
Bulbostylis truncata,-47.866667,-15.883333
Bulbostylis truncata,-48.41,-23.49
Bulbostylis truncata,-45.066667,-7.366667
Bulbostylis truncata,-48.92,-19.31
Bulbostylis truncata,-48.28,-18.92
Bulbostylis truncata,-48.94,-20.03
Bulbostylis truncata,-48.88,-18.87
Bulbostylis truncata,-49.47,-18.97
Bulbostylis truncata,-45.89,-23.18
Bulbostylis truncata,-45.89,-23.18
Bulbostylis truncata,-48.41,-23.49
Bulbostylis truncata,-47.916667,-15.766667
Bulbostylis truncata,-52.25,-15.883333
Bulbostylis truncata,-52.233333,-14.633333
Bulbostylis truncata,-48.8086,-15.9236
Bulbostylis truncata,-50.6694,-11.6172
Bulbostylis truncata,-49.501389,-18.535
Bulbostylis truncata,-46.813611,-22.915278
Bulbostylis truncata,-51.766667,-12.816667
Bulbostylis truncata,-51.766667,-12.816667
Bulbostylis truncata,-51.766667,-12.816667
Bulbostylis truncata,-51.766667,-12.816667
Bulbostylis truncata,-43.8894,-19.6272
Bulbostylis truncata,-44.4042,-19.2744
Bulbostylis truncata,-52.3657,-13.585
Bulbostylis truncata,-52.22,-15.4
Bulbostylis truncata,-48.8086111,-16.05012
Bulbostylis truncata,-52.19058,-15.82579
Bulbostylis truncata,-57.52,-7.58
Bulbostylis truncata,-55.832445,-15.40761
Bulbostylis truncata,-52.23,-14.63
Bulbostylis truncata,-46.17,-7.67
Bulbostylis truncata,-55.7494,-15.4608
Bulbostylis truncata,-51.09569,-0.04072
Bulbostylis truncata,-51.608987,1.482444
Bulbostylis truncata,-48.07,-0.883333
Bulbostylis truncata,-48.45,-14.4961
Bulbostylis truncata,-51.77,-12.82
Bulbostylis truncata,-60.0063694,-3.0786429
Bulbostylis truncata,-54.5464,-21.8019
Bulbostylis truncata,-65.3,7.53
Bulbostylis truncata,-57.67,5.55
Bulbostylis truncata,-63.662729,-17.459703
Bulbostylis truncata,-35.7353,-9.6658
Bulbostylis truncata,-51.833333,-0.333333
Bulbostylis truncata,-57.516667,-7.583333
Bulbostylis truncata,-57.516667,-7.583333
Bulbostylis truncata,-59.254167,0.737222
Bulbostylis truncata,-59.254167,0.737222
Bulbostylis truncata,-59.254167,0.737222
Bulbostylis truncata,-59.254167,0.737222
Bulbostylis truncata,-60.0250015258789,-3.10193991661072
Bulbostylis truncata,-60.0250015258789,-3.10193991661072
Bulbostylis truncata,-51.0663986206055,-0.366667002439499
Bulbostylis truncata,-48.1417007446289,-0.858332991600037
Bulbostylis truncata,-48.1417007446289,-0.858332991600037
Bulbostylis truncata,-60.6733016967773,2.81972002983093
Bulbostylis truncata,-51.0663986206055,-0.366667002439499
Bulbostylis truncata,-48.1417007446289,-0.858332991600037
Bulbostylis truncata,-48.1417007446289,-0.858332991600037
Bulbostylis truncata,-48.1967010498047,-1.96082997322083
Bulbostylis truncata,-48.0200004577637,-0.75
Bulbostylis truncata,-34.9075012207031,-7.25971984863281
Bulbostylis truncata,-39.701944,-18.403333
Bulbostylis truncata,-34.799722,-7.363889
Bulbostylis truncata,-39.348611,-7.407778
Bulbostylis truncata,-39.335278,-7.458056
Bulbostylis truncata,-39.30419921875,-7.31111001968384
Bulbostylis truncata,-39.2957992553711,-6.78888988494873
Bulbostylis truncata,-42.1310997009277,-7.0252799987793
Bulbostylis truncata,-37.309167,-10.012778
Bulbostylis truncata,-36.425833,-9.806389
Bulbostylis truncata,-36.497222,-10.184167
Bulbostylis truncata,-40.0722007751465,-19.3910999298096
Bulbostylis truncata,-65.18,7.41
Bulbostylis truncata,-55.1,5.15
Bulbostylis truncata,-67.53,5.78
Bulbostylis truncata,-62,-16.22
Bulbostylis truncata,-60.7722,-14.5642
Bulbostylis truncata,-45.7481,-15.3436
Bulbostylis truncata,-57.4889,-17.9956
Bulbostylis truncata,-59.48,3.38
Bulbostylis truncata,-59.3,3.75
Bulbostylis truncata,-59.3064,3.75222
Bulbostylis truncata,-59.0667,4.15
Bulbostylis truncata,-58.1167,5.36667
Bulbostylis truncata,-57.6667,5.55
Bulbostylis truncata,-57.5833,5.6
Bulbostylis truncata,-57.5333,5.71667
Bulbostylis truncata,-67.08,6.28
Bulbostylis truncata,-47.5,-14.5
Bulbostylis truncata,-57.52,-7.58
Bulbostylis truncata,-48.07,-0.88
Bulbostylis truncata,-49.8071,-25.5527
Bulbostylis truncata,-49.8071,-25.5527
Bulbostylis truncata,-50.583333,-10.666667
Bulbostylis truncata,-40.4006004333496,-18.710599899292
Bulbostylis truncata,-52.5511016845703,-17.5694007873535
Bulbostylis truncata,-47.4199981689453,-21.9899997711182
