SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Byrsonima nitidifolia,-40.4006004333496,-18.710599899292
Byrsonima nitidifolia,-40.4006004333496,-18.710599899292
Byrsonima nitidifolia,-37.382778,-7.251667
Byrsonima nitidifolia,-40.4475,-18.77
Byrsonima nitidifolia,-40.4306,-13.4411
Byrsonima nitidifolia,-37.3153,-10.7581
Byrsonima nitidifolia,-45.4810981750488,-7.02194023132324
Byrsonima nitidifolia,-45.2421989440918,-7.55833005905151
Byrsonima nitidifolia,-44.993333,-23.245833
Byrsonima nitidifolia,-39.183333,-12.15
Byrsonima nitidifolia,-40.5,-11.15
Byrsonima nitidifolia,-39.766667,-12.7
Byrsonima nitidifolia,-39.825833,-12.869167
Byrsonima nitidifolia,-40.413889,-13.41
Byrsonima nitidifolia,-39.780278,-13.063056
Byrsonima nitidifolia,-36.6963996887207,-8.35778045654297
Byrsonima nitidifolia,-53.08982,-10.773109
Byrsonima nitidifolia,-53.08982,-10.773109
Byrsonima nitidifolia,-40.6002998352051,-19.9356002807617
Byrsonima nitidifolia,-37.3513984680176,-7.26694011688232
Byrsonima nitidifolia,-39.825833,-12.869167
Byrsonima nitidifolia,-40.661944,-18.974444
Byrsonima nitidifolia,-40.470556,-20.508611
Byrsonima nitidifolia,-40.648056,-19.022778
Byrsonima nitidifolia,-40.662222,-18.984167
Byrsonima nitidifolia,-40.665556,-18.977778
Byrsonima nitidifolia,0,-19.310833
Byrsonima nitidifolia,-40.504722,-11.164722
Byrsonima nitidifolia,-40.4308013916016,-13.4411001205444
Byrsonima nitidifolia,-40.6002998352051,-19.9356002807617
Byrsonima nitidifolia,-40.6002998352051,-19.9356002807617
Byrsonima nitidifolia,-40.6002998352051,-19.9356002807617
Byrsonima nitidifolia,-36.3711013793945,-8.14583015441895
Byrsonima nitidifolia,-40.3175,-19.1839
Byrsonima nitidifolia,-39.716667,-13.6
Byrsonima nitidifolia,-40.665556,-18.977778
Byrsonima nitidifolia,-40.470556,-20.058333
Byrsonima nitidifolia,-40.6002998352051,-19.9356002807617
Byrsonima nitidifolia,-40.6002998352051,-19.9356002807617
Byrsonima nitidifolia,-36.6963996887207,-8.35778045654297
Byrsonima nitidifolia,-36.6963996887207,-8.35778045654297
Byrsonima nitidifolia,-40.504722,-11.164722
Byrsonima nitidifolia,-36.401667,-8.187222
Byrsonima nitidifolia,-39.766667,-12.7
Byrsonima nitidifolia,-40.530278,-19.971389
Byrsonima nitidifolia,-40.648,-19.022833
Byrsonima nitidifolia,-40.665556,-18.977778
Byrsonima nitidifolia,-40.469722,-18.804444
Byrsonima nitidifolia,-40.4475,-18.77
Byrsonima nitidifolia,-40.504722,-11.164722
Byrsonima nitidifolia,-40.504722,-11.164722
Byrsonima nitidifolia,-52.8731,-10.8339
Byrsonima nitidifolia,-52.8731,-10.8339
Byrsonima nitidifolia,-52.8731,-10.8339
Byrsonima nitidifolia,-52.8731,-10.8339
Byrsonima nitidifolia,-41.9972222,-12.1830556
Byrsonima nitidifolia,-41.9972222,-12.1830556
