SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Campomanesia anemonea,-40.2132987976074,-18.3703002929688
Campomanesia anemonea,-40.2132987976074,-18.3703002929688
Campomanesia anemonea,-40.2477989196777,-15.2489004135132
Campomanesia anemonea,-40.148661,-18.368681
Campomanesia anemonea,-40.0722007751465,-19.3910999298096
Campomanesia anemonea,-40.664444,-18.981667
Campomanesia anemonea,-40.2132987976074,-18.3703002929688
Campomanesia anemonea,-40.0722007751465,-19.3910999298096
Campomanesia anemonea,-40.2347,-15.2392
Campomanesia anemonea,-40.148611,-18.368611
Campomanesia anemonea,-40.142778,-18.371111
Campomanesia anemonea,-40.0722007751465,-19.3910999298096
Campomanesia anemonea,-40.3633003234863,-18.1268997192383
Campomanesia anemonea,-40.142812,-18.371074
Campomanesia anemonea,-40.148665,-18.368743
Campomanesia anemonea,-40.220139,-18.490083
Campomanesia anemonea,-40.0722007751465,-19.3910999298096
Campomanesia anemonea,-40.3633003234863,-18.1268997192383
Campomanesia anemonea,-39.8588981628418,-18.716100692749
Campomanesia anemonea,-40.2347,-15.2392
Campomanesia anemonea,-40.664444,-18.981667
Campomanesia anemonea,-40.22,-18.49
Campomanesia anemonea,-40.234722,-15.239167
Campomanesia anemonea,-40.0722007751465,-19.3910999298096
Campomanesia anemonea,-40.2132987976074,-18.3703002929688
Campomanesia anemonea,-40.2132987976074,-18.3703002929688
Campomanesia anemonea,-39.133333,-16.383333
Campomanesia anemonea,-40.234722,-15.239167
Campomanesia anemonea,-38.8828010559082,-15.8631000518799
Campomanesia anemonea,-40.219639,-18.555917
