SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Campomanesia eugenioides,-47.593056,-14.163333
Campomanesia eugenioides,-50.040023,-26.370077
Campomanesia eugenioides,-50.4,-26.64
Campomanesia eugenioides var. eugenioides,-49.261100769043,-24.823600769043
Campomanesia eugenioides,-50.9494018554688,-24.2082996368408
Campomanesia eugenioides,-50.9494018554688,-24.2082996368408
Campomanesia eugenioides,-39.8525,-12.8714
Campomanesia eugenioides,-55.75,-15.4333
Campomanesia eugenioides,-47.5167,-14.1167
Campomanesia eugenioides eugenioides,-48.4194,-14.3583
Campomanesia eugenioides eugenioides,-46.6167,-23.5333
Campomanesia eugenioides,-55.75,-15.4333
Campomanesia eugenioides desertorum,-38.2333,-9.35
Campomanesia eugenioides desertorum,-39.095857,-12.636895
Campomanesia eugenioides,-41.945833,-22.8075
Campomanesia eugenioides,-40.2514,-10.4006
Campomanesia eugenioides desertorum,-40.0822,-12.4994
Campomanesia eugenioides,-47.5167,-14.1167
Campomanesia eugenioides,-39.8525,-12.8714
Campomanesia eugenioides,-40.2295,-10.1028
Campomanesia eugenioides,-47.8356,-14.1631
Campomanesia eugenioides,-47.5167,-14.1167
Campomanesia eugenioides desertorum,-38.9833,-12.25
Campomanesia eugenioides desertorum,-39.07639,-12.23194
Campomanesia eugenioides desertorum,-40.4331,-10.5089
Campomanesia eugenioides desertorum,-39.7936,-12.7403
Campomanesia eugenioides desertorum,-40.265833,-10.242778
Campomanesia eugenioides eugenioides,-47.521517,-14.133556
Campomanesia eugenioides eugenioides,-41.9333,-22.5167
Campomanesia eugenioides eugenioides,-47.3333,-14.0733
Campomanesia eugenioides eugenioides,-48.6667,-15.51667
Campomanesia eugenioides eugenioides,-47.95,-15.366667
Campomanesia eugenioides eugenioides,-55.733611,-15.483889
Campomanesia eugenioides,-56.083333,-15.766667
Campomanesia eugenioides,-47.871667,-15.950833
Campomanesia eugenioides eugenioides,-47.9296989440918,-15.7797002792358
Campomanesia eugenioides eugenioides,-47.9296989440918,-15.7797002792358
Campomanesia eugenioides,-56.0966987609863,-15.5960998535156
Campomanesia eugenioides,-56.0766983032227,-15.8655996322632
Campomanesia eugenioides,-51.1627998352051,-23.3103008270264
Campomanesia eugenioides,-51.1627998352051,-23.3103008270264
Campomanesia eugenioides,-50.8506011962891,-24.6502990722656
Campomanesia eugenioides,-37.0203018188477,-6.03388977050781
Campomanesia eugenioides,-36.385,-8.240833
Campomanesia eugenioides,-38.055833,-7.822778
Campomanesia eugenioides,-34.863056,-7.115
Campomanesia eugenioides,-36.898222,-7.470556
Campomanesia eugenioides,-36.911639,-7.484944
Campomanesia eugenioides,-36.243333,-7.359611
Campomanesia eugenioides,-36.678111,-8.095917
Campomanesia eugenioides,-38.055833,-7.822778
Campomanesia eugenioides,-36.898222,-7.470556
Campomanesia eugenioides,-37.380278,-7.250833
Campomanesia eugenioides,-36.665,-7.483333
Campomanesia eugenioides,-36.898222,-7.470556
Campomanesia eugenioides,-35.632778,-6.820278
Campomanesia eugenioides,-36.898222,-7.470556
Campomanesia eugenioides,-42.4749984741211,-14.0693998336792
Campomanesia eugenioides,-36.2872009277344,-7.48889017105103
Campomanesia eugenioides,-36.2872009277344,-7.48889017105103
Campomanesia eugenioides,-36.2872009277344,-7.48889017105103
Campomanesia eugenioides,-38.5863990783691,-7.21500015258789
Campomanesia eugenioides,-36.3711013793945,-8.14583015441895
Campomanesia eugenioides,-36.3711013793945,-8.14583015441895
Campomanesia eugenioides,-38.570833,-8.6
Campomanesia eugenioides,-35.695833,-8.494444
Campomanesia eugenioides,-42.489167,-8.733611
Campomanesia eugenioides,-37.166667,-8.616667
Campomanesia eugenioides,-37.166667,-8.616667
Campomanesia eugenioides,-37.154167,-8.625
Campomanesia eugenioides,-37.154167,-8.625
Campomanesia eugenioides,-36.183333,-8.233333
Campomanesia eugenioides,-37.476667,-9.716389
Campomanesia eugenioides var. desertorum,-36.416667,-8.187222
Campomanesia eugenioides var. desertorum,-37.166667,-8.616667
Campomanesia eugenioides var. desertorum,-37.154167,-8.625
Campomanesia eugenioides var. desertorum,-36.183333,-8.233333
Campomanesia eugenioides var. desertorum,-36.385361,-8.2075
Campomanesia eugenioides,-38.9455986022949,-7.31333017349243
Campomanesia eugenioides var. desertorum,-37.1557998657227,-8.62306022644043
Campomanesia eugenioides,-37.690299987793,-8.54055976867676
Campomanesia eugenioides,-37.690299987793,-8.54055976867676
Campomanesia eugenioides,-37.3513984680176,-7.26694011688232
Campomanesia eugenioides var. desertorum,-41.6652984619141,-14.2035999298096
Campomanesia eugenioides var. desertorum,-36.3711013793945,-8.14583015441895
Campomanesia eugenioides var. desertorum,-38.1016998291016,-7.83805990219116
Campomanesia eugenioides var. desertorum,-38.1016998291016,-7.83805990219116
Campomanesia eugenioides var. desertorum,-38.1016998291016,-7.83805990219116
Campomanesia eugenioides,-37.1557998657227,-8.62306022644043
Campomanesia eugenioides,-50.8506011962891,-24.6502990722656
Campomanesia eugenioides,-50.723333,-24.111389
Campomanesia eugenioides desertorum,-6.990556,-8.4425
Campomanesia eugenioides desertorum,-39.6981010437012,-12.7118997573853
Campomanesia eugenioides desertorum,-39.6981010437012,-12.7118997573853
Campomanesia eugenioides desertorum,-39.6981010437012,-12.7118997573853
Campomanesia eugenioides eugenioides,-38.4808006286621,-10.0749998092651
Campomanesia eugenioides desertorum,-38.7867012023926,-10.9631004333496
Campomanesia eugenioides,-47.5099983215332,-14.1324996948242
Campomanesia eugenioides,-47.5099983215332,-14.1324996948242
Campomanesia eugenioides,-47.5099983215332,-14.1324996948242
Campomanesia eugenioides,-48.9592018127441,-15.852499961853
Campomanesia eugenioides,-55.749698638916,-15.460599899292
Campomanesia eugenioides eugenioides,-50.6692008972168,-11.2222003936768
Campomanesia eugenioides eugenioides,-49.261100769043,-24.823600769043
Campomanesia eugenioides eugenioides,-50.4583015441895,-24.0324993133545
Campomanesia eugenioides,-50.6044006347656,-25.2299995422363
Campomanesia eugenioides,-50.9494018554688,-24.2082996368408
Campomanesia eugenioides,-50.9494018554688,-24.2082996368408
Campomanesia eugenioides,-50.9777984619141,-25.2131004333496
Campomanesia eugenioides eugenioides,-47.9900016784668,-23.8700008392334
Campomanesia eugenioides,-37.645278,-10.879722
Campomanesia eugenioides,-39.6475,-12.739167
Campomanesia eugenioides,-47.504167,-14.096667
Campomanesia eugenioides,-47.308889,-14.070556
Campomanesia eugenioides,-47.9025,-14.226111
Campomanesia eugenioides,-47.9075,-14.221944
Campomanesia eugenioides,-48.238611,-13.68
Campomanesia eugenioides,-49.409167,-28.709167
Campomanesia eugenioides,-48.961944,-25.616111
Campomanesia eugenioides,-48.961944,-25.616111
Campomanesia eugenioides,-48.961944,-25.616111
Campomanesia eugenioides,-50.9494018554688,-24.2082996368408
Campomanesia eugenioides,-40.9724998474121,-12.9863996505737
Campomanesia cf. eugenioides,-43.937801361084,-19.9207992553711
Campomanesia eugenioides var. eugenioides,-48.137777,-13.48694
Campomanesia eugenioides,-49.14,-11.88
Campomanesia eugenioides var. desertorum,-39.546388,-12.944722
Campomanesia eugenioides var. desertorum,-39.7,-12.716666
Campomanesia eugenioides var. desertorum,-39.7,-12.716666
Campomanesia eugenioides var. eugenioides,-46.741111,-13.618333
Campomanesia eugenioides var. desertorum,-38.9667015075684,-12.2666997909546
Campomanesia eugenioides,-36.6081008911133,-10.2910995483398
Campomanesia eugenioides,-50.4,-26.64
Campomanesia eugenioides,-50.9494018554688,-24.2082996368408
Campomanesia eugenioides,-50.9494018554688,-24.2082996368408
Campomanesia eugenioides,-52.2567,-15.89
Campomanesia eugenioides,-47.092403,-23.689749
Campomanesia eugenioides,-37.628333,-10.863056
Campomanesia eugenioides,-37.091944,-7.907222
Campomanesia eugenioides,-38.210833,-9.070833
Campomanesia eugenioides,-37.123333,-8.556389
Campomanesia eugenioides,-41.550556,-9.898056
Campomanesia eugenioides,-39.6275,-12.725
Campomanesia eugenioides,-52.266667,-15.866667
Campomanesia eugenioides,-41.945833,-22.8075
Campomanesia eugenioides,-39.1907997131348,-12.5355997085571
Campomanesia eugenioides,-39.1018981933594,-12.6700000762939
Campomanesia eugenioides,-43.6918983459473,-20.5207996368408
Campomanesia eugenioides,-50.9494018554688,-24.2082996368408
Campomanesia eugenioides,-37.1557998657227,-8.62306022644043
Campomanesia eugenioides desertorum,-37.684398651123,-9.80500030517578
Campomanesia eugenioides,-50.6156005859375,-24.3239002227783
Campomanesia eugenioides,-43.207778,-22.903333
Campomanesia eugenioides,-43.207778,-22.903333
Campomanesia eugenioides,-43.207778,-22.903333
Campomanesia eugenioides,-39.7,-12.716667
Campomanesia eugenioides,-39.7,-12.716667
Campomanesia eugenioides,-51.086117,-16.406767
Campomanesia eugenioides,-49.063056,-16.316667
Campomanesia eugenioides,-48.419444,-14.358333
Campomanesia eugenioides,-48.616667,-11.966667
Campomanesia eugenioides,-47.433333,-14.033333
Campomanesia eugenioides,-47.835556,-14.163056
Campomanesia eugenioides,-47.333333,-14.073333
Campomanesia eugenioides,-38.512778,-9.569444
