SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Ceiba erianthos,-40.7402992248535,-18.9831008911133
Ceiba erianthos,-40.7402992248535,-18.9831008911133
Ceiba erianthos,-41.120928,-20.074371
Ceiba erianthos,-39.851186,-12.870608
Ceiba erianthos,-47.875303,-22.968303
Ceiba erianthos,-47.068611,-22.820278
Ceiba erianthos,-38.683333,-12.366667
Ceiba erianthos,-42.233333,-22.966111
Ceiba erianthos,-42.233333,-22.966111
Ceiba erianthos,-42.7322006225586,-19.7122001647949
Ceiba erianthos,-43.2075004577637,-22.9027996063232
Ceiba erianthos,-47.060001373291,-22.8999996185303
Ceiba erianthos,-47.060001373291,-22.8999996185303
Ceiba erianthos,-47.060001373291,-22.8999996185303
Ceiba erianthos,-47.6399993896484,-22.7199993133545
Ceiba erianthos,-47.6399993896484,-22.7199993133545
Ceiba erianthos,-47.6399993896484,-22.7199993133545
Ceiba erianthos,-39.95,-11.402778
Ceiba erianthos,-40.2117004394531,-12.7672004699707
Ceiba erianthos,-41.1239013671875,-20.0741996765137
Ceiba erianthos,-43.6744003295898,-15.3382997512817
Ceiba erianthos,-43.2075004577637,-22.9027996063232
Ceiba erianthos,-41.6636009216309,-13.2496995925903
Ceiba erianthos,-42.166667,-22.85
Ceiba erianthos,-40.6002998352051,-19.9356002807617
Ceiba erianthos,-40.6002998352051,-19.9356002807617
Ceiba erianthos,-39.766667,-12.7
Ceiba erianthos,-42.466667,-19.766667
Ceiba erianthos,-39.766667,-12.7
Ceiba erianthos,-41.3708000183105,-13.0052995681763
Ceiba erianthos,-47.6399993896484,-22.7199993133545
Ceiba erianthos,-47.560001373291,-22.4099998474121
Ceiba erianthos,-47.6399993896484,-22.7199993133545
Ceiba erianthos,-39.17,-14.8
Ceiba erianthos,-42.189167,-22.850278
Ceiba erianthos,-42.0183,-22.8794
Ceiba erianthos,-43.274528,-22.95583
Ceiba erianthos,-47.9294,-15.7797
Ceiba erianthos,-58.3804411,-11.0249185
Ceiba erianthos,-42.0186004638672,-22.8794002532959
Ceiba erianthos,-38.68,-12.37
Ceiba erianthos,-43.2075004577637,-22.9027996063232
Ceiba erianthos,-43.2075004577637,-22.9027996063232
Ceiba erianthos,-43.2075004577637,-22.9027996063232
Ceiba erianthos,-41.5331001281738,-20.763599395752
Ceiba erianthos,-41.1128005981445,-20.8488998413086
Ceiba erianthos,-40.4006004333496,-18.710599899292
Ceiba erianthos,-40.4006004333496,-18.710599899292
Ceiba erianthos,-40.2924995422363,-20.3297004699707
Ceiba erianthos,-40.2924995422363,-20.3297004699707
Ceiba erianthos,-40.3377990722656,-20.3194007873535
Ceiba erianthos,-40.3377990722656,-20.3194007873535
Ceiba erianthos,-39.533333,-12.8
Ceiba erianthos,-38.9682998657227,-3.6072199344635
Ceiba erianthos,-43.2075004577637,-22.9027996063232
Ceiba erianthos,-43.2075004577637,-22.9027996063232
Ceiba erianthos,-43.2075004577637,-22.9027996063232
Ceiba erianthos,-47.565139,-22.4149
Ceiba erianthos,-41.0158004760742,-19.5188999176025
Ceiba erianthos,-40.0722007751465,-19.3910999298096
Ceiba erianthos,-40.5,-22.25
Ceiba erianthos,-41.87471,-22.761974
Ceiba erianthos,-41.783333,-13.316667
Ceiba erianthos,-40.2117004394531,-12.7672004699707
Ceiba erianthos,-41.1239013671875,-20.0741996765137
Ceiba erianthos,-40.3539009094238,-17.8391990661621
Ceiba erianthos,-42.0278015136719,-22.966100692749
Ceiba erianthos,-42.0186004638672,-22.8794002532959
Ceiba erianthos,-46.6300010681152,-23.5400009155273
