SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Centrosema coriaceum,-41.316667,-12.833333
Centrosema coriaceum,-41.383333,-13
Centrosema coriaceum,-41.5525,-5.322222
Centrosema coriaceum,-41.5588989257812,-12.5289001464844
Centrosema coriaceum,-40.4006004333496,-18.710599899292
Centrosema coriaceum,-43.937801361084,-19.9207992553711
Centrosema coriaceum,-43.5080986022949,-20.2875003814697
Centrosema coriaceum,-39.2658004760742,-17.7318992614746
Centrosema coriaceum,-39.5311012268066,-17.0391998291016
Centrosema coriaceum,-40.5182991027832,-11.1806001663208
Centrosema coriaceum,-41.3899993896484,-12.563099861145
Centrosema coriaceum,-41.3708000183105,-13.0052995681763
Centrosema coriaceum,-40.4939002990723,-12.2839002609253
Centrosema coriaceum,-42.8897018432617,-16.5594005584717
Centrosema coriaceum,-42.8897018432617,-16.5594005584717
Centrosema coriaceum,-43.7449989318848,-19.513599395752
Centrosema coriaceum,-41.4768981933594,-16.2224998474121
Centrosema coriaceum,-43.3793983459473,-18.604700088501
Centrosema coriaceum,-41.5588989257812,-12.5289001464844
Centrosema coriaceum,-53.09728997,-10.78430668
Centrosema coriaceum,-43.8466987609863,-19.9855995178223
Centrosema coriaceum,-43.8466987609863,-19.9855995178223
Centrosema coriaceum,-43.890833,-20.399167
Centrosema coriaceum,-41.43333,-12.46667
Centrosema coriaceum,-41.31667,-10.36667
Centrosema coriaceum,-41.58333,-12.45
Centrosema coriaceum,-40.48333,-11.2
Centrosema coriaceum,-41.31667,-12.85
Centrosema coriaceum,-41.33333,-12.95
Centrosema coriaceum,-41.31667,-12.48333
Centrosema coriaceum,-41.31667,-12.48333
Centrosema coriaceum,-41.31667,-12.48333
Centrosema coriaceum,-39.2658004760742,-17.7318992614746
Centrosema coriaceum,-38.8828010559082,-15.8631000518799
Centrosema coriaceum,-43.5080986022949,-20.2875003814697
Centrosema coriaceum,-41.32,-12.83
Centrosema coriaceum,-39.2519617,-17.650688
Centrosema coriaceum,-41.38,-13
Centrosema coriaceum,-43.58,-18.55
Centrosema coriaceum,-43.55,-18.55
Centrosema coriaceum,-43.68,-18.57
Centrosema coriaceum,-43.4158,-20.3781
Centrosema coriaceum,-43.7447,-19.5136
Centrosema coriaceum,-43.3792,-18.6047
Centrosema coriaceum,-42.8894,-16.5594
Centrosema coriaceum,-41.02292,-19.58217
Centrosema coriaceum,-39.000567,-15.309567
Centrosema coriaceum,-40.4083,-10.9439
Centrosema coriaceum,-43.75,-19.92
Centrosema coriaceum,-41.33,-10.37
Centrosema coriaceum,-39.2519617,-17.650688
Centrosema coriaceum,-40.5181,-11.1808
Centrosema coriaceum,-41.3897,-12.5633
Centrosema coriaceum,-41.43,-12.47
Centrosema coriaceum,-39.53,-17.05
Centrosema coriaceum,-40.45,-10.95
Centrosema coriaceum,-41.32,-12.85
Centrosema coriaceum,-43.9378,-19.9208
Centrosema coriaceum,-41.85,-13.38
Centrosema coriaceum,-41.1561012268066,-11.5500001907349
Centrosema coriaceum,-43.5080986022949,-20.2875003814697
Centrosema coriaceum,-41.39,-12.5631
Centrosema coriaceum,-43.937801361084,-19.9207992553711
Centrosema coriaceum,-43.4075012207031,-20.0746994018555
Centrosema coriaceum,-43.4160995483398,-20.377799987793
Centrosema coriaceum,-43.5080986022949,-20.2875003814697
Centrosema coriaceum,-39.2658004760742,-17.7318992614746
Centrosema coriaceum,-39.7322006225586,-18.5932998657227
Centrosema coriaceum,-39.7322006225586,-18.5932998657227
Centrosema coriaceum,-39.7322006225586,-18.5932998657227
Centrosema coriaceum,-39.7322006225586,-18.5932998657227
Centrosema coriaceum,-40.6591987609863,-20.3633003234863
Centrosema coriaceum,-40.5182991027832,-11.1806001663208
Centrosema coriaceum,-41.5588989257812,-12.5289001464844
Centrosema coriaceum,-41.38333,-13
Centrosema coriaceum,-41.31667,-12.83333
Centrosema coriaceum,-39.53333,-17.05
Centrosema coriaceum,-36.2202987670898,-9.64138984680176
Centrosema coriaceum,-36.2202987670898,-9.64138984680176
Centrosema coriaceum,-36.434398651123,-10.4055995941162
Centrosema coriaceum,-39.880833,-19.117556
Centrosema coriaceum,-40.0722007751465,-19.3910999298096
Centrosema coriaceum,-40.0722007751465,-19.3910999298096
Centrosema coriaceum,-40.0722007751465,-19.3910999298096
Centrosema coriaceum,-41.4181,-12.4642
Centrosema coriaceum,-41.82,-13.58
Centrosema coriaceum,-41.35,-13.02
Centrosema coriaceum,-41.38,-13
Centrosema coriaceum,-41.32,-12.83
Centrosema coriaceum,-41.33,-10.33
Centrosema coriaceum,-40.666667,-11.083333
Centrosema coriaceum,-41.85,-13.383333
Centrosema coriaceum,-41.4175,-12.569722
Centrosema coriaceum,-43.43645,-19.885567
Centrosema coriaceum,-40.408333,-10.943889
Centrosema coriaceum,-43.893944,-21.713639
Centrosema coriaceum,-39.913889,-16.596944
