SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Cheilanthes geraniifolia,-40.7402992248535,-18.9831008911133
Cheilanthes geraniifolia,-40.7402992248535,-18.9831008911133
Cheilanthes geraniifolia,-40.4006004333496,-18.710599899292
Cheilanthes geraniifolia,-40.611400604248,-18.6149997711182
Cheilanthes geraniifolia,-41.290556,-16.059167
Cheilanthes geraniifolia,0,-16.059167
Cheilanthes geraniifolia,-42,-11
Cheilanthes geraniifolia,-58.1689,-23.2025
Cheilanthes geraniifolia,-44,-18
Cheilanthes geraniifolia,-44,-18
Cheilanthes geraniifolia,-39.7,-12.716667
Cheilanthes geraniifolia,-57.6533012390137,-19.0091991424561
Cheilanthes geraniifolia,-40.582778,-18.643889
Cheilanthes geraniifolia,-41.7653007507324,-16.6131000518799
Cheilanthes geraniifolia,-43.679978,-19.107039
Cheilanthes geraniifolia,-41.260833,-17.856111
Cheilanthes geraniifolia,-41.349778,-16.768889
Cheilanthes geraniifolia,-40.075694,-16.260333
Cheilanthes geraniifolia,-57.568611,-17.905556
Cheilanthes geraniifolia,-43.946417,-18.631083
Cheilanthes geraniifolia,-41.260833,-17.856111
Cheilanthes geraniifolia,-41.110803,-19.832869
Cheilanthes geraniifolia,-41.459492,-16.009861
Cheilanthes geraniifolia,-40.787639,-20.535278
Cheilanthes geraniifolia,-43.369444,-18.145278
Cheilanthes geraniifolia,-41.875528,-16.370639
Cheilanthes geraniifolia,-40.9785995483398,-18.5468997955322
Cheilanthes geraniifolia,-40.6002998352051,-19.9356002807617
Cheilanthes geraniifolia,-40.6002998352051,-19.9356002807617
Cheilanthes geraniifolia,-40.6002998352051,-19.9356002807617
Cheilanthes geraniifolia,-43.3908004760742,-18.0041999816895
Cheilanthes geraniifolia,-41.310278,-12.854167
Cheilanthes geraniifolia,-40.4308013916016,-13.4411001205444
