SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Clusia cf. dardanoi,-35.816667,-8.2
Clusia cf. gardneri,-48.29306,-13.70806
Clusia cf. gardneri,-47.583055,-14.178888
Clusia cf. gardneri,-48.2,-13.95
Clusia cf. gardneri,-48.1275,-13.89361
Clusia cf. gardneri,-48.066666,-14.833333
Clusia cf. gardneri,-48.09528,-14.09583
Clusia cf. gardneri,-48.05111,-13.49278
Clusia cf. gardneri,-48.246388,-12.811666
Clusia cf. criuva,-47.9296989440918,-15.7797002792358
Clusia cf. gardneri,-47.5099983215332,-14.1324996948242
Clusia cf. gardneri,-48.0783004760742,-14.1513996124268
Clusia cf. gardneri,-48.0783004760742,-14.1513996124268
Clusia cf. weddeliana,-56.4766998291016,-9.664719581604
Clusia cf. organensis,-38.8847,-4.32861
Clusia cf. criuva parviflora,-48.6702995300293,-28.2399997711182
Clusia cf. marizii,-40.553056,-19.9075
Clusia cf. marizii,-40.553056,-19.9075
Clusia cf. marizii,-40.800278,-18.945
Clusia cf. arrudea,-43.8467,-19.9856
Clusia cf. parviflora,-49.7268981933594,-29.3353004455566
Clusia cf. parviflora,-49.7268981933594,-29.3353004455566
