SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Clusia criuva,-48.3288993835449,-25.3066997528076
Clusia criuva,-48.3288993835449,-25.3066997528076
Clusia criuva,-48.834400177002,-25.476900100708
Clusia criuva,-48.511100769043,-25.6735992431641
Clusia criuva,-48.511100769043,-25.6735992431641
Clusia criuva,-48.511100769043,-25.6735992431641
Clusia criuva,-48.511100769043,-25.6735992431641
Clusia criuva,-48.6161003112793,-26.1168994903564
Clusia criuva,-48.783333,-15.933333
Clusia criuva,-46.633333,-23.6
Clusia criuva,-41.68,-4.091944
Clusia criuva,-48.88412,-27.625885
Clusia criuva,-49.2064018249512,-25.5347003936768
Clusia criuva,-44.7131004333496,-23.2178001403809
Clusia criuva,-49.8889007568359,-29.551399230957
Clusia criuva,-49.7268981933594,-29.3353004455566
Clusia criuva,-48.9174995422363,-27.0981006622314
Clusia criuva,-48.9174995422363,-27.0981006622314
Clusia criuva,-48.5491981506348,-27.596700668335
Clusia criuva,-48.5491981506348,-27.596700668335
Clusia criuva,-48.5491981506348,-27.596700668335
Clusia criuva,-48.5491981506348,-27.596700668335
Clusia criuva,-48.6618995666504,-26.9078006744385
Clusia criuva,-48.6618995666504,-26.9078006744385
Clusia criuva,-48.6618995666504,-26.9078006744385
Clusia criuva,-48.6618995666504,-26.9078006744385
Clusia criuva,-48.6678009033203,-27.645299911499
Clusia criuva,-48.6678009033203,-27.645299911499
Clusia criuva,-48.6380996704102,-26.2432994842529
Clusia criuva,-48.6380996704102,-26.2432994842529
Clusia criuva parviflora,-47.5,-23.85
Clusia criuva parviflora,-45.683333,-23.633333
Clusia criuva,-47.916667,-24.883333
Clusia criuva,-46.824444,-24.041111
Clusia criuva,-46.733333,-23.983333
Clusia criuva,-46.7,-23.983333
Clusia criuva,-46.824444,-24.041111
Clusia criuva,-46.824444,-24.041111
Clusia criuva,-47.993333,-24.538889
Clusia criuva,-47.993333,-24.527778
Clusia criuva,-47.916667,-24.883333
Clusia criuva,-47.993333,-24.538889
Clusia criuva,-48.374444,-24.291361
Clusia criuva,-43.869472,-18.596194
Clusia criuva,-48.236861,-25.46975
Clusia criuva,-48.400278,-24.639444
Clusia criuva,-48.064444,-25.0025
Clusia criuva,-43.894722,-21.708889
Clusia criuva,-45.166389,-23.5225
Clusia criuva,-45.166389,-23.5225
Clusia criuva,-45.166389,-23.5225
Clusia criuva,-44.610278,-22.466667
Clusia criuva,-46.407556,-20.538111
Clusia criuva,-47.450278,-24.076944
Clusia criuva,-45.753611,-18.149167
Clusia criuva,-48.391222,-25.5505
Clusia criuva,-47.670264,-24.034903
Clusia criuva,-47.670264,-24.034903
Clusia criuva,-49.077222,-24.335278
Clusia criuva,-47.568175,-23.414669
Clusia criuva,-47,-23.410108
Clusia criuva,-41.193056,-11.437778
Clusia criuva,-40.876389,-19.230833
Clusia criuva,-42.529722,-22.438056
Clusia criuva,-41.3775,-13.006944
Clusia criuva,-41.3775,-13.006944
Clusia criuva,-41.940278,-13.518889
Clusia criuva,-42.949444,-16.604167
Clusia criuva,-41.286139,-20.175722
Clusia criuva,-43.887778,-21.986667
Clusia criuva,-46.3695,-21.961556
Clusia criuva,-42.5,-22
Clusia criuva criuva,-47.95,-19.216667
Clusia criuva,-48.391944,-24.646389
Clusia criuva,-45.041667,-23.255556
Clusia criuva,-47.916667,-24.883333
Clusia criuva criuva,-48.042222,-22.265
Clusia criuva criuva,-47.870833,-15.9525
Clusia criuva criuva,-43.586389,-19.285833
Clusia criuva criuva,-47.887861,-15.940333
Clusia criuva criuva,-43.909667,-21.721833
Clusia criuva criuva,-49.686361,-24.219083
Clusia criuva criuva,-41.478833,-12.440972
Clusia criuva criuva,-47.55,-15.533333
Clusia criuva criuva,-47.85,-15.866667
Clusia criuva criuva,-47,-15
Clusia criuva criuva,-43.572222,-19.290278
Clusia criuva criuva,-47.802833,-22.237278
Clusia criuva parviflora,-47.833333,-25.666667
Clusia criuva parviflora,-47.993333,-24.538889
