SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Clusia melchiori,-41.2,-11.583333
Clusia melchiori,-62.15,5.3
Clusia melchiori,-63,3.666667
Clusia melchiorii,-53.216667,3.633333
Clusia melchiorii,-58.85,3.183333
Clusia melchiorii,-39.475556,-12.851667
Clusia melchiorii,-39.565278,-15.391667
Clusia melchiorii,-40.094444,-14.499722
Clusia melchiorii,-42.594444,-11.575556
Clusia melchiorii,-39.658611,-14.591667
Clusia melchiorii,-41.458333,-12.455556
Clusia melchiorii,-41.425,-12.458333
Clusia melchiorii,-41.440278,-12.459722
Clusia melchiorii,-36.414278,-12.508333
Clusia melchiorii,-39.565278,-15.391667
Clusia melchiorii,-41.206944,-11.591944
Clusia melchiorii,-41.206389,-11.591111
Clusia melchiorii,-39.536111,-14.770278
Clusia melchiorii,-42.594444,-11.575556
Clusia melchiorii,-41.207222,-11.591111
Clusia melchiorii,-41.202778,-11.608333
Clusia melchiorii,-61.497222,5.877083
Clusia melchiorii,-61.5,5.866667
Clusia melchiorii,-61.541667,5.791667
Clusia melchiorii,-41.2,-11.583333
Clusia melchiorii,-41.016667,-11.616667
Clusia melchiorii,-41.933333,-13.516667
Clusia melchiorii,-39.565278,-15.391667
Clusia melchiorii,-41.933333,-13.516667
Clusia melchiorii,-39.475833,-12.853611
Clusia melchiorii,-39.565278,-15.391667
Clusia melchiorii,-39.341667,-15.173611
Clusia melchiorii,-39.603333,-14.705833
Clusia melchiorii,-41.206389,-11.591111
Clusia melchiorii,-39.565278,-15.391667
Clusia melchiorii,-41.968056,-13.526944
Clusia melchiorii,-41.206667,-11.590833
Clusia melchiorii,-41.207222,-11.590556
Clusia melchiorii,-39.475556,-12.853056
Clusia melchiorii,-39.782992,-15.344331
Clusia melchiorii,-40.499167,-19.897778
Clusia melchiorii,-40.094444,-14.499722
Clusia melchiorii,-41.197222,-17.929167
Clusia melchiorii,-39.475556,-12.853056
Clusia melchiorii,-43.521389,-19.995278
Clusia melchiorii,-40.770472,-19.803278
Clusia melchiorii,-40.769722,-19.802917
Clusia melchiorii,-40.555694,-21.241667
Clusia melchiorii,-39.4725,-12.853056
Clusia melchiorii,-39.533333,-12.75
Clusia melchiorii,-40.6,-19.933333
Clusia melchiorii,-40.6,-19.933333
Clusia melchiorii,-41.6636009216309,-13.2496995925903
Clusia melchiorii,-41.1561012268066,-11.5500001907349
Clusia melchiorii,-41.1561012268066,-11.5500001907349
Clusia melchiorii,-41.1561012268066,-11.5500001907349
Clusia melchiorii,-41.1561012268066,-11.5500001907349
Clusia melchiorii,-41.5588989257812,-12.5289001464844
Clusia melchiorii,-41.8114013671875,-13.5789003372192
Clusia melchiorii,-39.5233001708984,-12.771900177002
Clusia melchiorii,-40.6568984985352,-19.738899230957
Clusia melchiorii,-40.6591987609863,-20.3633003234863
Clusia melchiorii,-40.6591987609863,-20.3633003234863
Clusia melchiorii,-40.6591987609863,-20.3633003234863
Clusia melchiorii,-40.369701385498,-19.8318996429443
Clusia melchiorii,-40.855598449707,-19.8019008636475
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-43.6002998352051,-18.2493991851807
Clusia melchiorii,-43.1786003112793,-22.5049991607666
Clusia melchiorii,-36.371111,-8.145833
Clusia melchiorii,-36.568611,-9.030556
Clusia melchiorii,-36.775556,-8.466389
Clusia melchiorii,-36.371111,-8.145833
Clusia melchiorii,-39.5233001708984,-12.771900177002
Clusia melchiorii,-39.5233001708984,-12.771900177002
Clusia melchiorii,-39.5233001708984,-12.771900177002
Clusia melchiorii,-41.833333,-13.283333
Clusia melchiori,-41.6636009216309,-13.2496995925903
Clusia melchiori,-41.3708000183105,-13.0052995681763
Clusia melchiori,-41.5588989257812,-12.5289001464844
Clusia melchiori,-40.6591987609863,-20.3633003234863
Clusia melchiorii,-40.6591987609863,-20.3633003234863
Clusia melchiorii,-39.428611,-12.748056
Clusia melchiorii,-41.1561012268066,-11.5500001907349
Clusia melchiorii,-41.1561012268066,-11.5500001907349
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-38.5108,-12.9711
Clusia melchiorri,-41.1561012268066,-11.5500001907349
Clusia melchiorri,-41.1561012268066,-11.5500001907349
Clusia melchiorri,-41.6636009216309,-13.2496995925903
Clusia melchiorri,-36.3711013793945,-8.14583015441895
Clusia melchiorii,-39.6033,-14.7058
Clusia melchiorii,-41.1558,-11.5503
Clusia melchiorii,-63.3745909,0.9016571
Clusia melchiorii,-39.6025,-14.7036
Clusia melchiorii,-39.115,-14.4997
Clusia melchiorii,-75.02,6.9
Clusia melchiorii,-36.3708333,-8.15
Clusia melchiorii,-39.5653,-15.3917
Clusia melchiorii,-39.5361111,-14.7702778
Clusia melchiorii,-39.3417,-15.1736
Clusia melchiorii,-39.5653,-15.3917
Clusia melchiorii,-65.8978,5.7192
Clusia melchiorii,-39.1839,-12.1617
Clusia melchiorii,-39.3394,-15.1742
Clusia melchiorii,-53.27,3.6
Clusia melchiorii,-39.3394,-15.1742
Clusia melchiorii,-41.7975,-13.0736
Clusia melchiorii,-41.2,-11.58
Clusia melchiorii,-41.4528,-12.4575
Clusia melchiorii,-63,3.67
Clusia melchiorii,-41.87,-13.33
Clusia melchiorii,-41.9,-13.27
Clusia melchiorii,-41.87,-13.33
Clusia melchiorii,-41.93,-13.52
Clusia melchiorii,-39.5986,-15.3917
Clusia melchiorii,-39.4758,-12.8536
Clusia melchiorii,-41.3897,-12.5633
Clusia melchiorii,-41.4528,-12.4575
Clusia melchiorii,-39.2028,-14.7703
Clusia melchiorii,-39.5361,-14.7703
Clusia melchiorii,-39.5361111,-14.7702778
Clusia melchiorii,-41.92,-13.25
Clusia melchiorii,-63.3745909,0.9016571
Clusia melchiorii,-63.3745909,0.9016571
Clusia melchiorii,-63.3745909,0.9016571
Clusia melchiorii,-63.3745909,0.9016571
Clusia melchiorii,-62.8,1.53
Clusia melchiori,-41.166667,-11.55
Clusia melchiorii,-39.475556,-12.853611
Clusia melchiorii,-39.5233001708984,-12.771900177002
Clusia melchiorii,-40.6591987609863,-20.3633003234863
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-40.6002998352051,-19.9356002807617
Clusia melchiorii,-38.606389,-3.631389
Clusia melchiorii,-41.366667,-13
Clusia melchiorii,-38.714472,-3.888528
Clusia melchiorii,-38.6856002807617,-3.89083003997803
Clusia melchiorii,-38.6856002807617,-3.89083003997803
Clusia melchiorii,-38.6856002807617,-3.89083003997803
Clusia melchiorii,-41.1561012268066,-11.5500001907349
Clusia melchiorii,-41.207778,-11.591667
Clusia melchiori,-56.13,3.88
Clusia melchiori,-60.73,5.2
Clusia melchiori,-56.16,3.91
Clusia melchiori,-67.4,4.95
Clusia melchiori,-67.4,4.95
Clusia melchiori,-66.8,3.75
Clusia melchiori,-61.03,5.41
Clusia melchiori,-65.83,4.41
Clusia melchiori,-65.95,1.01
Clusia melchiori,-65.95,1.01
Clusia melchiori,-65.92,1.03
Clusia melchiori,-56.53,3.68
Clusia melchiori,-62.41,5.93
Clusia melchiori,-64.43,4.75
Clusia melchiori,-59.46,5.18
Clusia melchiori,-61.75,5.76
Clusia melchiori,-63,3.66
Clusia melchiori,-65.98,50
Clusia melchiori,-65.78,1.43
Clusia melchiori,-65.81,1.53
Clusia melchiori,-62.53,5.85
Clusia melchiori,-66.16,5.7
Clusia melchiori,-66.12,5.69
Clusia melchiori,-60.25,5.56667
Clusia melchiori,-60.25,5.56667
Clusia melchiori,-56.53,3.68
Clusia melchiori,-65.2,5.35
Clusia melchiori,-59.55,3.31
Clusia melchiori,-53.91,3.55
Clusia melchiori,-53.91,3.55
Clusia melchiori,-63.358,0.9
Clusia melchiori,-60.1333,5.71667
Clusia melchiori,-60.3,5.71667
Clusia melchiori,-59.8667,5.06667
Clusia melchiori,-60.1833,5.70833
Clusia melchiori,-60.2167,5.66667
Clusia melchiori,-41.7975,-13.0736
Clusia melchiori,-41.4508,-12.4506
Clusia melchiori,-40.4908,-11.1436
Clusia melchiori,-41.1561012268066,-11.5500001907349
Clusia melchiori,-58.855,3.18944
Clusia melchiori,-58.855,3.18944
Clusia melchiori,-59.55,3.3
Clusia melchiori,-56.5,3.75
Clusia melchiori,-59.5167,4.18333
Clusia melchiori,-60.3,4.8
Clusia melchiori,-60.0833,4.9
Clusia melchiori,-42.5228,-14.5347
Clusia melchiorii,-39.202778,-14.770278
Clusia melchiorii,-39.202778,-14.770278
Clusia melchiorii,-39.536111,-14.770278
Clusia melchiorii,-41.440278,-12.459722
Clusia melchiorii,-41.4175,-12.450833
Clusia melchiorii,-41.450833,-12.450556
Clusia melchiorii,-41.208056,-11.590833
Clusia melchiorii,-40.503056,-11.334444
Clusia melchiorii,-41.206667,-11.590833
Clusia melchiorii,-41.207222,-11.583889
