SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Clusia mexiae,-43.737222,-18.87
Clusia mexiae,-43.671389,-18.93
Clusia mexiae,-40.783056,-19.3205
Clusia mexiae,-43.348333,-18.395833
Clusia mexiae,-41.883333,-20.433333
Clusia mexiae,-41.545833,-20.940556
Clusia mexiae,-43.509778,-19.2475
Clusia mexiae,-40.6568984985352,-19.738899230957
Clusia mexiae,-40.6568984985352,-19.738899230957
Clusia mexiae,-41.184700012207,-20.6035995483398
Clusia mexiae,-41.8683013916016,-20.4333000183105
Clusia mexiae,-41.9043998718262,-20.523099899292
Clusia mexiae,-41.9043998718262,-20.523099899292
Clusia mexiae,-42.9674987792969,-21.4596996307373
Clusia mexiae,-42.9674987792969,-21.4596996307373
Clusia mexiae,-43.801399230957,-20.2532997131348
Clusia mexiae,-43.4152984619141,-19.959400177002
Clusia mexiae,-43.4152984619141,-19.959400177002
Clusia mexiae,-44.1781005859375,-21.1103000640869
Clusia mexiae,-44.1781005859375,-21.1103000640869
Clusia mexiae,-43.1786003112793,-22.5049991607666
Clusia mexiae,-41.084,-20.516
Clusia mexiae,-41.084,-20.516
Clusia mexiae,-41.084,-20.516
Clusia mexiae,-44.485272,-21.236175
Clusia mexiae,-44.502583,-21.223856
Clusia mexiae,-44.505478,-21.248486
Clusia mexiae,-44.301583,-21.151444
Clusia mexiae,-43.8466987609863,-19.9855995178223
Clusia mexiae,-43.4872016906738,-19.94580078125
Clusia mexiae,-43.937801361084,-19.9207992553711
Clusia mexiae,-43.4872016906738,-19.94580078125
Clusia mexiae,-44.2616996765137,-21.1355991363525
Clusia mexiae,-43.6002998352051,-18.2493991851807
Clusia mexiae,-43.5080986022949,-20.2875003814697
Clusia mexiae,-41.3664016723633,-21.0641994476318
Clusia mexiae,-40.669722,-20.043333
Clusia mexiae,-41.466944,-20.384444
Clusia mexiae,-41.479167,-20.331944
Clusia mexiae,-40.6002998352051,-19.9356002807617
Clusia mexiae,-40.3078002929688,-20.1285991668701
Clusia mexiae,-43.737222,-18.87
Clusia mexiae,-43.133333,-18.1
Clusia mexiae,-43.340639,-18.398778
Clusia mexiae,-43.510556,-19.246944
Clusia mexiae,-44.216667,-20.133333
Clusia mexiae,-44.216667,-20.133333
Clusia mexiae,-44.175278,-21.086389
Clusia mexiae,-43.4152984619141,-19.959400177002
Clusia mexiae,-43.4152984619141,-19.959400177002
Clusia mexiae,-40.6002998352051,-19.9356002807617
Clusia mexiae,-43.1786003112793,-22.5049991607666
Clusia mexiae,-40.669722,-20.043333
Clusia mexiae,-43.910556,-19.960833
Clusia mexiae,-44.284722,-17.971111
Clusia mexiae,-42.0293998718262,-20.7331008911133
Clusia mexiae,-43.1786003112793,-22.5049991607666
Clusia mexiae,-43.0092010498047,-18.2936000823975
Clusia mexiae,-43.974167,-20.158056
Clusia mexiae,-43.974167,-20.158056
Clusia mexiae,-43.183333,-23.516667
Clusia mexiae,-43.183333,-22.516667
Clusia mexiae,-43.1786003112793,-22.5049991607666
