SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Clusia nemorosa,-55.833333,-1.7
Clusia nemorosa,-41.3314018249512,-12.8072004318237
Clusia nemorosa,-57.95,5.716667
Clusia nemorosa,-58.965,1.332778
Clusia nemorosa,-52.956792,5.376764
Clusia nemorosa,-72.216667,7.6
Clusia nemorosa,-57.583333,5.6
Clusia nemorosa,-41.833333,-13.583333
Clusia nemorosa,-41.3,-13.583333
Clusia nemorosa,-52.25,4.583333
Clusia nemorosa,-52.733333,3.816667
Clusia nemorosa,-59.566667,2
Clusia nemorosa,-58.816667,1.516667
Clusia nemorosa,-58.633333,2.966667
Clusia nemorosa,-58.966667,2.9
Clusia nemorosa,-58.85,3.183333
Clusia nemorosa,-59.166667,2.25
Clusia nemorosa,-60.633333,5.866667
Clusia nemorosa,-60.633333,5.866667
Clusia nemorosa,-58.733333,4.716667
Clusia nemorosa,-58.383333,6.5
Clusia nemorosa,-59.566667,2
Clusia nemorosa,-58.866667,3.933333
Clusia nemorosa,-58.833333,1.533333
Clusia nemorosa,-58.8,1.516667
Clusia nemorosa,-57.583333,5.6
Clusia nemorosa,-59.483333,5.183333
Clusia nemorosa,-54.733333,4.270556
Clusia nemorosa,-54.740556,4.268611
Clusia nemorosa,-60.3,4.8
Clusia nemorosa,-58.233333,6.3
Clusia nemorosa,-58.533333,3.133333
Clusia nemorosa,-58.533333,3.133333
Clusia nemorosa,-59.183333,2.183333
Clusia nemorosa,-40.4006004333496,-18.710599899292
Clusia nemorosa,-39.7322006225586,-18.5932998657227
Clusia nemorosa,-57.25,5.683333
Clusia nemorosa,-41.376389,-13.983333
Clusia nemorosa,-61.008056,-1.468333
Clusia nemorosa,-41.232139,-12.026944
Clusia nemorosa,-40.666667,-11.833333
Clusia nemorosa,-40.671333,-11.673111
Clusia nemorosa,-55.812417,-1.701778
Clusia nemorosa,-54.6,-0.383333
Clusia nemorosa,-41.420556,-12.447222
Clusia nemorosa,-41.480556,-12.454722
Clusia nemorosa,-41.470833,-12.455556
Clusia nemorosa,-41.440278,-12.459722
Clusia nemorosa,-41.464722,-12.457778
Clusia nemorosa,-41.472222,-12.45
Clusia nemorosa,-41.480556,-12.454722
Clusia nemorosa,-41.416667,-14.583333
Clusia nemorosa,-42.645244,-13.165456
Clusia nemorosa,-59.25,-3.333333
Clusia nemorosa,-59,-2.70185
Clusia nemorosa,-54.433333,-0.916667
Clusia nemorosa,-52.883333,-0.166667
Clusia nemorosa,-53.616667,-7
Clusia nemorosa,-58.533333,3.133333
Clusia nemorosa,-41.406389,-13.444167
Clusia nemorosa,-47.583333,-15.583333
Clusia nemorosa,-41.354475,-11.901903
Clusia nemorosa,-62.683333,6.283333
Clusia nemorosa,-41.341667,-12.341667
Clusia nemorosa,-41.85,-13.3
Clusia nemorosa,-41.15,-11.626667
Clusia nemorosa,-41.199167,-11.605556
Clusia nemorosa,-58.633333,1.65
Clusia nemorosa,-41.333333,-12.166667
Clusia nemorosa,-39.121389,-16.495
Clusia nemorosa,-49.933333,-0.966667
Clusia nemorosa,-63.548483,-1.624761
Clusia nemorosa,-63.548483,-1.624761
Clusia nemorosa,-40.243056,-10.513889
