SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Clusia organensis,-41.184700012207,-20.6035995483398
Clusia organensis,-40.74931,-20.635712
Clusia organensis,-40.833333,-20.433333
Clusia organensis,-42.483333,-20.716667
Clusia organensis,-40.993889,-20.553056
Clusia organensis,-41.036667,-20.69
Clusia organensis,-41.433333,-22.35
Clusia organensis,-42.443889,-22.364444
Clusia organensis,-41.736389,-20.406333
Clusia organensis,-41.736389,-20.406333
Clusia organensis,-41.5,-20.15
Clusia organensis,-41.831472,-20.369194
Clusia organensis,-42.523333,-22.3075
Clusia organensis,-41.353056,-20.647778
Clusia organensis,-40.975556,-20.165833
Clusia organensis,-41.021111,-20.398889
Clusia organensis,-40.648,-19.022833
Clusia organensis,-41.243889,-21.070556
Clusia organensis,-40.533333,-19.966667
Clusia organensis,-44.85,-23.35
Clusia organensis,-40.6,-19.933333
Clusia organensis,-40.6,-19.933333
Clusia organensis,-40.6,-19.933333
Clusia organensis,-40.6,-19.933333
Clusia organensis,-40.4,-18.7
Clusia organensis,-41.1239013671875,-20.0741996765137
Clusia organensis,-41.5331001281738,-20.763599395752
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-40.6591987609863,-20.3633003234863
Clusia organensis,-40.6591987609863,-20.3633003234863
Clusia organensis,-40.6591987609863,-20.3633003234863
Clusia organensis,-40.6591987609863,-20.3633003234863
Clusia organensis,-41.8452987670898,-20.6888999938965
Clusia organensis,-40.855598449707,-19.8019008636475
Clusia organensis,-40.6831016540527,-20.4127998352051
Clusia organensis,-40.5297012329102,-20.1005992889404
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-41.9043998718262,-20.523099899292
Clusia organensis,-41.9043998718262,-20.523099899292
Clusia organensis,-41.9043998718262,-20.523099899292
Clusia organensis,-41.9043998718262,-20.523099899292
Clusia organensis,-42.6571998596191,-20.8400001525879
Clusia organensis,-43.3502998352051,-21.7642002105713
Clusia organensis,-43.3502998352051,-21.7642002105713
Clusia organensis,-45.0699996948242,-23.4300003051758
Clusia organensis,-41.086111,-20.516111
Clusia organensis,-41.143333,-20.304722
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-40.6831016540527,-20.4127998352051
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-41.102,-20.527
Clusia organensis,-41.021389,-20.434722
Clusia organensis,-41.005555,-20.6575
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-46.4075,-23.388611
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-43.7931,-21.8428
Clusia organensis,-42.98,-22.33
Clusia organensis,-43.073169,-22.496706
Clusia organensis,-43.2655982971191,-21.5877990722656
Clusia organensis,-42.848889,-22.082222
Clusia organensis,-42.8875,-22.185833
Clusia organensis,-42.834444,-22.075
Clusia organensis,-44.166944,-22.852222
Clusia organensis,-44.148333,-22.865
Clusia organensis,-42.833333,-22.066667
Clusia organensis,-41.3664016723633,-21.0641994476318
Clusia organensis,-41.085833,-20.518333
Clusia organensis,-40.975556,-20.165833
Clusia organensis,-40.816667,-20.15
Clusia organensis,-41.471944,-20.363333
Clusia organensis,-41.471389,-20.363056
Clusia organensis,-40.3075,-20.181111
Clusia organensis,-41.764722,-20.566389
Clusia organensis,-41.7475,-20.490556
Clusia organensis,-41.848056,-20.419167
Clusia organensis,-41.708889,-20.893889
Clusia organensis,-41.021111,-20.398889
Clusia organensis,-41.508333,-20.97
Clusia organensis,-40.6591987609863,-20.3633003234863
Clusia organensis,-40.6591987609863,-20.3633003234863
Clusia organensis,-40.6591987609863,-20.3633003234863
Clusia organensis,-40.6591987609863,-20.3633003234863
Clusia organensis,-41.3664016723633,-21.0641994476318
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-41.0069007873535,-20.6714000701904
Clusia organensis,-43.1786003112793,-22.5049991607666
Clusia organensis,-43.1786003112793,-22.5049991607666
Clusia organensis,-43.1786003112793,-22.5049991607666
Clusia organensis,-43.1786003112793,-22.5049991607666
Clusia organensis,-43.2075004577637,-22.9027996063232
Clusia organensis,-44.6425018310547,-21.4874992370605
Clusia organensis,-43.793098449707,-21.8425006866455
Clusia organensis,-41.9043998718262,-20.523099899292
Clusia organensis,-42.483333,-20.716667
Clusia organensis,-43.538889,-22.458333
Clusia organensis,-43.894722,-21.708889
Clusia organensis,-44.45,-22.8
Clusia organensis,-41.005556,-20.657417
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-40.6591987609863,-20.3633003234863
Clusia organensis,-40.6002998352051,-19.9356002807617
Clusia organensis,-41.847222,-20.418611
Clusia organensis,-41.005556,-20.657222
Clusia organensis,-40.6591987609863,-20.3633003234863
Clusia organensis,-42.989594,-22.510275
Clusia organensis,-42.989594,-22.510275
Clusia organensis,-53.08982,-10.773109
Clusia organensis,-42.989594,-22.510275
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-43.793098449707,-21.8425006866455
Clusia organensis,-44.3199996948242,-22.6800003051758
Clusia organensis,-43.793098449707,-21.8425006866455
Clusia cf. organensis,-38.8847,-4.32861
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-42.072222,-20.076389
Clusia organensis,-41.851583,-20.714167
Clusia organensis,-41.851583,-20.714167
Clusia organensis,-40.5998,-19.936414
Clusia organensis,-41.843056,-20.419556
Clusia organensis,-42.072222,-20.076389
Clusia organensis,-42.072222,-20.076389
Clusia organensis,-20.710222,-42.423994
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-41.8683013916016,-20.4333000183105
Clusia organensis,-42.8819007873535,-20.7539005279541
Clusia organensis,-41.101667,-20.526944
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-40.6591987609863,-20.3633003234863
Clusia organensis,-43.793098449707,-21.8425006866455
Clusia organensis,-44.85,-23.35
Clusia organensis,-46.407361,-23.388472
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-41.0069007873535,-20.6714000701904
Clusia organensis,-41.8683013916016,-20.4333000183105
Clusia organensis,-42.5311012268066,-22.2819004058838
Clusia organensis,-42.5311012268066,-22.2819004058838
Clusia organensis,-42.5311012268066,-22.2819004058838
Clusia organensis,-44.3199996948242,-22.6800003051758
Clusia organensis,-42.965833,-22.178333
Clusia organensis,-40.883333,-4.666667
Clusia organensis,-40.749698638916,-20.6350002288818
Clusia organensis,-41.083611,-20.516111
Clusia organensis,-42.5311012268066,-22.2819004058838
Clusia organensis,-42.5311012268066,-22.2819004058838
Clusia organensis,-42.5311012268066,-22.2819004058838
Clusia organensis,-42.523333,-22.3075
Clusia organensis,-41.8683013916016,-20.4333000183105
Clusia organensis,-41.8683013916016,-20.4333000183105
Clusia organensis,-42.0297012329102,-20.8083000183105
