SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Cnidoscolus hamosus,-40.7402992248535,-18.9831008911133
Cnidoscolus hamosus,-40.7402992248535,-18.9831008911133
Cnidoscolus hamosus,-40.611400604248,-18.6149997711182
Cnidoscolus hamosus,-40.7402992248535,-18.9831008911133
Cnidoscolus hamosus,-41.504009,-16.576158
Cnidoscolus hamosus,-41.5032997131348,-16.5617008209229
Cnidoscolus hamosus,-41.5032997131348,-16.5617008209229
Cnidoscolus hamosus,-41.486111,-16.567222
Cnidoscolus hamosus,-41.488888,-16.564444
Cnidoscolus hamosus,-41.486111,-16.567222
Cnidoscolus hamosus,-41.488889,-16.564444
Cnidoscolus hamosus,-41.8,-16.63
Cnidoscolus hamosus,-41.8,-16.633333
Cnidoscolus hamosus,-41.410278,-11.019722
Cnidoscolus hamosus,-42.5,-11.55
Cnidoscolus hamosus,-41.486111,-16.567222
Cnidoscolus hamosus,-41.488889,-16.564444
Cnidoscolus hamosus,-41.5032997131348,-16.5617008209229
Cnidoscolus hamosus,-41.5032997131348,-16.5617008209229
Cnidoscolus hamosus,-41.8,-16.6333333
Cnidoscolus hamosus,-40.776111,-18.9875
Cnidoscolus hamosus,-41.8,-16.633333
Cnidoscolus hamosus,-40.679167,-19.397222
Cnidoscolus hamosus,-40.998611,-17.828056
Cnidoscolus hamosus,-40.6,-19.936111
Cnidoscolus hamosus,-40.647778,-19.023056
Cnidoscolus hamosus,-40.696111,-18.994167
Cnidoscolus hamosus,-40.803889,-19.238333
Cnidoscolus hamosus,-41.432778,-18.7825
Cnidoscolus hamosus,-52.8731,-10.8339
Cnidoscolus hamosus,-52.8731,-10.8339
Cnidoscolus hamosus,-45.44222222,-18.78777778
