SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Cnidoscolus urens,-41.745611,-3.070528
Cnidoscolus urens,-41.888056,-7.695833
Cnidoscolus urens,-41.896111,-3.4175
Cnidoscolus urens,-41.468664,-2.921117
Cnidoscolus urens,-42.270556,-6.810278
Cnidoscolus urens,-41.7811012268066,-4.13166999816895
Cnidoscolus urens,-41.8960990905762,-3.41750001907349
Cnidoscolus urens,-41.8213996887207,-2.8583300113678
Cnidoscolus urens,-41.8213996887207,-2.8583300113678
Cnidoscolus urens,-42.0938987731934,-3.31889009475708
Cnidoscolus urens,-41.4668998718262,-7.07694005966187
Cnidoscolus urens,-41.7092018127441,-3.92806005477905
Cnidoscolus urens,-41.804333,-2.843361
Cnidoscolus urens,-43.045556,-6.791667
Cnidoscolus urens,-37.2429,-6.610783
Cnidoscolus urens,-43.040667,-6.788733
Cnidoscolus urens,-41.5574989318848,-3.47194004058838
Cnidoscolus urens,-41.8213996887207,-2.8583300113678
Cnidoscolus urens,-41.817798614502,-4.77111005783081
Cnidoscolus urens,-41.7766990661621,-2.90472006797791
Cnidoscolus urens,-42.8018989562988,-5.08916997909546
Cnidoscolus urens,-42.8018989562988,-5.08916997909546
Cnidoscolus urens,-46.67583333,-0.91275
Cnidoscolus urens,-46.66944444,-0.91666667
Cnidoscolus urens,-46.68213889,-0.91472222
Cnidoscolus urens,-40.4006004333496,-18.710599899292
Cnidoscolus urens,-40.4006004333496,-18.710599899292
Cnidoscolus urens,-43.859167,-15.210278
Cnidoscolus urens,-41.166667,-12.716667
Cnidoscolus urens,-39.183333,-11.583333
Cnidoscolus urens,-38.510799407959,-12.9710998535156
Cnidoscolus urens,-56.0966987609863,-15.5960998535156
Cnidoscolus urens,-41.5032997131348,-16.5617008209229
Cnidoscolus urens,-41.7092018127441,-3.92806005477905
Cnidoscolus urens,-34.922778,-6.774917
Cnidoscolus urens,-36.460444,-9.255139
Cnidoscolus urens,-36.448663,-9.235523
Cnidoscolus urens,-36.665,-7.483333
Cnidoscolus urens,-35.857139,-7.267361
Cnidoscolus urens,-34.978633,-6.493617
Cnidoscolus urens,-36.287222,-7.489167
Cnidoscolus urens,-35.2325,-7.096389
Cnidoscolus urens,-36.272222,-7.390833
Cnidoscolus urens,-34.833889,-6.981111
Cnidoscolus urens,-37.274667,-6.578306
Cnidoscolus urens,-34.863056,-7.115
Cnidoscolus urens,-35.755694,-9.069444
Cnidoscolus urens,-34.876667,-7.139444
Cnidoscolus urens,-34.863056,-7.115
Cnidoscolus urens,-34.908056,-7.515833
Cnidoscolus urens,-34.863056,-7.115
Cnidoscolus urens,-38.228056,-6.759444
Cnidoscolus urens,-34.863056,-7.115
Cnidoscolus urens,-34.863056,-7.115
Cnidoscolus urens neglectus,-36.903333,-7.479167
Cnidoscolus urens neglectus,-36.926667,-7.489167
Cnidoscolus urens,-35,-8
Cnidoscolus urens,-34.863056,-7.115
Cnidoscolus urens,-34.863056,-7.115
Cnidoscolus urens,-35.5449981689453,-6.94999980926514
Cnidoscolus urens,-35.6044006347656,-7.28082990646362
Cnidoscolus urens,-38.1502990722656,-7.30444002151489
Cnidoscolus urens,-34.8630981445312,-7.11499977111816
Cnidoscolus urens,-34.8630981445312,-7.11499977111816
Cnidoscolus urens,-35.8535995483398,-7.17082977294922
Cnidoscolus urens,-35.0147018432617,-6.76999998092651
Cnidoscolus urens,-38.228099822998,-6.7591700553894
Cnidoscolus urens,-36.8800010681152,-7.67166996002197
Cnidoscolus urens,-36.8266983032227,-7.20749998092651
Cnidoscolus urens,-37.1557998657227,-8.62306022644043
Cnidoscolus urens,-36.8460998535156,-9.04582977294922
Cnidoscolus urens,-35.7933006286621,-8.72667026519775
Cnidoscolus urens,-40.5008010864258,-9.39861011505127
Cnidoscolus urens,-35.7546997070312,-7.83305978775024
Cnidoscolus urens,-35.695833,-8.494444
Cnidoscolus urens,-32.425,-3.836111
Cnidoscolus urens,-32.425,-3.836111
Cnidoscolus urens,-36.371111,-8.145833
Cnidoscolus urens,-38.101389,-7.838333
Cnidoscolus urens,-37.69,-8.540833
Cnidoscolus urens,-35.5,-7.583333
Cnidoscolus urens,-35.201933,-5.8426
Cnidoscolus urens,-34.947778,-7.824167
Cnidoscolus urens,-37.2429,-6.610783
Cnidoscolus urens,-36.059167,-8.49
Cnidoscolus urens,-39.304167,-7.311111
Cnidoscolus urens,-38.955,-11.334722
Cnidoscolus urens,-34.839444,-7.8425
Cnidoscolus urens,-34.9082984924316,-7.51556015014648
Cnidoscolus urens,-35.0511016845703,-6.60138988494873
Cnidoscolus urens,-35.1164016723633,-7.401939868927
Cnidoscolus urens,-34.8255996704102,-7.74777984619141
Cnidoscolus urens,-37.0386009216309,-10.9089002609253
Cnidoscolus urens,-40.5110015869141,-20.6580009460449
Cnidoscolus urens,-34.8630981445312,-7.11499977111816
Cnidoscolus urens,-37.1557998657227,-8.62306022644043
Cnidoscolus urens,-37.1557998657227,-8.62306022644043
Cnidoscolus urens,-34.8810997009277,-8.05389022827148
Cnidoscolus urens,-35.0349998474121,-8.28666973114014
Cnidoscolus urens,-35.9761009216309,-8.28332996368408
Cnidoscolus urens,-35.3266983032227,-7.65693998336792
Cnidoscolus urens,-35.0349998474121,-8.28666973114014
Cnidoscolus urens,-35.2914009094238,-8.11806011199951
Cnidoscolus urens,-35.2914009094238,-8.11806011199951
Cnidoscolus urens,-35.2914009094238,-8.11806011199951
Cnidoscolus urens,-35.2914009094238,-8.11806011199951
Cnidoscolus urens,-35.2914009094238,-8.11806011199951
Cnidoscolus urens,-35.2914009094238,-8.11806011199951
Cnidoscolus urens,-35.2914009094238,-8.11806011199951
Cnidoscolus urens,-35.3266983032227,-7.65693998336792
Cnidoscolus urens,-35.6581001281738,-8.42000007629395
Cnidoscolus urens,-35.0182991027832,-8.00222015380859
Cnidoscolus urens,-34.9063987731934,-7.83416986465454
Cnidoscolus urens,-35.0349998474121,-8.28666973114014
Cnidoscolus urens,-35.2743988037109,-7.40693998336792
Cnidoscolus urens,-37.0386009216309,-10.9089002609253
Cnidoscolus urens,-35.7285995483398,-8.47027969360352
Cnidoscolus urens,-35.0182991027832,-8.00222015380859
Cnidoscolus urens,-34.8810997009277,-8.05389022827148
Cnidoscolus urens,-42.8018989562988,-5.08916997909546
Cnidoscolus urens,-42.8018989562988,-5.08916997909546
