SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Coleocephalocereus pluricostatus,-41.3664016723633,-21.0641994476318
Coleocephalocereus pluricostatus,-40.7402992248535,-18.9831008911133
Coleocephalocereus pluricostatus,-40.4006004333496,-18.710599899292
Coleocephalocereus pluricostatus,-40.611400604248,-18.6149997711182
Coleocephalocereus pluricostatus,-41.4721984863281,-19.1721992492676
Coleocephalocereus pluricostatus,-41.3950004577637,-20.789400100708
Coleocephalocereus pluricostatus,-40.156533,-16.255833
Coleocephalocereus pluricostatus,-41.4721984863281,-19.1721992492676
Coleocephalocereus pluricostatus,-41.4721984863281,-19.1721992492676
Coleocephalocereus pluricostatus,-40.127778,-16.278611
