SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Collaea speciosa,-49.6356010437012,-25.5839004516602
Collaea speciosa,-49.6356010437012,-25.5839004516602
Collaea speciosa,-49.6356010437012,-25.5839004516602
Collaea speciosa,-49.6356010437012,-25.5839004516602
Collaea speciosa,-49.6356010437012,-25.5839004516602
Collaea speciosa,-49.0553016662598,-25.3055992126465
Collaea speciosa,-49.6828002929688,-25.978099822998
Collaea speciosa,-49.2731018066406,-25.4277992248535
Collaea speciosa,-49.2731018066406,-25.4277992248535
Collaea speciosa,-49.2731018066406,-25.4277992248535
Collaea speciosa,-49.2731018066406,-25.4277992248535
Collaea speciosa,-49.2731018066406,-25.4277992248535
Collaea speciosa,-49.2731018066406,-25.4277992248535
Collaea speciosa,-49.7158012390137,-25.7696990966797
Collaea speciosa,-50.0064010620117,-25.4293994903564
Collaea speciosa,-49.7975006103516,-26.1058006286621
Collaea speciosa,-46.5800018310547,-23.3099994659424
Collaea speciosa,-68.950278,-15.181944
Collaea speciosa,-67.233333,-16.966667
Collaea speciosa,-67.916667,-16.333333
Collaea speciosa,-69,-14.75
Collaea speciosa,-68.116667,-16.116667
Collaea speciosa,-68.066667,-10.1
Collaea speciosa,-49.0633010864258,-25.4416999816895
Collaea speciosa,-50.1618995666504,-25.0949993133545
Collaea speciosa,-50.1618995666504,-25.0949993133545
Collaea speciosa,-49.489200592041,-27.7971992492676
Collaea speciosa,-49.489200592041,-27.7971992492676
Collaea speciosa,-41.184700012207,-20.6035995483398
Collaea speciosa,-42,-16
Collaea speciosa,-47.85,-15.866667
Collaea speciosa,-46.483333,-23.433333
Collaea speciosa,-41.833944,-20.403611
Collaea speciosa,-44.825889,-22.37875
Collaea speciosa,-44.805833,-22.363639
Collaea speciosa,-41.991481,-21.94345
Collaea speciosa,-42.531083,-22.323028
Collaea speciosa,-46.483333,-23.433333
Collaea speciosa,-41.837694,-20.489972
Collaea speciosa,-41.666667,-20.5
Collaea speciosa,-41.826944,-20.483333
Collaea speciosa,-42.874167,-22.153889
Collaea speciosa,-45.933333,-22.7
Collaea speciosa,-46.001944,-22.723056
Collaea speciosa,-49.299444,-25.066667
Collaea speciosa,-46.774444,-23.9
Collaea speciosa,-49.25,-24.166667
Collaea speciosa,-44.523056,-22.205278
Collaea speciosa,-46.564722,-21.838889
Collaea speciosa,-41.81,-20.459167
Collaea speciosa,-41.81,-20.459167
Collaea speciosa,-43.833333,-20.301944
Collaea speciosa,-42,-16
Collaea speciosa,-47.9296989440918,-15.7797002792358
Collaea speciosa,-47.9296989440918,-15.7797002792358
Collaea speciosa,-40.6591987609863,-20.3633003234863
Collaea speciosa,-44.603099822998,-21.9755992889404
Collaea speciosa,-44.1911010742188,-21.9472007751465
Collaea speciosa,-46.1446990966797,-22.7553005218506
Collaea speciosa,-46.1446990966797,-22.7553005218506
Collaea speciosa,-46.1446990966797,-22.7553005218506
Collaea speciosa,-46.1446990966797,-22.7553005218506
Collaea speciosa,-46.1446990966797,-22.7553005218506
Collaea speciosa,-44.6425018310547,-21.4874992370605
Collaea speciosa,-44.6425018310547,-21.4874992370605
Collaea speciosa,-44.6425018310547,-21.4874992370605
Collaea speciosa,-44.8699989318848,-22.283899307251
Collaea speciosa,-44.8699989318848,-22.283899307251
Collaea speciosa,-43.7449989318848,-19.513599395752
Collaea speciosa,-46.5614013671875,-21.7877998352051
Collaea speciosa,-46.5614013671875,-21.7877998352051
Collaea speciosa,-43.4152984619141,-19.959400177002
Collaea speciosa,-46.3657989501953,-20.2453002929688
Collaea speciosa,-46.3657989501953,-20.2453002929688
