SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Cololobus rupestris,-40.503889,-20.508889
Cololobus rupestris,-40.558333,-20.506944
Cololobus rupestris,-41.167778,-20.301389
Cololobus rupestris,-43.1786003112793,-22.5049991607666
Cololobus rupestris,-41.2439,-20.3683
Cololobus rupestris,-40.333056,-20.298611
Cololobus rupestris,-41.3664016723633,-21.0641994476318
Cololobus rupestris,-40.4006004333496,-18.710599899292
Cololobus rupestris,-40.3078002929688,-20.1285991668701
Cololobus rupestris,-40.3377990722656,-20.3194007873535
Cololobus rupestris,-40.3377990722656,-20.3194007873535
Cololobus rupestris,-40.6002998352051,-19.9356002807617
Cololobus rupestris,-41.575753,-19.310472
Cololobus rupestris,-40.6002998352051,-19.9356002807617
Cololobus rupestris,-41.2439002990723,-20.3682994842529
Cololobus rupestris,-40.301546,-20.299876
Cololobus rupestris,-40.530278,-19.971389
Cololobus rupestris,-40.678056,-19.814167
Cololobus rupestris,-40.530278,-19.971389
Cololobus rupestris,-40.530278,-19.971389
Cololobus rupestris,-40.681389,-19.805556
Cololobus rupestris,-40.553056,-19.9075
Cololobus rupestris,-40.530278,-19.971389
Cololobus rupestris,-40.583333,-19.948333
Cololobus rupestris,-40.589167,-19.922222
Cololobus rupestris,-40.530278,-19.971389
Cololobus rupestris,-40.800278,-18.945
Cololobus rupestris,-40.463333,-19.275833
Cololobus rupestris,-40.798611,-18.944167
Cololobus rupestris,-40.802778,-18.945833
Cololobus rupestris,-41.083611,-20.516111
Cololobus rupestris,-40.457778,-18.766944
Cololobus rupestris,-41.083611,-20.516111
Cololobus rupestris,-41.088611,-18.899444
Cololobus rupestris,-40.465139,-20.280444
Cololobus rupestris,-40.626667,-20.15
Cololobus rupestris,-41.229722,-20.303889
Cololobus rupestris,-40.533611,-19.953056
Cololobus rupestris,-40.793889,-19.918611
Cololobus rupestris,-40.55525,-20.112139
Cololobus rupestris,-40.876667,-19.231111
Cololobus rupestris,-40.369701385498,-19.8318996429443
Cololobus rupestris,-40.5297012329102,-20.1005992889404
Cololobus rupestris,-40.5297012329102,-20.1005992889404
Cololobus rupestris,-40.6002998352051,-19.9356002807617
Cololobus rupestris,-43.193333,-22.402778
Cololobus rupestris,-40.503889,-20.508889
Cololobus rupestris,-43.1786003112793,-22.5049991607666
Cololobus rupestris,-43.1786003112793,-22.5049991607666
Cololobus rupestris,-43,-22.43333333
