SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Croton floribundus,-51.0480995178223,-23.2691993713379
Croton floribundus,-50.9494018554688,-24.2082996368408
Croton floribundus,-50.4136009216309,-24.5093994140625
Croton floribundus,-47.4700012207031,-21.7099990844727
Croton floribundus,-47.4700012207031,-21.7099990844727
Croton floribundus,-47.2599983215332,-22.8199996948242
Croton floribundus,-39.0647010803223,-16.4496994018555
Croton floribundus,-47.535186,-23.368519
Croton floribundus,-47.348864,-23.121553
Croton floribundus,-46,-21.266667
Croton floribundus,-44.966667,-23.35
Croton floribundus,-48.058333,-22.829167
Croton floribundus,-48.058333,-22.829167
Croton floribundus,-48.058333,-22.829167
Croton floribundus,-47.666667,-23.4
Croton floribundus,-51.183333,-22.983333
Croton floribundus,-48.058333,-22.829167
Croton floribundus,-46.25,-23.25
Croton floribundus,-46.25,-23.25
Croton floribundus,-48.964444,-23.202778
Croton floribundus,-50.863056,-22.626944
Croton floribundus,-48.042222,-22.265
Croton floribundus,-46.25,-21.416667
Croton floribundus,-48.587417,-23.711056
Croton floribundus,-48.587278,-23.711042
Croton floribundus,-48.58725,-23.711039
Croton floribundus,-48.586583,-23.710972
Croton floribundus,-46.931944,-22.956667
Croton floribundus,-46.931944,-22.956667
Croton floribundus,-46.931944,-22.956667
Croton floribundus,-46.931944,-22.956667
Croton floribundus,-46.931944,-22.956667
Croton floribundus,-46.866667,-23.183333
Croton floribundus,-46.866667,-23.183333
Croton floribundus,-46.866667,-23.183333
Croton floribundus,-45.033333,-23.516667
Croton floribundus,-47.666667,-22.133333
Croton floribundus,-47.550233,-23.3923
Croton floribundus,-46.916667,-22.833333
Croton floribundus,-49.700556,-22.409167
Croton floribundus,-46.932778,-22.836944
Croton floribundus,-49.700278,-22.409444
Croton floribundus,-49.723611,-22.4225
Croton floribundus,-49.726389,-22.395
Croton floribundus,-46.9,-22.866667
Croton floribundus,-46.916667,-22.816667
Croton floribundus,-46.933333,-22.783333
Croton floribundus,-46.916667,-22.816667
Croton floribundus,-46.916667,-22.816667
Croton floribundus,-49.388889,-22.670556
Croton floribundus,-49.463056,-24.113333
Croton floribundus,-46.808333,-22.7575
Croton floribundus,-51.954611,-24.370139
Croton floribundus,-52.743889,-22.762169
Croton floribundus,-46.564722,-21.838889
Croton floribundus,-46.564722,-21.838889
Croton floribundus,-45.220833,-22.966111
Croton floribundus,-46.974722,-23.036111
Croton floribundus,-45.9375,-23.716667
Croton floribundus,-45.9375,-23.716667
Croton floribundus,-48.080556,-23.523889
Croton floribundus,-48.080556,-23.523889
Croton floribundus,-48.080556,-23.523889
Croton floribundus,-48.080556,-23.523889
Croton floribundus,-49.5,-22.25
Croton floribundus,-46.932778,-22.836944
Croton floribundus,-46.932778,-22.836944
Croton floribundus,-49.215,-24.299167
Croton floribundus,-54.8222007751465,-22.6341991424561
Croton floribundus,-46.8539009094238,-20.343900680542
Croton floribundus,-46.3675003051758,-21.3264007568359
Croton floribundus,-46.3675003051758,-21.3264007568359
Croton floribundus,-46.3675003051758,-21.3264007568359
Croton floribundus,-48.2771987915039,-18.9186000823975
Croton floribundus,-51.1627998352051,-23.3103008270264
Croton floribundus,-51.1627998352051,-23.3103008270264
Croton floribundus,-51.1627998352051,-23.3103008270264
Croton floribundus,-51.1627998352051,-23.3103008270264
Croton floribundus,-51.1627998352051,-23.3103008270264
Croton floribundus,-51.9385986328125,-23.4253005981445
Croton floribundus,-51.9385986328125,-23.4253005981445
Croton floribundus,-50.4099998474121,-22.6599998474121
Croton floribundus,-46.5499992370605,-23.1100006103516
Croton floribundus,-49.060001373291,-22.3099994659424
Croton floribundus,-48.1199989318848,-22.2800006866455
Croton floribundus,-48.5900001525879,-23.7900009155273
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-47.060001373291,-22.8999996185303
Croton floribundus,-50.3800010681152,-22.7399997711182
Croton floribundus,-50.3800010681152,-22.7399997711182
Croton floribundus,-46.9099998474121,-23.6000003814697
Croton floribundus,-45.189998626709,-22.8099994659424
Croton floribundus,-47.7099990844727,-22.4300003051758
Croton floribundus,-47.7099990844727,-22.4300003051758
Croton floribundus,-49.3400001525879,-24.1100006103516
