SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Cyperus odoratus,-41.343906,-3.039722
Cyperus odoratus,-41.895833,-3.417778
Cyperus odoratus,-41.8669013977051,-3.17499995231628
Cyperus odoratus,-41.8213996887207,-2.8583300113678
Cyperus odoratus,-54.295555,-24.068888
Cyperus odoratus,-49.4103012084961,-25.5930995941162
Cyperus odoratus,-49.4103012084961,-25.5930995941162
Cyperus odoratus,-49.0553016662598,-25.3055992126465
Cyperus odoratus,-53.614200592041,-25.4792003631592
Cyperus odoratus,-49.2731018066406,-25.4277992248535
Cyperus odoratus,-49.2731018066406,-25.4277992248535
Cyperus odoratus,-49.2731018066406,-25.4277992248535
Cyperus odoratus,-49.2731018066406,-25.4277992248535
Cyperus odoratus,-49.2731018066406,-25.4277992248535
Cyperus odoratus,-49.2731018066406,-25.4277992248535
Cyperus odoratus,-49.2731018066406,-25.4277992248535
Cyperus odoratus,-49.2731018066406,-25.4277992248535
Cyperus odoratus,-49.2731018066406,-25.4277992248535
Cyperus odoratus,-49.2731018066406,-25.4277992248535
Cyperus odoratus,-49.3081016540527,-25.6574993133545
Cyperus odoratus,-49.326099395752,-25.7789001464844
Cyperus odoratus,-48.5092010498047,-25.5200004577637
Cyperus odoratus,-48.6161003112793,-26.1168994903564
Cyperus odoratus,-58.216667,6.483333
Cyperus odoratus,-54,2.883333
Cyperus odoratus,-59.833333,2.75
Cyperus odoratus,-58.4,-30.533333
Cyperus odoratus,-60.966667,9.5
Cyperus odoratus,-57.583333,-25.6
Cyperus odoratus,-58.916667,3.883333
Cyperus odoratus,-53.783333,5.666667
Cyperus odoratus,-39.716667,-10.666667
Cyperus odoratus,-39.716667,-10.666667
Cyperus odoratus,-41.616667,-13.516667
Cyperus odoratus,-41.616667,-13.516667
Cyperus odoratus,-52.083333,4.583333
Cyperus odoratus,-52.083333,4.583333
Cyperus odoratus,-66.116667,-11.033333
Cyperus odoratus,-58.966667,2.95
Cyperus odoratus,-39.151944,-12.193889
Cyperus odoratus,-54.496194,-27.879389
Cyperus odoratus,-51.069583,-29.703067
Cyperus odoratus,-54.651806,-28.405417
Cyperus odoratus,-50.9919013977051,-29.9444007873535
Cyperus odoratus,-51.1305999755859,-29.6783008575439
Cyperus odoratus,-51.2299995422363,-30.0331001281738
Cyperus odoratus,-51.2299995422363,-30.0331001281738
Cyperus odoratus,-51.2299995422363,-30.0331001281738
Cyperus odoratus,-52.0985984802246,-32.0349998474121
Cyperus odoratus,-50.5196990966797,-29.8174991607666
Cyperus odoratus,-51.7181015014648,-29.9433002471924
Cyperus odoratus,-51.0233001708984,-30.0811004638672
Cyperus odoratus,-47.9199981689453,-25.0100002288818
Cyperus odoratus,-46.68166667,-0.91416667
Cyperus odoratus,-46.65547222,-0.86566667
Cyperus odoratus,-50.01425,1.69188889
Cyperus odoratus,-50.00938889,1.64577778
Cyperus odoratus,-57.6,-28
Cyperus odoratus,-53.9,-26.467
Cyperus odoratus,-47.943333,-15.896111
Cyperus odoratus,-45.75,-2.916667
Cyperus odoratus,-61.208139,0.988306
Cyperus odoratus,-39.716667,-10.666667
Cyperus odoratus,-41.616667,-13.516667
Cyperus odoratus,-42.278611,-22.640556
Cyperus odoratus,-57.583333,-19.2
Cyperus odoratus,-72.6699981689453,-7.63111019134521
Cyperus odoratus,-47.9296989440918,-15.7797002792358
Cyperus odoratus,-56.6227989196777,-16.2567005157471
Cyperus odoratus,-56.6227989196777,-16.2567005157471
Cyperus odoratus,-56.6227989196777,-16.2567005157471
Cyperus odoratus,-56.6227989196777,-16.2567005157471
Cyperus odoratus,-57.6533012390137,-19.0091991424561
Cyperus odoratus,-51.4188995361328,-20.3672008514404
Cyperus odoratus,-43.3502998352051,-21.7642002105713
Cyperus odoratus,-51.1627998352051,-23.3103008270264
Cyperus odoratus,-43.1035995483398,-22.88330078125
Cyperus odoratus,-47.060001373291,-22.8999996185303
Cyperus odoratus,-47.060001373291,-22.8999996185303
Cyperus odoratus,-47.060001373291,-22.8999996185303
Cyperus odoratus,-47.060001373291,-22.8999996185303
Cyperus odoratus,-47.060001373291,-22.8999996185303
Cyperus odoratus,-47.060001373291,-22.8999996185303
Cyperus odoratus,-49.8699989318848,-22.9699993133545
Cyperus odoratus,-50.2200012207031,-20.6399993896484
Cyperus odoratus,-47.4199981689453,-21.9899997711182
Cyperus odoratus,-47.4199981689453,-21.9899997711182
Cyperus odoratus,-50.5299987792969,-19.9500007629395
Cyperus odoratus,-48.3600006103516,-24.0900001525879
Cyperus odoratus,-35.749722,-6.683333
Cyperus odoratus,-37.439722,-7.183333
Cyperus odoratus,-35.142056,-6.741861
Cyperus odoratus,-36.847778,-8.079444
Cyperus odoratus,-37.097778,-6.458333
Cyperus odoratus,-34.863056,-7.115
Cyperus odoratus,-34.863056,-7.115
Cyperus odoratus,-35.7075004577637,-7.54527997970581
Cyperus odoratus,-37.2799987792969,-7.02443981170654
Cyperus odoratus,-37.801700592041,-6.77027988433838
Cyperus odoratus,-35.6288986206055,-6.54333019256592
Cyperus odoratus,-36.823333,-7.888889
Cyperus odoratus,-36.823333,-7.888889
Cyperus odoratus,-38.228056,-6.759167
Cyperus odoratus,-35.381111,-6.853056
Cyperus odoratus,-36.135,-7.481667
Cyperus odoratus,-36.135,-7.481667
Cyperus odoratus,-37.28,-7.024444
Cyperus odoratus,-38.555278,-6.890278
Cyperus odoratus,-36.823333,-7.888889
Cyperus odoratus,-39.1192016601562,-8.07417011260986
Cyperus odoratus,-34.8810997009277,-8.05389022827148
Cyperus odoratus,-43.7075004577637,-22.7439002990723
Cyperus odoratus,-42.927778,-16.541944
Cyperus odoratus,-42.6925,-19.988056
Cyperus odoratus,-41.326944,-20.614167
Cyperus odoratus,-72.6699981689453,-7.63111019134521
Cyperus odoratus,-39.2463989257812,-12.1511001586914
Cyperus odoratus,-38.9667015075684,-12.2666997909546
Cyperus odoratus,-39.0752983093262,-15.2932996749878
Cyperus odoratus,-58.353099822998,-15.4710998535156
Cyperus odoratus,-42.8191986083984,-14.9260997772217
Cyperus odoratus,-52.3830986022949,-24.0456008911133
Cyperus odoratus,-49.2731018066406,-25.4277992248535
Cyperus odoratus,-49.7057991027832,-24.2511005401611
Cyperus odoratus,-48.834400177002,-25.476900100708
Cyperus odoratus,-53.8788986206055,-23.7618999481201
Cyperus odoratus,-53.8788986206055,-23.7618999481201
Cyperus odoratus,-50.2056007385254,-30.1811008453369
Cyperus odoratus,-50.9211006164551,-31.1068992614746
Cyperus odoratus,-47.060001373291,-22.8999996185303
Cyperus odoratus squarrosus,-94.136,30.841836
Cyperus odoratus,-36.120278,-8.843333
Cyperus odoratus,-54.961389,-30.689722
Cyperus odoratus,-50.149167,-25.189167
Cyperus odoratus,-47.9199981689453,-25.0100002288818
Cyperus odoratus,-50.3828010559082,-25.8742008209229
Cyperus odoratus,-53.614200592041,-25.4792003631592
Cyperus odoratus,-49.6356010437012,-25.5839004516602
Cyperus odoratus,-49.4103012084961,-25.5930995941162
Cyperus odoratus,-52.0985984802246,-32.0349998474121
Cyperus cf. odoratus,-64.655,-9.3608333
Cyperus odoratus,-65.366666,-9.5980555
Cyperus odoratus,-64.796111,-9.4433333
Cyperus odoratus,-65.049166,-9.5913888
Cyperus odoratus,-39.70833,-11.53028
Cyperus odoratus,-39.05,-12.26667
Cyperus odoratus,-46.82417,-13.81194
Cyperus odoratus,-48.533333,-18.016666
Cyperus odoratus,-49.01667,-11.11667
Cyperus odoratus,-48.399166,-6.0983333
Cyperus odoratus,-47.454166,-7.3275
Cyperus odoratus,-39.2463989257812,-12.1511001586914
Cyperus odoratus,-47.9296989440918,-15.7797002792358
Cyperus odoratus,-61.938056,-10.884167
Cyperus odoratus,-61.9517,-10.8853
