SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Cyperus pohlii,-41.916667,-13.533333
Cyperus pohlii,-41.35,-13.016667
Cyperus pohlii,-41.95,-13.55
Cyperus pohlii,-41.95,-13.55
Cyperus pohlii,-41.216667,-13
Cyperus pohlii,-41.35,-12.983333
Cyperus pohlii,-41.4,-13.016667
Cyperus pohlii,-48.696528,-26.745944
Cyperus pohlii,-50.4166984558105,-28.6678009033203
Cyperus pohlii,-50.4166984558105,-28.6678009033203
Cyperus pohlii,-50.4166984558105,-28.6678009033203
Cyperus pohlii,-51.3478012084961,-29.2250003814697
Cyperus pohlii,-51.3478012084961,-29.2250003814697
Cyperus pohlii,-51.3478012084961,-29.2250003814697
Cyperus pohlii,-51.1305999755859,-29.6783008575439
Cyperus pohlii,-52.0985984802246,-32.0349998474121
Cyperus pohlii,-53.8069000244141,-29.6842002868652
Cyperus pohlii,-50.5835990905762,-29.4480991363525
Cyperus pohlii,-50.5835990905762,-29.4480991363525
Cyperus pohlii,-50.5835990905762,-29.4480991363525
Cyperus pohlii,-49.7268981933594,-29.3353004455566
Cyperus pohlii,-50.9338989257812,-28.5121994018555
Cyperus pohlii,-50.9338989257812,-28.5121994018555
Cyperus pohlii,-50.9338989257812,-28.5121994018555
Cyperus pohlii,-50.9338989257812,-28.5121994018555
Cyperus pohlii,-50.9338989257812,-28.5121994018555
Cyperus pohlii,-49.489200592041,-27.7971992492676
Cyperus pohlii,-48.5491981506348,-27.596700668335
Cyperus pohlii,-48.5491981506348,-27.596700668335
Cyperus pohlii,-50.326099395752,-27.8160991668701
Cyperus pohlii,-50.326099395752,-27.8160991668701
Cyperus pohlii,-50.326099395752,-27.8160991668701
Cyperus pohlii,-48.6380996704102,-26.2432994842529
Cyperus pohlii,-49.3558006286621,-27.3918991088867
Cyperus pohlii,-41.184700012207,-20.6035995483398
Cyperus pohlii,-41.3664016723633,-21.0641994476318
Cyperus pohlii,-40.4006004333496,-18.710599899292
Cyperus pohlii,-40.611400604248,-18.6149997711182
Cyperus pohlii,-42.394019,-13.975756
Cyperus pohlii,-47.575933,-23.489392
