SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Cyrtocymura scorpioides,-48.9911003112793,-24.6571998596191
Cyrtocymura scorpioides,-54.5881004333496,-25.5478000640869
Cyrtocymura scorpioides,-48.3288993835449,-25.3066997528076
Cyrtocymura scorpioides,-48.511100769043,-25.6735992431641
Cyrtocymura scorpioides,-48.5746994018555,-25.8827991485596
Cyrtocymura scorpioides,-46.79036111,-1.16102778
Cyrtocymura scorpioides,-46.99066667,-1.22327778
Cyrtocymura scorpioides,-46.61152778,-1.26177778
Cyrtocymura scorpioides,-48.5043983459473,-1.4558299779892
Cyrtocymura scorpioides,-40.4006004333496,-18.710599899292
Cyrtocymura scorpioides,-41.184700012207,-20.6035995483398
Cyrtocymura scorpioides,-40.0722007751465,-19.3910999298096
Cyrtocymura scorpioides,-39.8588981628418,-18.716100692749
Cyrtocymura scorpioides,-39.8588981628418,-18.716100692749
Cyrtocymura scorpioides,-58.209444,-31.874167
Cyrtocymura scorpioides,-49,-24.6667
Cyrtocymura scorpioides,-47.875303,-23.392297
Cyrtocymura scorpioides,-47.720967,-23.383744
Cyrtocymura scorpioides,-43.51,-19.210833
Cyrtocymura scorpioides,-43.577222,-19.291944
Cyrtocymura scorpioides,-43.655,-20.516389
Cyrtocymura scorpioides,-48.475556,-27.576667
Cyrtocymura scorpioides,-48.89625,-25.963889
Cyrtocymura scorpioides,-47.999722,-24.067778
Cyrtocymura scorpioides,-40.793056,-21.103611
Cyrtocymura scorpioides,-58.209444,-31.874167
Cyrtocymura scorpioides,-47.564778,-23.409833
Cyrtocymura scorpioides,-46.808333,-22.7575
Cyrtocymura scorpioides,-43.561972,-19.287222
Cyrtocymura scorpioides,-57.579139,-19.174111
Cyrtocymura scorpioides,-47.560001373291,-22.9200000762939
Cyrtocymura scorpioides,-47.560001373291,-22.9200000762939
Cyrtocymura scorpioides,-36.665,-7.483333
Cyrtocymura scorpioides,-35.430706,-5.590275
Cyrtocymura scorpioides,-37.130556,-7.785278
Cyrtocymura scorpioides,-34.824444,-7.604444
Cyrtocymura scorpioides,-35.715,-6.970833
Cyrtocymura scorpioides,-35.190861,-8.549722
Cyrtocymura scorpioides,-38.5863990783691,-7.21500015258789
Cyrtocymura scorpioides,-35.7933006286621,-8.72667026519775
Cyrtocymura scorpioides,-35.7933006286621,-8.72667026519775
Cyrtocymura scorpioides,-34.951111,-8.013444
Cyrtocymura scorpioides,-44.3180999755859,-23.0067005157471
Cyrtocymura scorpioides,-43.8255996704102,-22.4699993133545
Cyrtocymura scorpioides,-43.451099395752,-22.7591991424561
Cyrtocymura scorpioides,-48.89625,-25.963889
Cyrtocymura scorpioides,-47.890917,-24.797722
Cyrtocymura scorpioides,-48.780278,-26.100278
Cyrtocymura scorpioides,-53.943528,-23.652333
Cyrtocymura scorpioides,-48.497,-26.2211
Cyrtocymura scorpioides,-53.098556,-22.928139
Cyrtocymura scorpioides,-48.316667,-25.516667
Cyrtocymura scorpioides,-46.858889,-22.793056
Cyrtocymura scorpioides,-50.387222,-24.584444
Cyrtocymura scorpioides,-50.093333,-29.883889
Cyrtocymura scorpioides,-42.342222,-19.255556
Cyrtocymura scorpioides,-48.677778,-25.312778
Cyrtocymura scorpioides,-43.413333,-20.223889
Cyrtocymura scorpioides,-48.291044,-25.539158
Cyrtocymura scorpioides,-49.371667,-26.319722
Cyrtocymura scorpioides,-48.432056,-25.641389
Cyrtocymura scorpioides,-43.275222,-22.417417
Cyrtocymura scorpioides,-39.2658004760742,-17.7318992614746
Cyrtocymura scorpioides,-39.7827987670898,-16.5839004516602
Cyrtocymura scorpioides,-39.0494003295898,-14.7889003753662
Cyrtocymura scorpioides,-39.5532989501953,-16.5750007629395
Cyrtocymura scorpioides,-39.5311012268066,-17.0391998291016
Cyrtocymura scorpioides,-41.3708000183105,-13.0052995681763
Cyrtocymura scorpioides,-39.0647010803223,-16.4496994018555
Cyrtocymura scorpioides,-39.2207984924316,-17.341100692749
Cyrtocymura scorpioides,-39.0247001647949,-16.2780990600586
Cyrtocymura scorpioides,-39.5233001708984,-12.771900177002
Cyrtocymura scorpioides,-39.0752983093262,-15.2932996749878
Cyrtocymura scorpioides,-39.0752983093262,-15.2932996749878
Cyrtocymura scorpioides,-39.2844009399414,-14.5930995941162
Cyrtocymura scorpioides,-41.5106010437012,-20.2339000701904
Cyrtocymura scorpioides,-41.1347007751465,-20.3397006988525
Cyrtocymura scorpioides,-40.3377990722656,-20.3194007873535
Cyrtocymura scorpioides,-55.7872009277344,-20.4710998535156
Cyrtocymura scorpioides,-55.7256011962891,-22.5361003875732
Cyrtocymura scorpioides,-57.8824996948242,-21.6989002227783
Cyrtocymura scorpioides,-43.937801361084,-19.9207992553711
Cyrtocymura scorpioides,-41.5168991088867,-17.3120002746582
Cyrtocymura scorpioides,-48.3883018493652,-19.9146995544434
Cyrtocymura scorpioides,-41.9494018554688,-18.8511009216309
Cyrtocymura scorpioides,-43.801399230957,-20.2532997131348
Cyrtocymura scorpioides,-43.7449989318848,-19.513599395752
Cyrtocymura scorpioides,-43.7449989318848,-19.513599395752
Cyrtocymura scorpioides,-41.0032997131348,-16.4339008331299
Cyrtocymura scorpioides,-43.5080986022949,-20.2875003814697
Cyrtocymura scorpioides,-44.0950012207031,-22.1494007110596
Cyrtocymura scorpioides,-48.7118988037109,-25.4286003112793
Cyrtocymura scorpioides,-48.7118988037109,-25.4286003112793
Cyrtocymura scorpioides,-48.7118988037109,-25.4286003112793
Cyrtocymura scorpioides,-49.5283012390137,-25.4585990905762
Cyrtocymura scorpioides,-52.8596992492676,-22.656400680542
Cyrtocymura scorpioides,-54.5881004333496,-25.5478000640869
Cyrtocymura scorpioides,-54.5881004333496,-25.5478000640869
Cyrtocymura scorpioides,-48.3288993835449,-25.3066997528076
Cyrtocymura scorpioides,-48.5746994018555,-25.8827991485596
Cyrtocymura scorpioides,-48.5746994018555,-25.8827991485596
Cyrtocymura scorpioides,-48.5746994018555,-25.8827991485596
Cyrtocymura scorpioides,-48.5428009033203,-25.8174991607666
Cyrtocymura scorpioides,-48.5428009033203,-25.8174991607666
Cyrtocymura scorpioides,-48.5428009033203,-25.8174991607666
Cyrtocymura scorpioides,-48.5428009033203,-25.8174991607666
Cyrtocymura scorpioides,-48.5428009033203,-25.8174991607666
Cyrtocymura scorpioides,-48.834400177002,-25.476900100708
Cyrtocymura scorpioides,-48.834400177002,-25.476900100708
Cyrtocymura scorpioides,-48.834400177002,-25.476900100708
Cyrtocymura scorpioides,-48.5092010498047,-25.5200004577637
Cyrtocymura scorpioides,-48.5092010498047,-25.5200004577637
Cyrtocymura scorpioides,-48.5092010498047,-25.5200004577637
Cyrtocymura scorpioides,-48.5092010498047,-25.5200004577637
Cyrtocymura scorpioides,-48.5092010498047,-25.5200004577637
Cyrtocymura scorpioides,-51.6596984863281,-25.6956005096436
Cyrtocymura scorpioides,-50.6156005859375,-24.3239002227783
Cyrtocymura scorpioides,-52.8760986328125,-23.8705997467041
Cyrtocymura scorpioides,-44.7131004333496,-23.2178001403809
Cyrtocymura scorpioides,-44.7131004333496,-23.2178001403809
Cyrtocymura scorpioides,-43.2075004577637,-22.9027996063232
Cyrtocymura scorpioides,-43.2075004577637,-22.9027996063232
Cyrtocymura scorpioides,-43.2075004577637,-22.9027996063232
Cyrtocymura scorpioides,-42.9655990600586,-22.4122009277344
Cyrtocymura scorpioides,-53.75830078125,-27.3710994720459
Cyrtocymura scorpioides,-49.7268981933594,-29.3353004455566
Cyrtocymura scorpioides,-49.7268981933594,-29.3353004455566
Cyrtocymura scorpioides,-48.6347007751465,-26.9906005859375
Cyrtocymura scorpioides,-49.0661010742188,-26.9193992614746
Cyrtocymura scorpioides,-48.5491981506348,-27.596700668335
Cyrtocymura scorpioides,-48.5491981506348,-27.596700668335
Cyrtocymura scorpioides,-48.5491981506348,-27.596700668335
Cyrtocymura scorpioides,-49.0353012084961,-28.3311004638672
Cyrtocymura scorpioides,-48.6618995666504,-26.9078006744385
Cyrtocymura scorpioides,-48.611400604248,-27.0902996063232
Cyrtocymura scorpioides,-47.8199996948242,-22.25
Cyrtocymura scorpioides,-47.2900009155273,-23.2600002288818
Cyrtocymura scorpioides,-46.8800010681152,-23.1800003051758
Cyrtocymura scorpioides,-47.8400001525879,-24.4799995422363
Cyrtocymura scorpioides,-46.5299987792969,-23.6599998474121
Cyrtocymura scorpioides,-46.6300010681152,-23.5400009155273
Cyrtocymura scorpioides,-46.6300010681152,-23.5400009155273
Cyrtocymura scorpioides,-45.0699996948242,-23.4300003051758
Cyrtocymura scorpioides,-45.0699996948242,-23.4300003051758
Cyrtocymura scorpioides,-46.9700012207031,-23.0300006866455
