SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Cyrtopodium glutiniferum,-40.7402992248535,-18.9831008911133
Cyrtopodium glutiniferum,-40.4006004333496,-18.710599899292
Cyrtopodium glutiniferum,-41.3664016723633,-21.0641994476318
Cyrtopodium glutiniferum,-40.611400604248,-18.6149997711182
Cyrtopodium glutiniferum,-51.9949989318848,-6.64472007751465
Cyrtopodium glutiniferum,-43.937801361084,-19.9207992553711
Cyrtopodium glutiniferum,-43.2075004577637,-22.9027996063232
Cyrtopodium glutiniferum,-43.179722,-22.958611
Cyrtopodium glutiniferum,-41.3664016723633,-21.0641994476318
Cyrtopodium glutiniferum,-42.8819007873535,-20.7539005279541
Cyrtopodium glutiniferum,-41.5358009338379,-20.3458003997803
Cyrtopodium glutiniferum,-41.5358009338379,-20.3458003997803
Cyrtopodium glutiniferum,-41.3664016723633,-21.0641994476318
Cyrtopodium glutiniferum,-40.7461013793945,-20.040599822998
Cyrtopodium glutiniferum,-40.7461013793945,-20.040599822998
Cyrtopodium glutiniferum,-40.3078002929688,-20.1285991668701
Cyrtopodium glutiniferum,0,-21.346111
Cyrtopodium glutiniferum,0,-20.766667
Cyrtopodium glutiniferum,0,-16.025
Cyrtopodium glutiniferum,0,-16.025
Cyrtopodium glutiniferum,0,-16.02
Cyrtopodium glutiniferum,-39.9,-12.756944
Cyrtopodium glutiniferum,-42.6096992492676,-22.7085990905762
Cyrtopodium glutiniferum,-42.0080986022949,-21.9552993774414
Cyrtopodium glutiniferum,-43.793098449707,-21.8425006866455
Cyrtopodium glutiniferum,-43.8278007507324,-22.0891990661621
Cyrtopodium glutiniferum,-42.832778,-21.470278
Cyrtopodium glutiniferum,-43.8278007507324,-22.0891990661621
Cyrtopodium glutiniferum,-45.671083,-20.262778
Cyrtopodium glutiniferum,-41.260944,-17.855972
Cyrtopodium glutiniferum,-41.260944,-17.855972
Cyrtopodium glutiniferum,-43.824167,-20.175
Cyrtopodium glutiniferum,-43.346408,-18.089456
Cyrtopodium glutiniferum,-43.9925,-19.548333
Cyrtopodium glutiniferum,-43.9925,-19.548333
Cyrtopodium glutiniferum,-43.937801361084,-19.9207992553711
Cyrtopodium glutiniferum,-43.4249992370605,-19.0372009277344
Cyrtopodium glutiniferum,-42.9674987792969,-21.4596996307373
Cyrtopodium glutiniferum,-43.3502998352051,-21.7642002105713
Cyrtopodium glutiniferum,-43.8278007507324,-22.0891990661621
Cyrtopodium glutiniferum,-58.5,5.96666
Cyrtopodium glutiniferum,-66.01666,4.05
Cyrtopodium glutiniferum,-41.448056,-21.797222
Cyrtopodium glutiniferum,-41.453889,-21.792222
Cyrtopodium glutiniferum,-41.455,-21.7925
Cyrtopodium glutiniferum,-41.448056,-21.797222
Cyrtopodium glutiniferum,-41.448056,-21.797222
Cyrtopodium glutiniferum,-41.448056,-21.797222
Cyrtopodium glutiniferum,-43.2655982971191,-21.5877990722656
Cyrtopodium glutiniferum,-42.9674987792969,-21.4596996307373
Cyrtopodium glutiniferum,-43.3502998352051,-21.7642002105713
Cyrtopodium glutiniferum,-43.2075004577637,-22.9027996063232
Cyrtopodium glutiniferum,-43.4160995483398,-20.377799987793
Cyrtopodium cf. glutiniferum,-40.463333,-19.275833
Cyrtopodium glutiniferum,-40.530278,-19.971389
Cyrtopodium glutiniferum,-40.376944,-19.889444
Cyrtopodium glutiniferum,-40.530278,-19.971389
Cyrtopodium glutiniferum,-40.681389,-19.805556
Cyrtopodium glutiniferum,-40.681389,-19.805556
Cyrtopodium glutiniferum,-40.681389,-19.805556
Cyrtopodium glutiniferum,-40.553056,-19.9075
Cyrtopodium glutiniferum,-40.924167,-20.176944
Cyrtopodium glutiniferum,-40.814722,-19.897778
Cyrtopodium glutiniferum,-40.530278,-19.971389
Cyrtopodium glutiniferum,-40.731389,-19.833333
Cyrtopodium glutiniferum,-40.601944,-19.906111
Cyrtopodium glutiniferum,-40.739444,-19.760833
Cyrtopodium glutiniferum,-40.798611,-18.944167
Cyrtopodium glutiniferum,-40.934722,-19.751111
Cyrtopodium glutiniferum,-40.825833,-18.890278
Cyrtopodium glutiniferum,-40.661944,-18.974444
Cyrtopodium glutiniferum,-40.665556,-18.978056
Cyrtopodium glutiniferum,-40.463333,-19.275833
Cyrtopodium glutiniferum,-40.769444,-18.975556
Cyrtopodium glutiniferum,-40.434861,-20.106111
Cyrtopodium glutiniferum,-40.558611,-19.343611
Cyrtopodium glutiniferum,-40.664694,-18.977639
Cyrtopodium glutiniferum,-40.548333,-19.847222
Cyrtopodium glutiniferum,-40.637778,-19.911667
Cyrtopodium glutiniferum,-41.209722,-21.340278
Cyrtopodium glutiniferum,-40.739722,-19.826944
Cyrtopodium glutiniferum,-40.678056,-19.814167
Cyrtopodium glutiniferum,-40.573889,-19.936111
Cyrtopodium glutiniferum,-40.479667,-18.780528
Cyrtopodium glutiniferum,-40.718556,-19.401917
Cyrtopodium glutiniferum,-40.8075,-19.851944
Cyrtopodium glutiniferum,-40.582778,-19.950833
Cyrtopodium glutiniferum,-40.726389,-20.849167
Cyrtopodium glutiniferum,-40.701472,-19.37875
Cyrtopodium glutiniferum,-41.434444,-20.729722
