SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Dichorisandra paranaensis,-40.4006004333496,-18.710599899292
Dichorisandra paranaensis,-40.4006004333496,-18.710599899292
Dichorisandra paranaensis,-47.616667,-24.566667
Dichorisandra paranaensis,-48.35,-24.3
Dichorisandra paranaensis,-48.400278,-24.639444
Dichorisandra paranaensis,-48.400278,-24.6525
Dichorisandra paranaensis,-47.833333,-25.666667
Dichorisandra paranaensis,-47.968889,-24.0675
Dichorisandra paranaensis,-48.214167,-24.225278
Dichorisandra paranaensis,-40.616667,-22.716667
Dichorisandra paranaensis,-47.783333,-24.666667
Dichorisandra paranaensis,-40.616667,-22.716667
Dichorisandra paranaensis,-40.616667,-22.716667
Dichorisandra paranaensis,-47.683333,-24.733333
Dichorisandra paranaensis,-47.7,-24.783333
Dichorisandra paranaensis,-45.166667,-23.5
Dichorisandra paranaensis,-48.05,-24.980833
Dichorisandra paranaensis,-44.607222,-22.434444
Dichorisandra paranaensis,-44.846667,-23.356944
Dichorisandra paranaensis,-47.9,-24.608333
Dichorisandra paranaensis,-44.881667,-22.462778
Dichorisandra paranaensis,-49.160833,-24.274722
Dichorisandra paranaensis,-44.881667,-22.462778
Dichorisandra paranaensis,-48.834400177002,-25.476900100708
Dichorisandra paranaensis,-48.5092010498047,-25.5200004577637
Dichorisandra paranaensis,-48.5092010498047,-25.5200004577637
Dichorisandra paranaensis,-47.9199981689453,-25.0100002288818
Dichorisandra paranaensis,-46.9900016784668,-24.3199996948242
Dichorisandra paranaensis,-44.7700004577637,-22.5300006866455
Dichorisandra paranaensis,-48.3600006103516,-24.0900001525879
Dichorisandra paranaensis,-46.5299987792969,-23.6599998474121
Dichorisandra paranaensis,-46.5299987792969,-23.6599998474121
Dichorisandra paranaensis,-46.5299987792969,-23.6599998474121
Dichorisandra paranaensis,-47.9199981689453,-24.3799991607666
Dichorisandra paranaensis,-47.9199981689453,-24.3799991607666
Dichorisandra paranaensis,-45.0699996948242,-23.4300003051758
Dichorisandra paranaensis,-45.0699996948242,-23.4300003051758
Dichorisandra paranaensis,-45.0699996948242,-23.4300003051758
Dichorisandra paranaensis,-45.0699996948242,-23.4300003051758
Dichorisandra paranaensis,-45.0699996948242,-23.4300003051758
Dichorisandra paranaensis,-45.0699996948242,-23.4300003051758
Dichorisandra paranaensis,-45.0699996948242,-23.4300003051758
Dichorisandra paranaensis,-45.0699996948242,-23.4300003051758
Dichorisandra paranaensis,-48.75,-25.5
Dichorisandra paranaensis,-44.493611,-23.047778
Dichorisandra paranaensis,-43.8981018066406,-22.6291999816895
Dichorisandra paranaensis,-48.534917,-25.584861
Dichorisandra paranaensis,-48.695139,-24.852778
Dichorisandra paranaensis,-48.929889,-25.450556
Dichorisandra paranaensis,-48.929889,-25.450556
Dichorisandra paranaensis,-50.76,-23.76
Dichorisandra paranaensis,-50.4,-23.76
Dichorisandra paranaensis,-48.898861,-25.331778
Dichorisandra paranaensis,-51.523056,-24.698333
Dichorisandra paranaensis,-48.612306,-26.173833
Dichorisandra paranaënsis,-48.536,-25.419306
Dichorisandra paranaënsis,-48.708,-24.853056
Dichorisandra paranaënsis,-48.524861,-25.439278
Dichorisandra paranaensis,-48.834400177002,-25.476900100708
Dichorisandra paranaensis,-48.5092010498047,-25.5200004577637
Dichorisandra paranaensis,-48.5092010498047,-25.5200004577637
Dichorisandra paranaensis,-48.5092010498047,-25.5200004577637
Dichorisandra paranaensis,-48.5092010498047,-25.5200004577637
Dichorisandra paranaensis,-49.0769004821777,-25.3656005859375
Dichorisandra paranaensis,-48.25,-25.416667
Dichorisandra paranaensis,-48.333333,-25.283333
Dichorisandra paranaensis,-50.7,-24.033333
Dichorisandra paranaensis,-49.378611,-26.250556
Dichorisandra paranaensis,-48.666667,-25.316667
Dichorisandra paranaensis,-48.800833,-25.6475
Dichorisandra paranaensis,-48.7118988037109,-25.4286003112793
Dichorisandra paranaensis,-50.6156005859375,-24.3239002227783
Dichorisandra paranaensis,-48.834400177002,-25.476900100708
Dichorisandra paranaensis,-49.0769004821777,-25.3656005859375
Dichorisandra paranaensis,-48.834400177002,-25.476900100708
Dichorisandra paranaensis,-48.834400177002,-25.476900100708
Dichorisandra paranaensis,-48.3288993835449,-25.3066997528076
Dichorisandra paranaensis,-51.8180999755859,-23.9799995422363
Dichorisandra paranaensis,-48.5092010498047,-25.5200004577637
Dichorisandra paranaensis,-51.1627998352051,-23.3103008270264
Dichorisandra paranaensis,-48.5092010498047,-25.5200004577637
Dichorisandra paranaensis,-48.5092010498047,-25.5200004577637
Dichorisandra paranaensis,-48.5092010498047,-25.5200004577637
Dichorisandra paranaensis,-51.9791984558105,-23.9160995483398
Dichorisandra paranaensis,-51.9791984558105,-23.9160995483398
Dichorisandra paranaensis,-48.834400177002,-25.476900100708
Dichorisandra paranaensis,-51.0971984863281,-23.7233009338379
Dichorisandra paranaensis,-49.9496994018555,-23.778299331665
Dichorisandra paranaensis,-48.3288993835449,-25.3066997528076
Dichorisandra paranaensis,-48.3288993835449,-25.3066997528076
Dichorisandra paranaensis,-48.6161003112793,-26.1168994903564
Dichorisandra paranaensis,-48.6161003112793,-26.1168994903564
Dichorisandra paranaensis,-49.0769004821777,-25.3656005859375
Dichorisandra paranaensis,-48.834400177002,-25.476900100708
Dichorisandra paranaensis,-48.3288993835449,-25.3066997528076
Dichorisandra paranaensis,-47.885,-24.608333
Dichorisandra paranaensis,-48.080556,-24.235556
Dichorisandra paranaensis,-48.080556,-24.235556
Dichorisandra paranaensis,-46.941722,-23.824667
Dichorisandra paranaensis,-46.9900016784668,-24.3199996948242
Dichorisandra paranaensis,-47.9199981689453,-24.3799991607666
Dichorisandra paranaensis,-45.0699996948242,-23.4300003051758
Dichorisandra paranaensis,-47.8825,-24.608333
Dichorisandra paranaensis,-49.1439,-24.3178
Dichorisandra paranaensis,-45.0711,-23.4339
Dichorisandra paranaensis,-40.5297012329102,-20.1005992889404
Dichorisandra paranaënsis,-49.0769004821777,-25.3656005859375
Dichorisandra paranaënsis,-48.834400177002,-25.476900100708
Dichorisandra paranaënsis,-51.9791984558105,-23.9160995483398
Dichorisandra paranaensis,-51.15,-23.883333
