SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Dioscorea campestris,-48.2,-14.35
Dioscorea campestris,-50.815601348877,-29.3656005859375
Dioscorea campestris,-51.1794013977051,-29.1681003570557
Dioscorea campestris,-50.326099395752,-27.8160991668701
Dioscorea campestris,-40.7402992248535,-18.9831008911133
Dioscorea campestris,-40.7402992248535,-18.9831008911133
Dioscorea campestris,-40.611400604248,-18.6149997711182
Dioscorea campestris,-52.1667,-25.3667
Dioscorea campestris,-48.8167,-25.4667
Dioscorea campestris,-35.726389,-6.093889
Dioscorea campestris,-46.331389,-22.892778
Dioscorea campestris,-55.320619,-23.118472
Dioscorea campestris,-48.9592018127441,-15.852499961853
Dioscorea campestris,-56.0966987609863,-15.5960998535156
Dioscorea campestris,-46.1446990966797,-22.7553005218506
Dioscorea campestris,-46.3657989501953,-20.2453002929688
Dioscorea campestris,-46.5499992370605,-23.1100006103516
Dioscorea campestris,-35.142056,-6.741861
Dioscorea campestris,-37.004333,-7.47675
Dioscorea campestris,-40.213222,-14.327389
Dioscorea campestris,-35.424167,-7.124167
Dioscorea campestris,-40.209083,-14.330583
Dioscorea campestris,-40.213222,-14.327389
Dioscorea campestris,-37.004333,-7.47675
Dioscorea campestris,-43.9,-21.716667
Dioscorea campestris,-39.8588981628418,-12.8699998855591
Dioscorea campestris,-40.749698638916,-20.6350002288818
Dioscorea campestris,-52.1263999938965,-25.3743991851807
Dioscorea campestris,-54.2557983398438,-24.0799999237061
Dioscorea campestris,-51.4580993652344,-25.395299911499
Dioscorea campestris,-49.9693984985352,-23.1606006622314
Dioscorea campestris,-48.5428009033203,-25.8174991607666
Dioscorea campestris,-48.834400177002,-25.476900100708
Dioscorea campestris,-48.834400177002,-25.476900100708
Dioscorea campestris,-48.834400177002,-25.476900100708
Dioscorea campestris,-49.2655982971191,-26.1924991607666
Dioscorea campestris,-48.316667,-14.033333
Dioscorea campestris,-52.1263999938965,-25.3743991851807
Dioscorea campestris,-53.614200592041,-25.4792003631592
Dioscorea campestris,-52.1263999938965,-25.3743991851807
Dioscorea campestris,-39.0964012145996,-8.97972011566162
Dioscorea campestris,-44.2225,-15.119444
Dioscorea campestris,-44.5633010864258,-22.4960994720459
Dioscorea campestris,-48.228333,-12.831111
Dioscorea campestris,-48.230277,-12.979444
Dioscorea campestris,-43.6744003295898,-15.3382997512817
Dioscorea campestris,-43.6744003295898,-15.3382997512817
Dioscorea campestris,-43.6744003295898,-15.3382997512817
Dioscorea campestris,-48.6347007751465,-26.9906005859375
Dioscorea campestris,-49.2655982971191,-26.1924991607666
Dioscorea campestris,-48.5491981506348,-27.596700668335
Dioscorea campestris,-48.5491981506348,-27.596700668335
Dioscorea campestris,-48.5491981506348,-27.596700668335
Dioscorea campestris,-48.5491981506348,-27.596700668335
Dioscorea campestris,-48.5491981506348,-27.596700668335
Dioscorea campestris,-48.5491981506348,-27.596700668335
Dioscorea campestris,-48.5491981506348,-27.596700668335
Dioscorea campestris,-48.5491981506348,-27.596700668335
Dioscorea campestris,-50.07418,-20.46994
Dioscorea campestris,-50.2261,-20.6439
Dioscorea campestris,-51.995278,-18.439444
Dioscorea campestris,-51.995278,-18.439444
Dioscorea campestris,-47.2869,-23.2008
Dioscorea campestris,-44.479142,-21.209419
Dioscorea campestris,-47.952296,-15.513927
Dioscorea campestris,-49.9314002990723,-17.3383007049561
Dioscorea campestris,-47.9296989440918,-15.7797002792358
Dioscorea campestris,-38.2983016967773,-7.99194002151489
Dioscorea campestris,-48.834400177002,-25.476900100708
Dioscorea campestris,-50.5802993774414,-23.9108009338379
Dioscorea campestris,-62.58,-23.6
Dioscorea campestris,-78,0.33
Dioscorea campestris,-51.4581,-25.3956
Dioscorea campestris,-48.8342,-25.4769
Dioscorea campestris,-47.9294,-15.7797
Dioscorea campestris,-47.82337,-15.7833
Dioscorea campestris,-43.8,-20.2
Dioscorea campestris,-43.56681,-18.16389
Dioscorea campestris,-40.314483,-13.795617
Dioscorea campestris,-52.1225,-25.37603
Dioscorea campestris,-44.65833,-22.358
Dioscorea campestris,-49.423889,-14.995556
Dioscorea campestris,-47.816667,-14.15
Dioscorea campestris,-40.097778,-12.732778
Dioscorea campestris,-40.0725,-12.740556
Dioscorea campestris,-42.459167,-14.138611
Dioscorea campestris,-47.828333,-15.665278
Dioscorea campestris,-44.5633010864258,-22.4960994720459
Dioscorea campestris,-44.5633010864258,-22.4960994720459
Dioscorea campestris,-44.5633010864258,-22.4960994720459
Dioscorea campestris,-44.5633010864258,-22.4960994720459
Dioscorea campestris,-44.5633010864258,-22.4960994720459
Dioscorea campestris,-43.4185981750488,-22.4286003112793
Dioscorea campestris,-41.746898651123,-21.6460990905762
Dioscorea campestris,-41.746898651123,-21.6460990905762
Dioscorea campestris,-42.9655990600586,-22.4122009277344
Dioscorea campestris,-50.5802993774414,-23.9108009338379
Dioscorea campestris,-56.7333333,-20.89
Dioscorea campestris,-40.057222,-18.908889
Dioscorea campestris,-40.179167,-6.67
Dioscorea campestris,-40.179417,-6.67025
Dioscorea campestris,-38.963194,-4.813833
Dioscorea campestris,-40.5456008911133,-3.58889007568359
Dioscorea campestris,-39.4094009399414,-7.23416996002197
Dioscorea campestris,-38.9331016540527,-4.26332998275757
Dioscorea campestris,-42.6994018554688,-9.01527976989746
