SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Doryopteris collina,-59.416667,2.816667
Doryopteris collina,-44.3586006164551,-9.07444000244141
Doryopteris collina,-44.5633010864258,-22.4960994720459
Doryopteris collina,-43.2075004577637,-22.9027996063232
Doryopteris collina,-49.4858016967773,-28.934700012207
Doryopteris collina,-48.7785987854004,-27.6881008148193
Doryopteris collina,-48.7785987854004,-27.6881008148193
Doryopteris collina,-40.7402992248535,-18.9831008911133
Doryopteris collina,-40.4006004333496,-18.710599899292
Doryopteris collina,-40.4006004333496,-18.710599899292
Doryopteris collina,-40.4006004333496,-18.710599899292
Doryopteris collina,-40.611400604248,-18.6149997711182
Doryopteris collina,-40.4006004333496,-18.710599899292
Doryopteris collina,-40.4006004333496,-18.710599899292
Doryopteris collina,-48.475556,-27.576667
Doryopteris collina,-47.666667,-22.133333
Doryopteris collina,-42.0293998718262,-20.7331008911133
Doryopteris collina,-43.3502998352051,-21.7642002105713
Doryopteris collina,-43.2075004577637,-22.9027996063232
Doryopteris collina,-46.5499992370605,-23.1100006103516
Doryopteris collina,-46.5400009155273,-22.9500007629395
Doryopteris collina,-47.8199996948242,-22.25
Doryopteris collina,-45.0699996948242,-23.4300003051758
Doryopteris collina,-35.632778,-6.820278
Doryopteris collina,-36.427101,-9.254997
Doryopteris collina,-36.665,-7.483333
Doryopteris collina,-35.841418,-8.72559
Doryopteris collina,-35.75,-8.15
Doryopteris collina,-35.783333,-8.166667
Doryopteris collina,-35.78805,-8.175267
Doryopteris collina,-36.945817,-8.502983
Doryopteris collina,-38.1016998291016,-7.83805990219116
Doryopteris collina,-36.3711013793945,-8.14583015441895
Doryopteris collina,-36.3711013793945,-8.14583015441895
Doryopteris collina,-36.3711013793945,-8.14583015441895
Doryopteris collina,-36.3711013793945,-8.14583015441895
Doryopteris collina,-60.6733016967773,2.81972002983093
Doryopteris collina,-36.3711013793945,-8.14583015441895
Doryopteris collina,-48.475561,-27.576667
Doryopteris collina,-51.48,-27.54
Doryopteris collina,-40.971944,-19.501667
Doryopteris collina,-40.456944,-18.766389
Doryopteris collina,-40.6591987609863,-20.3633003234863
Doryopteris collina,-40.3856010437012,-19.7574996948242
Doryopteris collina,-47.6136016845703,-16.7686004638672
Doryopteris collina,-55.7872009277344,-20.4710998535156
Doryopteris collina,-43.4249992370605,-19.0372009277344
Doryopteris collina,-35.4914016723633,-7.59111022949219
Doryopteris collina,-35.4914016723633,-7.59111022949219
Doryopteris collina,-48.963333,-15.710278
Doryopteris collina,-48.960333,-15.708389
Doryopteris collina,-48.701944,-25.577778
Doryopteris collina,-57.566667,-19.183333
Doryopteris collina,-39.565278,-15.391667
Doryopteris collina,-39.564722,-15.393056
Doryopteris collina,-39.716111,-13.592778
Doryopteris collina,-40.533,-20.267
Doryopteris collina,-46.37,-21.97
Doryopteris collina,-46.895944,-13.727306
Doryopteris collina,-39.4958000183105,-15.4191999435425
Doryopteris collina,-49.9021987915039,-6.06750011444092
Doryopteris collina,-43.8466987609863,-19.9855995178223
Doryopteris collina,-41.290556,-16.059167
Doryopteris collina,-49.315556,-28.617778
Doryopteris collina,-49.8328018188477,-26.8808002471924
Doryopteris collina,-29.3275,-20.521111
Doryopteris collina,-43.4160995483398,-20.377799987793
Doryopteris collina,-45.0699996948242,-23.4300003051758
Doryopteris collina,-44.88,-23.33
Doryopteris collina,-39.5719,-15.3839
Doryopteris collina,-39.5308,-17.0394
Doryopteris collina,-45.7797,-22.5544
Doryopteris collina,-36.429887,-9.241851
Doryopteris collina,-47.68,-22.12
Doryopteris collina,-46.3703,-21.975
Doryopteris collina,-36.427101,-9.254997
Doryopteris collina,-39.5653,-15.3917
Doryopteris collina,-39.5647,-15.3931
Doryopteris collina,-38.97,-12.25
Doryopteris collina,-62,-16.42
Doryopteris collina,-59.18,2.18
Doryopteris collina,-59.42,2.83
Doryopteris collina,-59.4294,2.8233
Doryopteris collina,-39.56867,-15.39817
Doryopteris collina,-41.88,-13.3
Doryopteris collina,-42.8183,-22.9194
Doryopteris collina,-44.5631,-22.4961
Doryopteris collina,-44.5631,-22.4961
