SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Doryopteris rediviva,-48.834400177002,-25.476900100708
Doryopteris rediviva,-42.5311012268066,-22.2819004058838
Doryopteris rediviva,-42.5311012268066,-22.2819004058838
Doryopteris rediviva,-48.5491981506348,-27.596700668335
Doryopteris rediviva,-41.184700012207,-20.6035995483398
Doryopteris rediviva,-46.5499992370605,-23.1100006103516
Doryopteris rediviva,-36.3711013793945,-8.14583015441895
Doryopteris rediviva,-41.3899993896484,-12.563099861145
Doryopteris rediviva,-41.1347007751465,-20.3397006988525
Doryopteris rediviva,-48.834400177002,-25.476900100708
Doryopteris rediviva,-41.416667,-12.45
Doryopteris rediviva,-44.5633010864258,-22.4960994720459
Doryopteris rediviva,-39.4143981933594,-15.2632999420166
Doryopteris rediviva,-44.619969,-22.427889
Doryopteris rediviva,-42.9655990600586,-22.4122009277344
Doryopteris rediviva,-48.9592018127441,-15.852499961853
Doryopteris rediviva,-43.011389,-22.453611
Doryopteris rediviva,-39.4081,-15.2028
Doryopteris rediviva,-43.0228,-22.4822
Doryopteris rediviva,-41.3664016723633,-21.0641994476318
Doryopteris rediviva,-40.9675,-20.676111
Doryopteris rediviva,-40.6591987609863,-20.3633003234863
Doryopteris rediviva,-40.6591987609863,-20.3633003234863
Doryopteris rediviva,-41.5358009338379,-20.3458003997803
Doryopteris rediviva,-40.6831016540527,-20.4127998352051
Doryopteris rediviva,-41.3664016723633,-21.0641994476318
Doryopteris rediviva,-45.5900001525879,-22.7299995422363
Doryopteris rediviva,-44.5633010864258,-22.4960994720459
Doryopteris rediviva,-43.2075004577637,-22.9027996063232
Doryopteris rediviva,-43.2075004577637,-22.9027996063232
Doryopteris rediviva,-43.2075004577637,-22.9027996063232
Doryopteris rediviva,-58.7017,4.7364
Doryopteris rediviva,-72.8667,3.8811
Doryopteris rediviva,-72.8667,3.8811
Doryopteris rediviva,-52.8731,-10.8339
Doryopteris rediviva,-60,5.42
Doryopteris rediviva,-46.5499992370605,-23.1100006103516
Doryopteris rediviva,-41.184700012207,-20.6035995483398
Doryopteris rediviva,-42.9674987792969,-21.4596996307373
Doryopteris rediviva,-42.9674987792969,-21.4596996307373
Doryopteris rediviva,-43.3502998352051,-21.7642002105713
Doryopteris rediviva,-42.9674987792969,-21.4596996307373
Doryopteris rediviva,-43.3502998352051,-21.7642002105713
Doryopteris rediviva,-43.793098449707,-21.8425006866455
Doryopteris rediviva,-62.25,5.9
Doryopteris rediviva,-44.6197223,-22.4288889
Doryopteris rediviva,-39.565278,-15.391667
Doryopteris rediviva,-41.184700012207,-20.6035995483398
Doryopteris rediviva,-41.624844,-19.278333
Doryopteris rediviva,-43.581667,-20.1325
Doryopteris rediviva,-42.070306,-20.071861
Doryopteris rediviva,-41.762222,-20.551861
Doryopteris rediviva,-41.08625,-20.518944
Doryopteris rediviva,-44.624861,-22.436861
Doryopteris rediviva,-40.519778,-20.292278
Doryopteris rediviva,-41.088972,-20.516
Doryopteris rediviva,-41.088972,-20.516
Doryopteris rediviva,-44.359056,-22.792278
Doryopteris rediviva,-43.028242,-21.331328
Doryopteris rediviva,-44.624861,-22.436861
Doryopteris rediviva,-42.235028,-20.749944
Doryopteris rediviva,41.088056,20.520556
Doryopteris rediviva,-41.842611,-20.419361
Doryopteris rediviva,-41.080833,-20.503333
Doryopteris rediviva,-41.732167,-20.495972
Doryopteris rediviva,-41.78125,-20.597
Doryopteris rediviva,-41.764139,-20.564083
Doryopteris rediviva,-41.762222,-20.551861
Doryopteris rediviva,41.736389,20.491667
Doryopteris rediviva,-40.661944,-18.974444
Doryopteris rediviva,-42.077889,-20.067222
Doryopteris rediviva,-40.551,-19.34825
Doryopteris rediviva,-41.848917,-20.419556
Doryopteris rediviva,-40.6002998352051,-19.9356002807617
Doryopteris rediviva,-40.6002998352051,-19.9356002807617
Doryopteris rediviva,-42.5208015441895,-20.6667003631592
Doryopteris rediviva,-48.5491981506348,-27.596700668335
Doryopteris rediviva,-41.45,-12.433333
Doryopteris rediviva,-41.416667,-12.45
Doryopteris rediviva,-41.837111,-20.409917
Doryopteris rediviva,-42.5311012268066,-22.2819004058838
Doryopteris rediviva,-40.553056,-19.9075
Doryopteris rediviva,-41.100556,-20.519167
Doryopteris rediviva,-40.549167,-19.345833
Doryopteris rediviva,-40.616111,-20.101944
Doryopteris rediviva,-40.725556,-20.069167
Doryopteris rediviva,-40.661944,-18.974444
Doryopteris rediviva,-41.100556,-20.519167
Doryopteris rediviva,-40.924167,-20.176944
Doryopteris rediviva,-41.083611,-20.516111
Doryopteris rediviva,-41.120556,-20.524444
Doryopteris rediviva,-41.6857986450195,-20.6200008392334
Doryopteris rediviva,-41.3664016723633,-21.0641994476318
Doryopteris rediviva,-41.3664016723633,-21.0641994476318
Doryopteris rediviva,-40.5182991027832,-11.1806001663208
Doryopteris rediviva,-40.5182991027832,-11.1806001663208
Doryopteris rediviva,-36.3711013793945,-8.14583015441895
Doryopteris rediviva,-36.3711013793945,-8.14583015441895
