SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Dyckia trichostachya,-40.4006004333496,-18.710599899292
Dyckia trichostachya,-48.706901550293,-16.2042007446289
Dyckia trichostachya,-47.334400177002,-15.5371999740601
Dyckia trichostachya,-47.716667,-15.633333
Dyckia trichostachya,-47.716667,-15.633333
Dyckia trichostachya,-40.6003,-19.9358
Dyckia trichostachya,-43.999722,-20.073889
Dyckia trichostachya,-44.1996994018555,-20.1432991027832
Dyckia trichostachya,-44.1996994018555,-20.1432991027832
Dyckia trichostachya,-43.999722,-20.073889
Dyckia trichostachya,-43.490833,-20.426389
Dyckia trichostachya,-43.992778,-20.115
Dyckia trichostachya,-57.216722,-15.656528
Dyckia trichostachya,-44.216667,-20.133333
Dyckia trichostachya,-40.824722,-19.888889
Dyckia trichostachya,-40.814722,-19.897778
Dyckia trichostachya,-40.6,-19.936111
Dyckia trichostachya,-40.814722,-19.897778
Dyckia trichostachya,-40.551111,-19.348333
Dyckia trichostachya,-40.665556,-18.977778
Dyckia trichostachya,-40.550833,-19.348056
Dyckia trichostachya,-40.741944,-19.828056
Dyckia trichostachya,-40.662778,-18.971944
Dyckia trichostachya,-40.551111,-19.348333
Dyckia trichostachya,-40.769444,-18.975556
Dyckia trichostachya,-40.981111,-19.741389
Dyckia trichostachya,-40.718556,-19.401917
Dyckia trichostachya,-40.8075,-19.851944
Dyckia trichostachya,-40.813194,-19.897
Dyckia trichostachya,-40.6,-19.936111
Dyckia trichostachya,-40.824722,-19.888889
Dyckia trichostachya,-40.814722,-19.897778
Dyckia trichostachya,-40.814722,-19.897778
Dyckia trichostachya,-40.601944,-19.906111
Dyckia trichostachya,-52.8731,-10.8339
