SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Encholirium horridum,-40.4006004333496,-18.710599899292
Encholirium horridum,-40.611400604248,-18.6149997711182
Encholirium horridum,-40.443889,-18.776944
Encholirium horridum,-40.456944,-18.766389
Encholirium horridum,-40.793333,-19.187222
Encholirium horridum,-40.611400604248,-18.6149997711182
Encholirium horridum,-41.1128005981445,-20.8488998413086
Encholirium horridum,-40.4006004333496,-18.710599899292
Encholirium horridum,-40.3377990722656,-20.3194007873535
Encholirium horridum,-40.323889,-20.322778
Encholirium horridum,-40.611400604248,-18.6149997711182
Encholirium horridum,-41.331056,-20.684583
Encholirium horridum,-39.913889,-16.596944
Encholirium horridum,-40.4006004333496,-18.710599899292
Encholirium horridum,-40.85,-19.65
Encholirium horridum,-40.85,-19.65
Encholirium horridum,-40.843722,-19.490778
Encholirium horridum,-40.6002998352051,-19.9356002807617
Encholirium horridum,-40.3377990722656,-20.3194007873535
Encholirium horridum,-40.648056,-19.022778
Encholirium horridum,-40.800278,-18.945
Encholirium horridum,-40.665556,-18.977778
Encholirium horridum,-40.662778,-18.971944
Encholirium horridum,-40.443889,-18.776944
Encholirium horridum,-40.909167,-19.274167
Encholirium horridum,-40.619583,-18.619528
Encholirium horridum,-40.323889,-20.322778
Encholirium horridum,-40.876667,-19.231111
Encholirium horridum,-40.838889,-19.491389
Encholirium horridum,-40.85,-19.65
Encholirium horridum,-40.6,-19.936111
