SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Epidendrum secundum,-49.6356010437012,-25.5839004516602
Epidendrum secundum,-49.6356010437012,-25.5839004516602
Epidendrum secundum,-49.6356010437012,-25.5839004516602
Epidendrum secundum,-49.6356010437012,-25.5839004516602
Epidendrum secundum,-49.6356010437012,-25.5839004516602
Epidendrum secundum,-49.6356010437012,-25.5839004516602
Epidendrum secundum,-49.6356010437012,-25.5839004516602
Epidendrum secundum,-49.6356010437012,-25.5839004516602
Epidendrum secundum,-49.5346984863281,-25.6756000518799
Epidendrum secundum,-49.2731018066406,-25.4277992248535
Epidendrum secundum,-48.5746994018555,-25.8827991485596
Epidendrum secundum,-49.7057991027832,-24.2511005401611
Epidendrum secundum,-49.7158012390137,-25.7696990966797
Epidendrum secundum,-49.7158012390137,-25.7696990966797
Epidendrum secundum,-48.834400177002,-25.476900100708
Epidendrum secundum,-48.834400177002,-25.476900100708
Epidendrum secundum,-48.5092010498047,-25.5200004577637
Epidendrum secundum,-48.5092010498047,-25.5200004577637
Epidendrum secundum,-49.0633010864258,-25.4416999816895
Epidendrum secundum,-50.1618995666504,-25.0949993133545
Epidendrum secundum,-48.511100769043,-25.6735992431641
Epidendrum secundum,-48.511100769043,-25.6735992431641
Epidendrum secundum,-48.511100769043,-25.6735992431641
Epidendrum secundum,-48.511100769043,-25.6735992431641
Epidendrum secundum,-48.511100769043,-25.6735992431641
Epidendrum secundum,-49.2064018249512,-25.5347003936768
Epidendrum secundum,-49.2064018249512,-25.5347003936768
Epidendrum secundum,-49.2064018249512,-25.5347003936768
Epidendrum secundum,-48.6380996704102,-26.2432994842529
Epidendrum secundum,-63.5,10.25
Epidendrum secundum,-67.816667,-16.333333
Epidendrum secundum,-50,-25.166667
Epidendrum secundum,-41.184700012207,-20.6035995483398
Epidendrum secundum,-41.3664016723633,-21.0641994476318
Epidendrum secundum,-78.5,-0.216667
Epidendrum secundum,-47.994722,-24.566667
Epidendrum secundum,-47.4,-23.483333
Epidendrum secundum,-44.032778,-20.060278
Epidendrum secundum,-47.993333,-24.056111
Epidendrum secundum,-46.974722,-23.004722
Epidendrum secundum,-47.993333,-24.056111
Epidendrum secundum,-36.407778,-8.194167
Epidendrum secundum,-39.533333,-12.75
Epidendrum secundum,-42.983333,-22.425556
Epidendrum secundum,-47.993333,-24.056111
Epidendrum secundum,-43.7825,-22.361667
Epidendrum secundum,-45.740556,-18.058611
Epidendrum secundum,-41.846778,-20.419333
Epidendrum secundum,-47.993333,-24.056111
Epidendrum secundum,-48.284722,-22.8
Epidendrum secundum,-42.9,-16.55
Epidendrum secundum,-49.245889,-24.528822
Epidendrum secundum,-44.880833,-22.459583
Epidendrum secundum,-49.245889,-24.528822
Epidendrum secundum,-49.245889,-24.528822
Epidendrum secundum,-47.885,-24.608333
Epidendrum secundum,-40.543611,-19.956667
Epidendrum secundum,-44.880833,-22.459583
Epidendrum secundum,-41.1561012268066,-11.5500001907349
Epidendrum secundum,-41.1561012268066,-11.5500001907349
Epidendrum secundum,-47.5099983215332,-14.1324996948242
Epidendrum secundum,-41.9043998718262,-20.523099899292
Epidendrum secundum,-44.6425018310547,-21.4874992370605
Epidendrum secundum,-44.6425018310547,-21.4874992370605
Epidendrum secundum,-44.6425018310547,-21.4874992370605
Epidendrum secundum,-44.6425018310547,-21.4874992370605
Epidendrum secundum,-44.6425018310547,-21.4874992370605
Epidendrum secundum,-44.6425018310547,-21.4874992370605
Epidendrum secundum,-44.6577987670898,-21.2980995178223
Epidendrum secundum,-44.6577987670898,-21.2980995178223
Epidendrum secundum,-44.6577987670898,-21.2980995178223
Epidendrum secundum,-43.7449989318848,-19.513599395752
Epidendrum secundum,-43.7449989318848,-19.513599395752
Epidendrum secundum,-43.7449989318848,-19.513599395752
Epidendrum secundum,-43.7449989318848,-19.513599395752
Epidendrum secundum,-43.7449989318848,-19.513599395752
Epidendrum secundum,-43.7449989318848,-19.513599395752
Epidendrum secundum,-43.7449989318848,-19.513599395752
Epidendrum secundum,-43.3502998352051,-21.7642002105713
Epidendrum secundum,-44.999698638916,-21.2453002929688
Epidendrum secundum,-44.611400604248,-21.2164001464844
Epidendrum secundum,-43.4152984619141,-19.959400177002
Epidendrum secundum,-43.4152984619141,-19.959400177002
Epidendrum secundum,-43.4152984619141,-19.959400177002
Epidendrum secundum,-46.9914016723633,-20.9169006347656
Epidendrum secundum,-44.9852981567383,-21.7222003936768
Epidendrum secundum,-44.1781005859375,-21.1103000640869
Epidendrum secundum,-44.1781005859375,-21.1103000640869
