SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Eremanthus crotonoides,-43.511611,-20.486472
Eremanthus crotonoides,-43.525222,-20.46675
Eremanthus crotonoides,-44.204583,-21.121306
Eremanthus crotonoides,-43.482611,-20.103222
Eremanthus crotonoides,-40.473139,-19.909056
Eremanthus crotonoides,-43.4872016906738,-19.94580078125
Eremanthus crotonoides,-43.3210983276367,-19.414400100708
Eremanthus crotonoides,-44.6577987670898,-21.2980995178223
Eremanthus crotonoides,-43.4160995483398,-20.377799987793
Eremanthus crotonoides,-43.4152984619141,-19.959400177002
Eremanthus crotonoides,-43.4152984619141,-19.959400177002
Eremanthus crotonoides,-43.4152984619141,-19.959400177002
Eremanthus crotonoides,-43.4152984619141,-19.959400177002
Eremanthus crotonoides,-41.7868995666504,-22.3708000183105
Eremanthus crotonoides,-41.9449996948242,-22.5268993377686
Eremanthus crotonoides,-43.2075004577637,-22.9027996063232
Eremanthus crotonoides,-41.6610984802246,-22.1872005462646
Eremanthus crotonoides,-40.541667,-20.306389
Eremanthus crotonoides,-44.167778,-21.086111
Eremanthus crotonoides,-43.414444,-20.260556
Eremanthus crotonoides,-41.323333,-20.62
Eremanthus crotonoides,-43.4249992370605,-19.0372009277344
Eremanthus crotonoides,-43.6814002990723,-18.8071994781494
Eremanthus crotonoides,-43.7449989318848,-19.513599395752
Eremanthus crotonoides,-43.7449989318848,-19.513599395752
Eremanthus crotonoides,-44.999698638916,-21.2453002929688
Eremanthus crotonoides,-43.7144012451172,-19.1688995361328
Eremanthus crotonoides,-43.3622016906738,-19.826099395752
Eremanthus crotonoides,-43.3622016906738,-19.826099395752
Eremanthus crotonoides,-43.4075012207031,-20.0746994018555
Eremanthus crotonoides,-43.4075012207031,-20.0746994018555
Eremanthus crotonoides,-43.4075012207031,-20.0746994018555
Eremanthus crotonoides,-43.4075012207031,-20.0746994018555
Eremanthus crotonoides,-43.4160995483398,-20.377799987793
Eremanthus crotonoides,-43.527778,-20.265278
Eremanthus crotonoides,-43.432222,-20.197222
Eremanthus crotonoides,-44.6349983215332,-20.5414009094238
Eremanthus crotonoides,-44.450847,-21.221044
Eremanthus crotonoides,-44.505478,-21.248486
Eremanthus crotonoides,-44.0797004699707,-21.0575008392334
Eremanthus crotonoides,-43.785383,-17.938417
Eremanthus crotonoides,-47.6,-14.183333
Eremanthus crotonoides,-44.1781005859375,-21.1103000640869
Eremanthus crotonoides,-47.5099983215332,-14.1324996948242
Eremanthus crotonoides,-43.5080986022949,-20.2875003814697
Eremanthus crotonoides,-41.870619,-22.438265
Eremanthus crotonoides,-43.6714,-18.93
Eremanthus crotonoides,-43.7406,-18.4544
Eremanthus crotonoides,-43.4881089,-20.0987894
Eremanthus crotonoides,-43.5081,-20.2878
Eremanthus crotonoides,-43.567098,-19.391463
Eremanthus crotonoides,-43.4927778,-20.1263
Eremanthus crotonoides,-43.41805556,-20.37495
Eremanthus crotonoides,-43.4927778,-20.1263
Eremanthus crotonoides,-43.676328,-19.820266
Eremanthus crotonoides,-43.8,-20.23
Eremanthus crotonoides,-43.4,-18.87
Eremanthus crotonoides,-43.8,-20.23
Eremanthus crotonoides,-43.8,-20.22
Eremanthus crotonoides,-40.4138889,-15.7719444
Eremanthus crotonoides,-42.133333,-22.483333
Eremanthus crotonoides,-41.681667,-22.294444
Eremanthus crotonoides,-41.241944,-22.103611
Eremanthus crotonoides,-41.7868995666504,-22.3708000183105
Eremanthus crotonoides,-41.2902984619141,-20.1460990905762
Eremanthus crotonoides,-43.4160995483398,-20.377799987793
Eremanthus crotonoides,-43.5080986022949,-20.2875003814697
Eremanthus crotonoides,-43.5080986022949,-20.2875003814697
