SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Erythroxylum subrotundum,-40.483333,-13.466667
Erythroxylum subrotundum,-40.483333,-13.466667
Erythroxylum subrotundum,-42.4599990844727,-5.03806018829346
Erythroxylum subrotundum,-42.4599990844727,-5.03806018829346
Erythroxylum subrotundum,-42.4599990844727,-5.03806018829346
Erythroxylum subrotundum,-36.8180999755859,-6.12722015380859
Erythroxylum subrotundum,-40.4006004333496,-18.710599899292
Erythroxylum subrotundum,-39.8588981628418,-18.716100692749
Erythroxylum subrotundum,-40.0722007751465,-19.3910999298096
Erythroxylum subrotundum,-40.4006004333496,-18.710599899292
Erythroxylum subrotundum,-43.945472,-16.599667
Erythroxylum subrotundum,-43.945472,-16.599667
Erythroxylum subrotundum,-43.6002998352051,-18.2493991851807
Erythroxylum subrotundum,-43.7449989318848,-19.513599395752
Erythroxylum subrotundum,-43.2075004577637,-22.9027996063232
Erythroxylum subrotundum,-37.521944,-10.536667
Erythroxylum subrotundum,-36.287222,-7.489167
Erythroxylum subrotundum,-34.950278,-8.012778
Erythroxylum subrotundum,-40.751556,-13.8875
Erythroxylum subrotundum,-35.769722,-8.168333
Erythroxylum subrotundum,-37,-7
Erythroxylum subrotundum,-36.243333,-7.359611
Erythroxylum subrotundum,-36.898222,-7.470556
Erythroxylum subrotundum,-36.629167,-6.941944
Erythroxylum subrotundum,-34.950278,-8.012778
Erythroxylum subrotundum,-36.847778,-8.079444
Erythroxylum subrotundum,-36.911639,-7.484944
Erythroxylum subrotundum,-36.430728,-9.2418
Erythroxylum subrotundum,-35.9393997192383,-8.97249984741211
Erythroxylum subrotundum,-36.2400016784668,-7.25943994522095
Erythroxylum subrotundum,-36.4707984924316,-6.75778007507324
Erythroxylum subrotundum,-37.3396987915039,-8.75333023071289
Erythroxylum subrotundum,-43.255278,-22.973056
Erythroxylum subrotundum,-41.1675,-21.850556
Erythroxylum subrotundum,-41.3314018249512,-12.8072004318237
Erythroxylum subrotundum,-38.9557991027832,-12.6183004379272
Erythroxylum subrotundum,-40.4308013916016,-13.4411001205444
Erythroxylum subrotundum,-40.4308013916016,-13.4411001205444
Erythroxylum subrotundum,-41.5032997131348,-16.5617008209229
Erythroxylum subrotundum,-43.7449989318848,-19.513599395752
Erythroxylum subrotundum,-43.0283012390137,-15.7433004379272
Erythroxylum subrotundum,-44.043098449707,-19.0060997009277
Erythroxylum subrotundum,-43.7144012451172,-19.1688995361328
Erythroxylum subrotundum,-47.9296989440918,-15.7797002792358
Erythroxylum subrotundum,-48.9592018127441,-15.852499961853
Erythroxylum subrotundum,-51.9622001647949,-18.3061008453369
Erythroxylum subrotundum,-40.478,-20.279
Erythroxylum subrotundum,-43.8616981506348,-16.7350006103516
Erythroxylum subrotundum,-43.8616981506348,-16.7350006103516
Erythroxylum subrotundum,-43.8616981506348,-16.7350006103516
Erythroxylum subrotundum,-43.8616981506348,-16.7350006103516
Erythroxylum subrotundum,-43.8616981506348,-16.7350006103516
Erythroxylum subrotundum,-42.633333,-19.5
Erythroxylum subrotundum,-43.937801361084,-19.9207992553711
Erythroxylum subrotundum,-43.937801361084,-19.9207992553711
Erythroxylum subrotundum,-43.937801361084,-19.9207992553711
Erythroxylum subrotundum,-43.937801361084,-19.9207992553711
Erythroxylum subrotundum,-43.937801361084,-19.9207992553711
Erythroxylum subrotundum,-48.11667,-14.16667
Erythroxylum subrotundum,-42.392777,-16.218055
Erythroxylum subrotundum,-35.19056,-8.71389
Erythroxylum subrotundum,-48.855833,-15.807222
Erythroxylum subrotundum,-49.78925,-11.465556
Erythroxylum subrotundum,-47.887778,-15.744444
Erythroxylum subrotundum,-48.166667,-15.583333
Erythroxylum subrotundum,-48.166667,-15.583333
Erythroxylum subrotundum,-40.483333,-13.466667
Erythroxylum subrotundum,-47.876389,-15.583333
Erythroxylum subrotundum,-51.866667,-12.9
Erythroxylum subrotundum,-47.873,-15.94
Erythroxylum subrotundum,-48.9592018127441,-15.852499961853
Erythroxylum subrotundum,-47.9296989440918,-15.7797002792358
Erythroxylum subrotundum,-41.8114013671875,-13.5789003372192
Erythroxylum subrotundum,-43.2075004577637,-22.9027996063232
Erythroxylum subrotundum,-36.3708,-8.15
Erythroxylum subrotundum,-34.9503,-8.0128
Erythroxylum subrotundum,-37.0542,-10.5361
Erythroxylum subrotundum,-41.8114,-13.5792
Erythroxylum subrotundum,-47.988069,-15.948311
Erythroxylum subrotundum,-43.8894,-19.6272
Erythroxylum subrotundum,-42.8956,-20.2447
Erythroxylum subrotundum,-36.430728,-9.2418
Erythroxylum subrotundum,-40.091944,-13.899167
Erythroxylum subrotundum,-36.42,-9.25
Erythroxylum subrotundum,-48.8558,-15.8072
Erythroxylum subrotundum,-48.17,-15.58
Erythroxylum subrotundum,-35.457142,-8.153969
Erythroxylum subrotundum,-40.4006,-18.7108
Erythroxylum subrotundum,-43.2075,-22.9031
Erythroxylum subrotundum,-42.0183,-22.8794
Erythroxylum subrotundum,-43.2075,-22.9031
Erythroxylum subrotundum,-42.0183,-22.8794
Erythroxylum subrotundum,-43.2075,-22.9031
Erythroxylum subrotundum,-42.865151,-22.958935
Erythroxylum subrotundum,-41.98,-13.5
Erythroxylum subrotundum,-43.2075,-22.9031
Erythroxylum subrotundum,-40.48,-13.47
Erythroxylum subrotundum,-40.48,-13.47
Erythroxylum subrotundum,-40.4306,-13.4411
Erythroxylum subrotundum,-39.0753,-15.2933
Erythroxylum subrotundum,-41.98,-13.5
Erythroxylum subrotundum,-35.550262,-9.129076
Erythroxylum subrotundum,-41.8114,-13.5792
Erythroxylum subrotundum,-35.7969,-8.23333
Erythroxylum subrotundum,-37.8239,-8.9019
Erythroxylum subrotundum,-37.8239,-8.9019
Erythroxylum subrotundum,-37.8239,-8.9019
Erythroxylum subrotundum,-37.8239,-8.9019
Erythroxylum subrotundum,-37.8239,-8.9019
Erythroxylum subrotundum,-42.06422,-22.955308
Erythroxylum subrotundum,-43.783378,-18.995403
Erythroxylum subrotundum,-47.988069,-15.948311
Erythroxylum subrotundum,-40.1110278,-13.9436111
Erythroxylum subrotundum,-42.016667,-20.716667
Erythroxylum subrotundum,-48.116667,-14.166667
Erythroxylum subrotundum,-35.190556,-8.713889
Erythroxylum subrotundum,-47.835556,-14.163056
Erythroxylum subrotundum,-40.453056,-11.878056
Erythroxylum subrotundum,-40.383333,-19.883333
Erythroxylum subrotundum,-46.4875,-14.064722
Erythroxylum subrotundum,-42.8185997009277,-22.9193992614746
Erythroxylum subrotundum,-43.937801361084,-19.9207992553711
Erythroxylum subrotundum,-39.1018981933594,-12.6700000762939
Erythroxylum subrotundum,-40.9336013793945,-12.6511001586914
Erythroxylum subrotundum,-38.9558,-12.6183
Erythroxylum subrotundum,-38.9558,-12.6183
Erythroxylum subrotundum,-38.9558,-12.6183
Erythroxylum subrotundum,-42.7322006225586,-19.7122001647949
Erythroxylum subrotundum,-42.7322006225586,-19.7122001647949
Erythroxylum subrotundum,-42.7322006225586,-19.7122001647949
Erythroxylum subrotundum,-57.49,-18.0386111
Erythroxylum subrotundum,-57.5333333,-18.0191667
Erythroxylum subrotundum,-40.434722,-18.781667
Erythroxylum subrotundum,-39.888333,-19.669167
Erythroxylum subrotundum,-39.888889,-19.670278
Erythroxylum subrotundum,-41.1239013671875,-20.0741996765137
Erythroxylum subrotundum,-40.2733001708984,-19.8202991485596
Erythroxylum subrotundum,-40.5110015869141,-20.6580009460449
Erythroxylum subrotundum,-40.5110015869141,-20.6580009460449
Erythroxylum subrotundum,-40.369701385498,-19.8318996429443
Erythroxylum subrotundum,-40.0722007751465,-19.3910999298096
Erythroxylum subrotundum,-40.0722007751465,-19.3910999298096
Erythroxylum subrotundum,-40.4006004333496,-18.710599899292
Erythroxylum subrotundum,-40.4006004333496,-18.710599899292
Erythroxylum subrotundum,-40.4006004333496,-18.710599899292
Erythroxylum subrotundum,-40.4006004333496,-18.710599899292
Erythroxylum subrotundum,-40.2924995422363,-20.3297004699707
Erythroxylum subrotundum,-40.3377990722656,-20.3194007873535
Erythroxylum subrotundum,-40.3377990722656,-20.3194007873535
Erythroxylum subrotundum,-40.3377990722656,-20.3194007873535
