SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Eugenia astringens,-39.7322006225586,-18.5932998657227
Eugenia astringens,-39.7322006225586,-18.5932998657227
Eugenia astringens,-39.7322006225586,-18.5932998657227
Eugenia astringens,-39.7322006225586,-18.5932998657227
Eugenia astringens,-40.0722007751465,-19.3910999298096
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-40.2733001708984,-19.8202991485596
Eugenia astringens,-39.7322006225586,-18.5932998657227
Eugenia astringens,-39.7322006225586,-18.5932998657227
Eugenia astringens,-39.7322006225586,-18.5932998657227
Eugenia astringens,-39.7322006225586,-18.5932998657227
Eugenia astringens,-39.7322006225586,-18.5932998657227
Eugenia astringens,-39.7322006225586,-18.5932998657227
Eugenia astringens,-39.7322006225586,-18.5932998657227
Eugenia astringens,-40.0722007751465,-19.3910999298096
Eugenia astringens,-40.0722007751465,-19.3910999298096
Eugenia astringens,-40.0722007751465,-19.3910999298096
Eugenia astringens,-40.0722007751465,-19.3910999298096
Eugenia astringens,-40.0722007751465,-19.3910999298096
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-39.8588981628418,-18.716100692749
Eugenia astringens,-40.087694,-19.306222
Eugenia astringens,-35.077506,-6.974985
Eugenia astringens,-35.7933006286621,-8.72667026519775
Eugenia astringens,-37.0527992248535,-10.5032997131348
Eugenia astringens,-39.780278,-13.139722
Eugenia astringens,-38.299167,-12.530278
Eugenia astringens,-38.2025,-12.211111
Eugenia astringens,-39.604722,-13.030278
Eugenia astringens,-39.331667,-12.160278
Eugenia astringens,-43.247778,-22.977222
Eugenia astringens,-41.040556,-15.480278
Eugenia astringens,-40.319722,-13.320556
Eugenia astringens,-39.779444,-15.839722
Eugenia astringens,-39.600556,-15.839722
Eugenia astringens,-39.240278,-17.459722
Eugenia astringens,-39.419722,-17.460278
Eugenia astringens,-41.032778,-21.7925
Eugenia astringens,-39.75,-18.783333
Eugenia astringens,-39.707778,-19.191667
Eugenia astringens,-39.75,-18.783333
Eugenia astringens,-41.116667,-21.853889
Eugenia astringens,-42.879722,-22.966111
Eugenia astringens,-41.0466995239258,-21.0988998413086
Eugenia astringens,-43.2075004577637,-22.9027996063232
Eugenia astringens,-43.2075004577637,-22.9027996063232
Eugenia astringens,-39,-16.233333
Eugenia astringens,-38.316667,-12.683333
Eugenia astringens,-37.6,-11.8
Eugenia astringens,-48.238333,-25.464722
Eugenia astringens,-38.933333,-15.666667
Eugenia astringens,-39.806389,-19.628611
Eugenia astringens,-48.5875,-27.903611
Eugenia astringens,-38.3241996765137,-12.6975002288818
Eugenia astringens,-38.510799407959,-12.9710998535156
Eugenia astringens,-42.0186004638672,-22.8794002532959
Eugenia astringens,-39.073333,-16.508611
Eugenia astringens,-42.8185997009277,-22.9193992614746
Eugenia astringens,-46.6300010681152,-23.5400009155273
Eugenia astringens,-48.611400604248,-27.0902996063232
Eugenia astringens,-48.611400604248,-27.0902996063232
Eugenia astringens,-48.611400604248,-27.0902996063232
Eugenia astringens,-48.5092010498047,-25.5200004577637
Eugenia astringens,-49.0769004821777,-25.3656005859375
Eugenia astringens,-48.3288993835449,-25.3066997528076
Eugenia astringens,-48.3288993835449,-25.3066997528076
Eugenia astringens,-48.5092010498047,-25.5200004577637
Eugenia astringens,-48.5092010498047,-25.5200004577637
Eugenia astringens,-48.5092010498047,-25.5200004577637
