SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Evolvulus ericifolius,-42.0938987731934,-3.31889009475708
Evolvulus ericifolius,-40.4006004333496,-18.710599899292
Evolvulus ericifolius,-56.6227989196777,-16.2567005157471
Evolvulus ericifolius,-47.5099983215332,-14.1324996948242
Evolvulus ericifolius,-48.0783004760742,-14.1513996124268
Evolvulus ericifolius,-46.9006004333496,-13.2564001083374
Evolvulus ericifolius,-47.904722,-14.225556
Evolvulus ericifolius,-47.899722,-14.226389
Evolvulus ericifolius,-47.31,-12.654444
Evolvulus ericifolius,-48.28333,-13.81667
Evolvulus ericifolius,-46.98,-12.24
Evolvulus ericifolius,-51.766667,-12.816667
Evolvulus ericifolius,-50.76,-12.24
Evolvulus ericifolius,-46.967778,-14.743611
Evolvulus ericifolius,-37.690299987793,-8.54055976867676
Evolvulus ericifolius,-48.4,-16.58959
Evolvulus ericifolius,-56.043867,-15.612755
Evolvulus ericifolius,-42.8894,-16.5594
Evolvulus ericifolius singuliflorus,-51.8219,-16.4269
Evolvulus ericifolius,-50.1403007507324,-15.9343996047974
Evolvulus ericifolius singuliflorus,-50.5705986022949,-14.7447004318237
Evolvulus ericifolius,-40.743889,-3.1875
Evolvulus ericifolius,-40.744444,-3.1875
Evolvulus ericifolius,-40.736111,-3.186667
Evolvulus ericifolius,-40.868333,-5.140278
Evolvulus ericifolius,-46.950556,-12.139722
Evolvulus ericifolius,-47.688611,-11.658889
Evolvulus ericifolius,-38.9667015075684,-12.2666997909546
Evolvulus ericifolius,-47.156389,-13.466944
Evolvulus ericifolius,-46.830556,-13.528333
Evolvulus ericifolius,-41.707778,-4.172222
Evolvulus ericifolius,-41.8669013977051,-3.17499995231628
Evolvulus ericifolius,-41.748583,-4.089361
Evolvulus ericifolius,-41.701556,-4.124861
Evolvulus ericifolius,-41.686611,-4.108889
Evolvulus ericifolius,-41.748583,-4.089361
Evolvulus ericifolius,-41.748583,-4.089361
Evolvulus ericifolius,-51.8222,-16.4269
Evolvulus ericifolius,-51.766667,-12.816667
Evolvulus ericifolius,-41.701639,-4.124917
Evolvulus ericifolius,-41.748583,-4.089361
Evolvulus ericifolius,-41.748583,-4.089361
Evolvulus ericifolius,-41.748583,-4.089361
Evolvulus ericifolius,-41.748611,-4.088611
Evolvulus ericifolius,-41.748583,-4.089361
Evolvulus ericifolius,-41.748583,-4.089361
Evolvulus ericifolius,-41.748611,-4.088611
Evolvulus ericifolius,-48.14,-14.324167
Evolvulus ericifolius,-40.0722007751465,-19.3910999298096
Evolvulus ericifolius,-47.1702995300293,-11.5735998153687
Evolvulus ericifolius,-40.744444,-3.1875
Evolvulus ericifolius,-40.5,-11.25
Evolvulus ericifolius,-47.5099983215332,-14.1324996948242
Evolvulus ericifolius,-46.880298614502,-13.7419004440308
Evolvulus ericifolius,-40.826099395752,-3.12028002738953
Evolvulus ericifolius,-40.4006004333496,-18.710599899292
Evolvulus ericifolius,-50.1403007507324,-15.9343996047974
Evolvulus ericifolius,-48.2200012207031,-13.5331001281738
Evolvulus ericifolius,-48.4597015380859,-14.4738998413086
Evolvulus ericifolius,-46.880298614502,-13.7419004440308
Evolvulus ericifolius,-47.2647018432617,-13.7763996124268
Evolvulus ericifolius,-47.7233009338379,-11.7096996307373
Evolvulus ericifolius,-48.3602981567383,-10.2128000259399
Evolvulus ericifolius,-49.9249992370605,-12.5371999740601
Evolvulus ericifolius,-48.2355995178223,-12.7435998916626
Evolvulus ericifolius,-46.9886016845703,-12.1883001327515
Evolvulus ericifolius,-42.255278,-14.518056
Evolvulus ericifolius,-40.4625,-18.766944
Evolvulus ericifolius,-40.368889,-18.448056
Evolvulus ericifolius,-40.457611,-18.767
Evolvulus ericifolius,-42.255278,-14.515278
Evolvulus ericifolius,-42.2943992614746,-4.24444007873535
Evolvulus ericifolius,-52.8731,-10.8339
Evolvulus ericifolius,-52.8731,-10.8339
Evolvulus ericifolius,-52.8731,-10.8339
