SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Gaylussacia pallida,-41.184700012207,-20.6035995483398
Gaylussacia pallida,-41.8683013916016,-20.4333000183105
Gaylussacia pallida,-41.8683013916016,-20.4333000183105
Gaylussacia pallida,-41.9043998718262,-20.523099899292
Gaylussacia pallida,-41.9043998718262,-20.523099899292
Gaylussacia pallida,-41.9043998718262,-20.523099899292
Gaylussacia pallida,-49.1150016784668,-25.2061004638672
Gaylussacia pallida,-43.5080986022949,-20.2875003814697
Gaylussacia pallida,-43.7406,-18.4544
Gaylussacia pallida,-43.68,-18.43
Gaylussacia pallida,-47.85,-15.866667
Gaylussacia pallida,-49.1150016784668,-25.2061004638672
Gaylussacia pallida,-49.1150016784668,-25.2061004638672
Gaylussacia pallida,-43.6918983459473,-20.5207996368408
Gaylussacia pallida,-43.693556,-18.4175
Gaylussacia pallida,-41.8535,-20.420833
Gaylussacia pallida,-43.683333,-18.433333
Gaylussacia pallida,-43.7407989501953,-18.4543991088867
Gaylussacia pallida,-43.5080986022949,-20.2875003814697
Gaylussacia pallida,-41.8683013916016,-20.4333000183105
Gaylussacia pallida,-41.8683013916016,-20.4333000183105
Gaylussacia pallida,-41.8683013916016,-20.4333000183105
Gaylussacia pallida,-43.6697006225586,-19.8799991607666
Gaylussacia pallida,-41.8683013916016,-20.4333000183105
Gaylussacia pallida,-41.8683013916016,-20.4333000183105
Gaylussacia pallida,-43.6557998657227,-18.4456005096436
Gaylussacia pallida,-41.5358009338379,-20.3458003997803
Gaylussacia pallida,-41.5358009338379,-20.3458003997803
Gaylussacia pallida,-41.8683013916016,-20.4333000183105
Gaylussacia pallida,-41.825833,-20.413889
Gaylussacia pallida,-41.8683013916016,-20.4333000183105
Gaylussacia pallida,-43.5080986022949,-20.2875003814697
Gaylussacia pallida,-43.5080986022949,-20.2875003814697
Gaylussacia pallida,-43.5080986022949,-20.2875003814697
Gaylussacia pallida,-43.5080986022949,-20.2875003814697
Gaylussacia pallida,-43.5080986022949,-20.2875003814697
Gaylussacia pallida,-43.5080986022949,-20.2875003814697
Gaylussacia pallida,-43.5080986022949,-20.2875003814697
Gaylussacia pallida,-41.100556,-20.519167
Gaylussacia pallida,-52.8731,-10.8339
Gaylussacia pallida,-52.8731,-10.8339
Gaylussacia pallida,-52.8731,-10.8339
Gaylussacia pallida,-52.8731,-10.8339
Gaylussacia pallida,-45.44222222,-18.78777778
Gaylussacia pallida,-43.50805556,-20.38555556
