SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Habenaria parviflora,-49.6356010437012,-25.5839004516602
Habenaria parviflora,-49.0553016662598,-25.3055992126465
Habenaria parviflora,-49.2731018066406,-25.4277992248535
Habenaria parviflora,-49.7158012390137,-25.7696990966797
Habenaria parviflora,-48.5092010498047,-25.5200004577637
Habenaria parviflora,-49.0633010864258,-25.4416999816895
Habenaria parviflora,-49.2064018249512,-25.5347003936768
Habenaria parviflora,-48.7807998657227,-28.4825000762939
Habenaria parviflora,-51.3011016845703,-30.2910995483398
Habenaria parviflora,-50.4166984558105,-28.6678009033203
Habenaria parviflora,-50.4166984558105,-28.6678009033203
Habenaria parviflora,-50.4166984558105,-28.6678009033203
Habenaria parviflora,-50.4166984558105,-28.6678009033203
Habenaria parviflora,-50.4166984558105,-28.6678009033203
Habenaria parviflora,-50.4166984558105,-28.6678009033203
Habenaria parviflora,-50.4166984558105,-28.6678009033203
Habenaria parviflora,-50.1446990966797,-29.0478000640869
Habenaria parviflora,-50.815601348877,-29.3656005859375
Habenaria parviflora,-50.815601348877,-29.3656005859375
Habenaria parviflora,-50.815601348877,-29.3656005859375
Habenaria parviflora,-51.1836013793945,-29.9178009033203
Habenaria parviflora,-52.4838981628418,-31.7632999420166
Habenaria parviflora,-51.1794013977051,-29.1681003570557
Habenaria parviflora,-51.1794013977051,-29.1681003570557
Habenaria parviflora,-51.1794013977051,-29.1681003570557
Habenaria parviflora,-50.2056007385254,-30.1811008453369
Habenaria parviflora,-50.9919013977051,-29.9444007873535
Habenaria parviflora,-53.3955993652344,-32.0236015319824
Habenaria parviflora,-51.4611015319824,-29.6886005401611
Habenaria parviflora,-51.4611015319824,-29.6886005401611
Habenaria parviflora,-51.4611015319824,-29.6886005401611
Habenaria parviflora,-50.2696990966797,-29.8866996765137
Habenaria parviflora,-50.2696990966797,-29.8866996765137
Habenaria parviflora,-50.2696990966797,-29.8866996765137
Habenaria parviflora,-51.2299995422363,-30.0331001281738
Habenaria parviflora,-51.2299995422363,-30.0331001281738
Habenaria parviflora,-51.2299995422363,-30.0331001281738
Habenaria parviflora,-51.2299995422363,-30.0331001281738
Habenaria parviflora,-51.2299995422363,-30.0331001281738
Habenaria parviflora,-51.2299995422363,-30.0331001281738
Habenaria parviflora,-50.5835990905762,-29.4480991363525
Habenaria parviflora,-50.5835990905762,-29.4480991363525
Habenaria parviflora,-50.5835990905762,-29.4480991363525
Habenaria parviflora,-50.5835990905762,-29.4480991363525
Habenaria parviflora,-50.5835990905762,-29.4480991363525
Habenaria parviflora,-50.5835990905762,-29.4480991363525
Habenaria parviflora,-50.5835990905762,-29.4480991363525
Habenaria parviflora,-50.5835990905762,-29.4480991363525
Habenaria parviflora,-51.1472015380859,-29.7602996826172
Habenaria parviflora,-51.1472015380859,-29.7602996826172
Habenaria parviflora,-51.1472015380859,-29.7602996826172
Habenaria parviflora,-51.1472015380859,-29.7602996826172
Habenaria parviflora,-51.1472015380859,-29.7602996826172
Habenaria parviflora,-51.8643989562988,-29.7996997833252
Habenaria parviflora,-51.8643989562988,-29.7996997833252
Habenaria parviflora,-49.7268981933594,-29.3353004455566
Habenaria parviflora,-49.7268981933594,-29.3353004455566
Habenaria parviflora,-50.9338989257812,-28.5121994018555
Habenaria parviflora,-49.0661010742188,-26.9193992614746
Habenaria parviflora,-49.0661010742188,-26.9193992614746
Habenaria parviflora,-49.489200592041,-27.7971992492676
Habenaria parviflora,-48.5491981506348,-27.596700668335
Habenaria parviflora,-50.326099395752,-27.8160991668701
Habenaria parviflora,-49.9317016601562,-28.2938995361328
Habenaria parviflora,-48.627498626709,-27.6152992248535
Habenaria parviflora,-45.9595,-23.654806
Habenaria parviflora,-45.6725,-23.645556
Habenaria parviflora,-45.6,-23.75
Habenaria parviflora,-45.618333,-23.692222
Habenaria parviflora,-45.699056,-23.637972
Habenaria parviflora,-46.775417,-23.989083
Habenaria parviflora,-45.133333,-23.316667
Habenaria parviflora,-47.55,-15.266667
