SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Hatiora cylindrica,-41.184700012207,-20.6035995483398
Hatiora cylindrica,-41.084,-20.516
Hatiora cylindrica,-40.145367,-14.39383
Hatiora cylindrica,-44.234582,-23.150897
Hatiora cylindrica,-44.234582,-23.150897
Hatiora cylindrica,-41.3664016723633,-21.0641994476318
Hatiora cylindrica,-41.184700012207,-20.6035995483398
Hatiora cylindrica,-41.3664016723633,-21.0641994476318
Hatiora cylindrica,-41.3664016723633,-21.0641994476318
Hatiora cylindrica,-41.3664016723633,-21.0641994476318
Hatiora cylindrica,-41.0845,-20.526028
Hatiora cylindrica,-41.120556,-20.524444
Hatiora cylindrica,-39.565,-15.393056
Hatiora cylindrica,-41.184700012207,-20.6035995483398
Hatiora cylindrica,-41.100556,-20.519167
Hatiora cylindrica,-41.100556,-20.519167
Hatiora cylindrica,-41.083611,-20.516111
Hatiora cylindrica,-41.120556,-20.524444
Hatiora cylindrica,-41.083611,-20.516111
Hatiora cylindrica,-40.609514,-19.990989
