SCIENTIFICNAME,DECIMALLONGITUDE,DECIMALLATITUDE
Hebeclinium macrophyllum,-59.5,7.75
Hebeclinium macrophyllum,-75.05,7.216667
Hebeclinium macrophyllum,-70.133333,8.75
Hebeclinium macrophyllum,-41.184700012207,-20.6035995483398
Hebeclinium macrophyllum,-58.783333,-10.366667
Hebeclinium macrophyllum,-59.249167,-10.266111
Hebeclinium macrophyllum,-72.6699981689453,-7.63111019134521
Hebeclinium macrophyllum,-39.0494003295898,-14.7889003753662
Hebeclinium macrophyllum,-56.4818992614746,-21.1210994720459
Hebeclinium macrophyllum,-54.5611000061035,-23.6802997589111
Hebeclinium macrophyllum,-48.5092010498047,-25.5200004577637
Hebeclinium macrophyllum,-51.8563995361328,-23.8652992248535
Hebeclinium macrophyllum,-52.02,-27
Hebeclinium macrophyllum,-51.865431,-23.350653
Hebeclinium macrophyllum,-40.0978012084961,-19.1968994140625
Hebeclinium macrophyllum,-55.08,-1.83
Hebeclinium macrophyllum,-50.17,-6.07
Hebeclinium macrophyllum,-51.7328,-3.535
Hebeclinium macrophyllum,-63.33,-10.25
Hebeclinium macrophyllum,-64.2272,-12.445
Hebeclinium macrophyllum,-46.537506,-1.765546
Hebeclinium macrophyllum,-55.75,2.33
Hebeclinium macrophyllum,-64.233333,-12.416667
Hebeclinium macrophyllum,-67.005921,-0.1518397
Hebeclinium macrophyllum,-72.8297222,-8.13416667
Hebeclinium macrophyllum,-71.9003,-9.3806
Hebeclinium macrophyllum,-63.18,-18.07
Hebeclinium macrophyllum,-39.0492,-14.7892
Hebeclinium macrophyllum,-39.4668388,-14.32406
Hebeclinium macrophyllum,-39.2273659,-14.771874
Hebeclinium macrophyllum,-39.581206,-16.48659
Hebeclinium macrophyllum,-49.7056,-24.2511
Hebeclinium macrophyllum,-72.33,11.03
Hebeclinium macrophyllum,-75.97,-1.63
Hebeclinium macrophyllum,-39.38,-14.33
Hebeclinium macrophyllum,-46.02,-1.1953
Hebeclinium macrophyllum,-58.3804411,-11.0249185
Hebeclinium macrophyllum,-67.5,-14.75
Hebeclinium macrophyllum,-52.2064018249512,-3.20333003997803
Hebeclinium macrophyllum,-63.58,-10.583333
Hebeclinium macrophyllum,-54.9,-9.366667
Hebeclinium macrophyllum,-50.166667,-8.05
Hebeclinium macrophyllum,-61.526572,4.043111
Hebeclinium macrophyllum,-41.184700012207,-20.6035995483398
Hebeclinium macrophyllum,-40.5110015869141,-20.6580009460449
Hebeclinium macrophyllum,-40.4006004333496,-18.710599899292
Hebeclinium macrophyllum,-40.0722007751465,-19.3910999298096
Hebeclinium macrophyllum,-59.75,8.25
Hebeclinium macrophyllum,-59.83,8.16
Hebeclinium macrophyllum,-64.9,6.98
Hebeclinium macrophyllum,-61.1,4.6
Hebeclinium macrophyllum,-59.45,5.2
Hebeclinium macrophyllum,-75.05,7.22
Hebeclinium macrophyllum,-69.12,10.83
Hebeclinium macrophyllum,-75.97,-1.63
Hebeclinium macrophyllum,-55.21,4.88
Hebeclinium macrophyllum,-3.18,-17.75
Hebeclinium macrophyllum,-67.1,-15.43
Hebeclinium macrophyllum,-75.97,-1.63
Hebeclinium macrophyllum,-53.2,3.61
Hebeclinium macrophyllum,-53.2,3.61
Hebeclinium macrophyllum,-71.42,-11.83
Hebeclinium macrophyllum,-75.58,6
Hebeclinium macrophyllum,-76.28,-6.25
Hebeclinium macrophyllum,-76.28,-6.25
Hebeclinium macrophyllum,-75.33,-10.15
Hebeclinium macrophyllum,-76.92,-2.83
Hebeclinium macrophyllum,-53.2,3.61
Hebeclinium macrophyllum,-67.5,-14.75
Hebeclinium macrophyllum,-60.85,-14.6
Hebeclinium macrophyllum,-63.7333,-14.6667
Hebeclinium macrophyllum,-75.05,5.57
Hebeclinium macrophyllum,-60.8347,-14.6172
Hebeclinium macrophyllum,-59.8461,4.71
Hebeclinium macrophyllum,-80.88,-1.05
Hebeclinium macrophyllum,-63.18,-18.07
Hebeclinium macrophyllum,-53.2,3.61
Hebeclinium macrophyllum,-53.2,3.61
Hebeclinium macrophyllum,-79.37,-0.35
Hebeclinium macrophyllum,-79.9,-0.82
Hebeclinium macrophyllum,-76.43,-0.28
Hebeclinium macrophyllum,-75.87,0.08
Hebeclinium macrophyllum,-75.87,0.08
Hebeclinium macrophyllum,-59.43,3.11
Hebeclinium macrophyllum,-63.58,-10.58
Hebeclinium macrophyllum,-63.33,-10.25
Hebeclinium macrophyllum,-54.9,-9.37
Hebeclinium macrophyllum,-50.17,-8.05
